SNP,Chr,Pos,Effect,SE,HUG1_ADE17_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.110510062351166,0.0674368678110836,0.102162768671962
9,1,27272,-0.109963861162134,0.0664189236914271,0.098689413666436
16,1,27843,0.0755601403726823,0.0649743680359937,0.245646574403992
17,1,27848,0.0755601403726823,0.0649743680359937,0.245646574403992
18,1,28495,0.0877466745740577,0.0649320255169339,0.177444882293253
19,1,28975,0.103485776388791,0.0644296045395545,0.109127700812757
26,1,31435,0.0872040003057523,0.0643260526483395,0.176075306369285
29,1,36146,0.0942648154885983,0.0639642617334105,0.141450674848629
31,1,37409,0.0876183231071002,0.0643388488372113,0.174121222296433
32,1,37478,0.0860320548854026,0.064400506229837,0.18244551267615
33,1,39144,0.03343652758102,0.0642438280966859,0.60306727140291
34,1,41499,0.0454216832685069,0.0640445937148177,0.478656340142422
37,1,51248,0.108109801068512,0.0641052771968221,0.0925943140114332
38,1,51462,0.100590299257219,0.0642275224325285,0.118208144739062
39,1,52124,0.0991024377411654,0.0641465035552581,0.123256998209786
40,1,52667,0.0352594720018135,0.064232444159322,0.583396722519727
42,1,59265,0.069869070701656,0.0641196879715684,0.276603413610384
43,1,60165,0.0180292381416672,0.0641717270050194,0.778911061817534
44,1,62308,0.0293590879327704,0.0640892713757579,0.647164788159183
45,1,62869,-0.00797049736600941,0.0640988629451916,0.901111360899371
49,1,66841,0.0148340062326143,0.0641256163035295,0.817194559464471
50,1,66948,0.00776760670957485,0.0645227284575049,0.904246195984996
51,1,68621,-0.00861794238806579,0.0643476210070023,0.893535901545088
52,1,69417,-0.0428342532893049,0.0641383950547497,0.504671447704294
56,1,74327,-0.0198704936087164,0.0645230851548565,0.758294821037161
57,1,74572,-0.027555454340038,0.0643432351795921,0.668725047766922
58,1,75211,-0.00752707245762035,0.0642413764065401,0.906793079933186
59,1,76030,0.0475525027620013,0.064192750081339,0.459321217730121
60,1,80108,-0.103654170409466,0.0639900518599453,0.106157861532007
61,1,81262,-0.156476281041515,0.0636606863174719,0.0144522146806645
