SNP,Chr,Pos,Effect,SE,HNM1_RBD2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00431906371344404,0.118495514220582,0.970944807189432
9,1,27272,0.00292619453655474,0.116716096178947,0.980012461819111
16,1,27843,-0.0365116417286589,0.11393808183082,0.748815614908392
17,1,27848,-0.0365116417286589,0.11393808183082,0.748815614908392
18,1,28495,-0.0299976538720751,0.11394531288791,0.79250100758037
19,1,28975,-0.0544323365499664,0.113157683117416,0.63079258949071
26,1,31435,-0.0533153057804421,0.112859188431094,0.636929268538364
29,1,36146,-0.158627652890869,0.11199493512629,0.157545394353967
31,1,37409,-0.0505905734158705,0.112887874379177,0.654320687441767
32,1,37478,-0.0799032459692238,0.112937008864019,0.4797209226831
33,1,39144,-0.13188952812537,0.112282107501547,0.240935981169287
34,1,41499,-0.113534966439884,0.112026412983678,0.311531743955693
37,1,51248,-0.158801438978216,0.112349321125701,0.158401284920462
38,1,51462,-0.146879175905347,0.112548403834599,0.192732276832705
39,1,52124,-0.161568845402524,0.112338142932192,0.151252844805615
40,1,52667,-0.216625722414995,0.111893777520697,0.0536664724735528
42,1,59265,-0.1051941899158,0.112289995648547,0.349497688386814
43,1,60165,-0.0831984361932064,0.112257228675667,0.459100684765081
44,1,62308,-0.0882270842277158,0.112122688500143,0.431880163250788
45,1,62869,-0.0825456523453118,0.112120839272658,0.462085509619025
49,1,66841,-0.0286428845302919,0.112249415322867,0.798739020990844
50,1,66948,-0.0645734527606844,0.112896416328745,0.567705806986664
51,1,68621,-0.257191039139112,0.111807873315355,0.022014176047146
52,1,69417,-0.222790055853812,0.111716982478307,0.0468950530220663
56,1,74327,-0.207850347386199,0.112419185016412,0.0653101311320725
57,1,74572,-0.201251051004257,0.112151089606767,0.0735947133161709
58,1,75211,-0.212022186055467,0.111888443750268,0.058916883600702
59,1,76030,-0.112039437978196,0.11229786359055,0.319108866603377
60,1,80108,-0.24168231588781,0.111691193285797,0.0311466153532643
61,1,81262,-0.14557898841215,0.112119570069447,0.194988534370654
62,1,81999,-0.183167246435742,0.112238853476088,0.103583525544319
63,1,82431,-0.208913440006487,0.112647303305709,0.0644899547565813
64,1,83284,-0.168345346062393,0.112013267843818,0.133757495396904
65,1,83613,-0.103708938014648,0.112223011019218,0.356048574934728
66,1,84112,-0.113714059422143,0.112207951995014,0.311552523808981
68,1,84858,-0.02577393210941,0.11267985897086,0.819206622777165
69,1,85751,-0.0923183135753293,0.113044649825258,0.414677224090698
70,1,87445,-0.0994658590617347,0.113266928619788,0.38045720865689
71,1,87467,-0.13988821218129,0.113740754506658,0.21955867118925
72,1,89070,-0.131491882821483,0.113054378260051,0.245580531333649
73,1,89616,-0.0887324066251305,0.112562422860947,0.431053157856206
74,1,89679,-0.126434498733017,0.11247458813394,0.261727600455502
75,1,89880,-0.102366597739775,0.112572498157619,0.363791486942227
76,1,91472,-0.132757563425891,0.113320768982479,0.242179894353577
77,1,93789,-0.203579298837876,0.111847437594997,0.069582626996537
78,1,94351,-0.17251732886071,0.112292014392824,0.125353843776281
79,1,99148,-0.162910352873378,0.112036031607122,0.146810167428895
82,1,106800,-0.167648441532444,0.112168283802798,0.135908217125861
83,1,107970,-0.12627552171743,0.111987775725718,0.260261872842253
84,1,109000,-0.165887391666556,0.112039631627323,0.13960156028886
85,1,112549,-0.164331220734352,0.11191851791883,0.142910186882566
86,1,112742,-0.176347996204634,0.112305589250518,0.117252551475509
87,1,113050,-0.162247756346821,0.112175638894609,0.148960071950163
88,1,113135,-0.165995798608087,0.111872650583402,0.138756289678399
89,1,114076,-0.0524179341573045,0.112186294340655,0.640616393627376
90,1,114628,-0.0486239112193113,0.1124751090243,0.665781397893336
91,1,116283,-0.0548464268400475,0.113092950805084,0.628000077250049
93,1,127853,-0.00116277070236295,0.112919966321825,0.9917899059566
94,1,128302,0.0518073676988927,0.112452438285578,0.645294168499711
95,1,128704,0.0561132903629361,0.112558596060896,0.618424430554912
96,1,128911,0.0978423957895059,0.112490197631451,0.385008420461662
97,1,130267,-0.092422052535432,0.112449752280644,0.411690610409884
98,1,130271,-0.0935482284411315,0.11258083567423,0.406567647652086
99,1,130613,-0.0727042082844713,0.113678132639421,0.522872255843249
100,1,132012,-0.0573023865078116,0.113461559252419,0.613847373270572
101,1,133231,-0.0696188908516627,0.112636198246307,0.536917020274099
102,1,137074,-0.106488543981818,0.112394035230417,0.344053959398139
103,1,137304,-0.097347123382948,0.11245667291572,0.387274911139715
104,1,139686,-0.0544716145443646,0.112686621254119,0.629118356933718
105,1,149562,-0.102121132983437,0.112850253126084,0.366121759480735
106,1,150447,-0.0755950029594554,0.114163408465333,0.508297591433458
108,1,154084,-0.085316341930973,0.114497201591051,0.456683455193909
110,1,157269,-0.136778566930811,0.112271763651317,0.223930785760224
111,1,160054,-0.121316442063563,0.113392760455311,0.285405139936664
112,1,166222,-0.115897655069222,0.112567524199413,0.303910534872016
113,1,166416,-0.120237047422113,0.112325387251019,0.285154818373927
114,1,167326,-0.149521659084688,0.112866651511345,0.186106435954929
115,1,168836,-0.172564246019176,0.112235492588653,0.125062009803614
116,1,171200,-0.210069948718534,0.112223713246698,0.0620491559409471
117,1,171431,-0.236199635006614,0.112784914569999,0.0369505247973703
118,1,173339,-0.23085759773996,0.111928462371251,0.039886950304609
119,1,173845,-0.217609818691656,0.111909783950813,0.0526278290156743
120,1,175121,-0.197892403301057,0.111789371848779,0.0775526651650556
121,1,175281,-0.194049446557643,0.111904300180327,0.083779400271612
122,1,175315,-0.200181768084925,0.111838159351438,0.0743231717759375
123,1,175523,-0.181168821193959,0.112568833127734,0.108421738291553
124,1,175541,-0.197670463212746,0.112027025938666,0.0785144529879376
125,1,175653,-0.199918188398748,0.112373373748119,0.0760914875154152
128,1,175856,-0.183872120370438,0.114321345130009,0.108646029251788
129,1,175876,-0.182836941623525,0.112561192526498,0.105197135317415
130,1,175989,-0.193468594707396,0.112834534172389,0.08729220166466
131,1,176001,-0.185478153546145,0.113465167995971,0.103009567711715
133,1,177692,-0.222522816838016,0.111718491301214,0.0471611957049757
134,1,178191,-0.224786402160811,0.111817839242422,0.045160652610407
135,1,178224,-0.222522816838016,0.111718491301214,0.0471611957049757
136,1,178960,-0.217614469726458,0.112647925012584,0.0541829419447631
140,1,183802,-0.279461111382573,0.111369793566623,0.0125440224453003
141,1,183954,-0.243050859390324,0.112434933392059,0.0313127515569531
142,1,184450,-0.182969868893787,0.111762269176913,0.102493485721634
144,1,184718,-0.231465273240104,0.112148527055964,0.0397559442623532
145,1,185296,-0.222824965896771,0.111716785242131,0.0468603792975953
146,1,185438,-0.219211946711314,0.111742365658707,0.0505756635291691
147,1,185469,-0.223752214689286,0.111879930145331,0.046273442999647
148,1,185503,-0.21563810165652,0.11163252602699,0.0541993869798476
149,1,185705,-0.233816753683041,0.112790730147057,0.038896106648943
150,1,185749,-0.218953407158361,0.112875210103113,0.053202340438895
151,1,185806,-0.256031944073515,0.112806613304265,0.0238312359820988
152,1,185879,-0.239420168860008,0.113462435297528,0.0355506061017482
153,1,185916,-0.189768338758785,0.113676018747509,0.0959288628939553
154,1,185941,-0.206500591338062,0.114092822878311,0.0711561774052958
155,1,185954,-0.219732325373273,0.114359279019229,0.0554835876661249
156,1,186055,-0.208897500914918,0.112111473705201,0.0632500676357236
157,1,186896,-0.199556872374038,0.114014841804639,0.0809403448979368
161,1,190132,-0.0197362960132716,0.112799473921024,0.861205106640999
162,1,190148,-0.0240484307998725,0.112831126415518,0.831343536002588
163,1,190165,-0.0484113762978532,0.113676264354176,0.670461696148072
164,1,190169,-0.0402811709226915,0.113543430835053,0.722977925514583
165,1,190933,-0.100682297237316,0.112515198779713,0.37148616874494
166,1,192149,-0.043848384143264,0.113539686988187,0.699585409588084
168,1,192303,-0.107574400708086,0.135263832665968,0.426977411186685
171,1,192795,-0.0368332677798404,0.112412400270796,0.743361506391691
173,1,194187,-0.0378023429919123,0.112504649150761,0.737065262211208
174,1,194867,-0.111056768251035,0.11230595623484,0.323400689877011
190,2,8314,0.0888287196833751,0.114267785527299,0.437459240223483
194,2,8498,-0.00458559950447557,0.114197799456547,0.967992345827813
195,2,8651,-0.00559221279788646,0.114304596744726,0.961007707603305
197,2,9812,0.0220826220373992,0.114978153727326,0.847806200938643
