SNP,Chr,Pos,Effect,SE,MID2_RSN1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0256124559267303,0.058356934973511,0.661007507989681
9,1,27272,-0.0617305171006659,0.0574022742198429,0.282929282806279
16,1,27843,0.00226531606614598,0.0561357165175863,0.967833498445992
17,1,27848,0.00226531606614598,0.0561357165175863,0.967833498445992
18,1,28495,0.0130164655823091,0.0561324797991233,0.816759135832073
19,1,28975,0.00708637806577611,0.0557602372739706,0.898944230210594
26,1,31435,0.00710874008032661,0.0556124870653519,0.898359201371757
29,1,36146,-0.00902172500021026,0.0553249223482523,0.870558199392465
31,1,37409,0.018604172116696,0.055617337450981,0.738198604062266
32,1,37478,0.0107654755364348,0.0556710212515606,0.846775219575983
33,1,39144,0.00746650750842665,0.0554184905330415,0.892902505988273
34,1,41499,0.0478340442511837,0.0552075195479551,0.386837037895987
37,1,51248,0.0860388905079678,0.0553121875768783,0.120719729769027
38,1,51462,0.0771887023176677,0.0554246354454218,0.164593545910321
39,1,52124,0.0577945395904006,0.0554161216774778,0.297699399747163
40,1,52667,0.0233199813312053,0.0553985802193282,0.67404843531579
42,1,59265,0.0352912527354681,0.0553526670785815,0.524166326570625
43,1,60165,0.0199436507040996,0.055332495408139,0.718739013999767
44,1,62308,0.0124948702037196,0.0552778110932514,0.821302905193396
45,1,62869,-0.00445718828149197,0.0552743590982709,0.935775908969428
49,1,66841,0.0271940930961765,0.0552819740631138,0.623084413081466
50,1,66948,0.00269140875145385,0.0556401226063436,0.961447348289822
51,1,68621,0.0222053630548058,0.0554769883551461,0.689205233847914
52,1,69417,0.0270478593319181,0.0553239489970935,0.62521635051723
56,1,74327,-0.072054716030063,0.0555146353236389,0.195155078511398
57,1,74572,-0.0575085969562388,0.0554143251999408,0.300076797654464
58,1,75211,-0.0351974048216694,0.0553659421838362,0.525368874849753
59,1,76030,-0.031332403758721,0.0553725201660804,0.571856941200807
60,1,80108,-0.0351568417375382,0.0553529093844174,0.525748644319239
61,1,81262,-0.108317900734348,0.0550625994383568,0.0499455278136709
62,1,81999,-0.0909622312716951,0.0552872221301294,0.100804904547483
63,1,82431,-0.048291345626205,0.0557022435117796,0.386555511781793
64,1,83284,-0.033387261809841,0.0553272146291126,0.546596264749224
65,1,83613,-0.0340714877599053,0.0553199298207992,0.538358118158795
66,1,84112,-0.0260998274618037,0.0553383117477067,0.637474295852412
68,1,84858,-0.0357390407217815,0.0554793755138255,0.519873129702146
69,1,85751,-0.0635258222597877,0.055637501903021,0.254319125139641
70,1,87445,-0.0947140034356127,0.0556300327140912,0.0895289514687287
71,1,87467,-0.0903797786939864,0.0559439590178008,0.107086881917924
72,1,89070,-0.0849758567668538,0.0556153655115069,0.127427802588274
73,1,89616,-0.0932311938062262,0.0552765139912989,0.0925574261677858
74,1,89679,-0.0716014865139845,0.0553748416167812,0.19684530565733
75,1,89880,-0.0935867209658531,0.0552959892992064,0.0914390427845318
76,1,91472,-0.0703175980816676,0.0558066427451053,0.208493773554023
77,1,93789,-0.0132955158436334,0.0553512215580668,0.810312508536234
78,1,94351,-0.0331752368527327,0.0554733364149742,0.550197178438227
79,1,99148,-0.00184527829289066,0.0553556577858465,0.973426320639029
82,1,106800,-0.00242718851334135,0.0554302628663906,0.965098033556044
83,1,107970,-0.0106802390756616,0.0552632693114099,0.846865654979105
84,1,109000,0.00813962020066156,0.0553618954855698,0.883195686307837
85,1,112549,0.0355102528978121,0.0552686116555077,0.520963659121947
86,1,112742,0.0296930813562187,0.055493871624691,0.592938652014655
87,1,113050,0.00969162343766028,0.0554205761612741,0.861278818007044
88,1,113135,0.00394979012013763,0.0552814116641076,0.943081039958379
89,1,114076,0.0356229619244364,0.0552492876219375,0.519496455863997
90,1,114628,0.0658689486862206,0.0553106673719881,0.234496736333541
91,1,116283,0.0596738278407677,0.05563933521253,0.284223001758017
93,1,127853,0.0221332278204062,0.0556136760191509,0.690884218958695
94,1,128302,0.0259654119739839,0.0553952465341356,0.639551992699704
95,1,128704,0.0149790528105743,0.0554619120262989,0.787257923265192
96,1,128911,0.0274481436776316,0.0554545407127338,0.620931654687333
97,1,130267,0.00882575444008188,0.055445495547033,0.873618939655752
98,1,130271,0.0142013145527511,0.0555081482465413,0.798221874393785
99,1,130613,0.0153154599101187,0.0560261332870906,0.78473422064216
100,1,132012,0.0190800706568582,0.0559039064299274,0.733079904408414
101,1,133231,-0.0121072928753829,0.0555126310223452,0.827477389265225
102,1,137074,0.0021426279396134,0.0554372981044375,0.969191626077189
103,1,137304,0.0186996852750144,0.0554477526565561,0.736129824608843
104,1,139686,0.00656181114777679,0.0555284649323039,0.905999994477809
105,1,149562,0.0287197549199504,0.0556352495351119,0.60602740022714
106,1,150447,0.0226875380084015,0.0562606410834016,0.687002778296544
108,1,154084,0.0194986464654969,0.0564379134737697,0.729932990673975
110,1,157269,0.0229557395282605,0.0554095075242922,0.678911584086493
111,1,160054,-0.000893419823061126,0.0559495197507469,0.987268686848813
112,1,166222,-0.0126982404169193,0.0555316100854959,0.819260245586329
113,1,166416,-0.00803896297857387,0.0554213250685365,0.88475275735782
114,1,167326,-0.00700546946235081,0.0557366729338426,0.900049906226228
115,1,168836,0.00521323844318755,0.0554730869328909,0.925180113247082
116,1,171200,0.00532737215672929,0.0555561331870083,0.923660999074181
117,1,171431,-0.00633257055068698,0.0559026853427345,0.909874181810699
118,1,173339,0.0126983248635065,0.0554648395500358,0.819045265192289
119,1,173845,0.000729227723912984,0.0554229631029603,0.989509568502975
120,1,175121,-0.0220481383313053,0.0553006384977181,0.690358340890146
121,1,175281,-0.0150825320837774,0.0553542825615784,0.785417873226963
122,1,175315,-0.0133365444786063,0.0553381238751437,0.809694240319013
123,1,175523,-0.0158716204948175,0.055649833627404,0.775654218930842
124,1,175541,-0.0142491909491756,0.0554239121315917,0.797255501364763
125,1,175653,-0.0332606988700201,0.0555763089915293,0.549910836902629
128,1,175856,-0.0273934740844256,0.0565036512644478,0.628112593411239
129,1,175876,-0.0198379125106827,0.0556462285519984,0.721678709830326
130,1,175989,-0.0155565381979648,0.055808899594269,0.780602557586172
131,1,176001,-0.0229131585034285,0.0560926197731356,0.683163166881708
133,1,177692,-0.0178049464155207,0.0553345620181679,0.74781815669428
134,1,178191,-0.0185779060947693,0.0553888015321332,0.737515773959563
135,1,178224,-0.0178049464155207,0.0553345620181679,0.74781815669428
136,1,178960,-0.0162412180877919,0.0557779916600444,0.77108765327767
140,1,183802,-0.00687288810484585,0.055348436235353,0.901247450226402
141,1,183954,-0.0167842569880301,0.0557454489033366,0.76352505394488
142,1,184450,-0.0266369085602285,0.0552462701286487,0.62999923837353
144,1,184718,-0.00131032484402931,0.0555784121951311,0.981204019628409
145,1,185296,-0.00422875584520443,0.0553422185865765,0.939135383673987
146,1,185438,-0.0206479482616709,0.0553343770831055,0.709261781996423
147,1,185469,-0.0185645053012806,0.0554163554018258,0.737823707260607
148,1,185503,-0.0372431311600487,0.0552462609428371,0.50067022390137
149,1,185705,-0.0382493597919436,0.0558625789185379,0.493979709990417
150,1,185749,-0.0435982115245875,0.0558514773631475,0.435555155185695
151,1,185806,-0.0158295169103661,0.0559679625348644,0.777471588458548
152,1,185879,-0.0376612909007798,0.0562090475795233,0.503281909665697
153,1,185916,-0.0448676112074225,0.0561684549288144,0.424940927781084
154,1,185941,-0.04519498345753,0.0564128338357861,0.423585346738184
155,1,185954,-0.026564049063213,0.0566113433787595,0.639191033561558
156,1,186055,-0.0305909133669472,0.0554749076874731,0.581683062896256
157,1,186896,-0.0264757770419125,0.0563910764711285,0.6390000445975
161,1,190132,0.0494737113554851,0.0555067717012074,0.373370281680327
162,1,190148,0.0537701424662961,0.0555122328259851,0.333399042905032
163,1,190165,0.0622035484290889,0.0559151610550102,0.266696143960896
164,1,190169,0.0539611794503619,0.0558694687911011,0.334783570178851
165,1,190933,0.0410079888307215,0.0554466334735677,0.460038025505428
166,1,192149,-0.0016689916344767,0.0559431711880484,0.976216543920796
168,1,192303,0.0942576836349742,0.0665037916651945,0.157269071335621
171,1,192795,-0.0271978693705624,0.0553656072665866,0.623561112295623
173,1,194187,-0.00708630655836799,0.0554291302140941,0.89834487275732
174,1,194867,0.00773127389911238,0.0553987194303168,0.889089679174633
190,2,8314,-0.0625200445890092,0.0562399034825965,0.267037902874688
194,2,8498,-0.0696321478121693,0.0561335384348481,0.215624281782868
195,2,8651,-0.0788671196491415,0.0561517427931496,0.161038708246782
197,2,9812,-0.0621830649092161,0.0565462223375156,0.272218532495823
198,2,9932,-0.0607944861144201,0.0563268861357311,0.281183977531352
