SNP,Chr,Pos,Effect,SE,HNM1_RBD2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.164482438065599,0.0689434173722361,0.0175705566034271
9,1,27272,0.114685882156329,0.0681806356526453,0.0934359562520678
16,1,27843,-0.0642096252368394,0.0667462713865257,0.336710264516641
17,1,27848,-0.0642096252368394,0.0667462713865257,0.336710264516641
18,1,28495,-0.0395856611364018,0.0668015700942553,0.553837795026598
19,1,28975,-0.0681686625077205,0.0662888159140233,0.304485370352034
26,1,31435,-0.0633449214181875,0.0661262485364088,0.338749064953858
29,1,36146,-0.146619556236815,0.0654068310416306,0.0256044629091338
31,1,37409,-0.0772066779482858,0.0660992672427054,0.24357836321393
32,1,37478,-0.106612670337976,0.0660404755611728,0.107344251406384
33,1,39144,-0.113478280219283,0.065704319236049,0.08502350262827
34,1,41499,-0.0561393823091954,0.0657304427230885,0.39363713854913
37,1,51248,-0.036613864322744,0.0660496483105173,0.579698206551644
38,1,51462,-0.0390955070727579,0.0661352662680482,0.554801848476074
39,1,52124,-0.0621077183405806,0.0659956537582828,0.347303314910167
40,1,52667,-0.0882580352934479,0.0658050382709047,0.180716243280479
42,1,59265,0.0262833528557157,0.0659243685013,0.690363066852393
43,1,60165,0.0345427307627438,0.0658637259961572,0.600289483884881
44,1,62308,-0.0476658213331991,0.0657680033660407,0.469081228501796
45,1,62869,-0.0378323205785582,0.0657778375795794,0.565554233977142
49,1,66841,-0.0251575143119902,0.06582604879319,0.702556541562305
50,1,66948,-0.0432910626769911,0.0662036471621128,0.513597137876755
51,1,68621,-0.0872524565477503,0.0659008499281933,0.186361086157653
52,1,69417,-0.0865530247874551,0.065728140111417,0.18874863659141
56,1,74327,-0.0981543694253178,0.0660453383959752,0.138127641949319
57,1,74572,-0.099789757035651,0.0658614414751821,0.130630104984461
58,1,75211,-0.0721062665646481,0.0658430499739459,0.274209194439739
59,1,76030,-0.0253860446024345,0.065940962404551,0.700483040742712
