SNP,Chr,Pos,Effect,SE,GTR1_SLM4_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0176644448454202,0.0617319250078217,0.77493289599423
9,1,27272,-0.0319888278519465,0.0607880641526339,0.599055161823928
16,1,27843,0.0797713312439518,0.0592210676025177,0.178841304643818
17,1,27848,0.0797713312439518,0.0592210676025177,0.178841304643818
18,1,28495,0.0839496671077655,0.0592056677962731,0.157092473256791
19,1,28975,0.0848884684304312,0.0588038322569109,0.149741944168173
26,1,31435,0.090452634733336,0.0586235441421011,0.123741193992085
29,1,36146,0.073189858695288,0.0583877826411053,0.210848556062349
31,1,37409,0.100647688358485,0.0585895976470723,0.0867023326129716
32,1,37478,0.103276789123426,0.0586274328871417,0.0790062637747169
33,1,39144,0.0397115498196881,0.0585777349679275,0.498260775504169
34,1,41499,0.0496675540348308,0.058393460488671,0.395586455234913
37,1,51248,-0.0482325198139537,0.0586459117188229,0.411383883306404
38,1,51462,-0.0350784575170676,0.0587520143824637,0.550850304587542
39,1,52124,0.0164363260522875,0.0586955531203269,0.779620989014701
40,1,52667,-0.0168349539024221,0.0586011441046414,0.774066274499869
42,1,59265,0.032092882328541,0.0585535180222036,0.583973193250783
43,1,60165,-0.0135089750425547,0.0585297456545655,0.817599779499952
44,1,62308,-0.08162368928645,0.0583081663632665,0.162431314389599
45,1,62869,-0.0534417636611851,0.0583932065928415,0.360708685409557
49,1,66841,-0.0809442446290876,0.058331113771032,0.166113351136806
50,1,66948,-0.0660199684195495,0.0587439549379913,0.261836203693172
51,1,68621,-0.00676206492915173,0.058688429513506,0.908336473601239
52,1,69417,-0.0491379226683186,0.0584757048550465,0.401301442648766
56,1,74327,-0.00151718821908597,0.0588559228835006,0.979448972373414
57,1,74572,-0.00958304709510576,0.0586970688658256,0.87040495867873
58,1,75211,0.00107282276236987,0.0585922535125312,0.98540191356025
59,1,76030,0.013047238930859,0.0585881659803174,0.823902390148341
60,1,80108,-0.0264587462124467,0.0585614975837453,0.651682407215668
61,1,81262,-0.0260358865697422,0.0585398828219536,0.656769622116541
62,1,81999,-0.0471960671335236,0.0586455108160466,0.421494893396179
63,1,82431,-0.0380502675062491,0.0589423697535296,0.518989982613991
64,1,83284,-0.0363845286295604,0.0585159483166123,0.53448248138786
65,1,83613,-0.0430571659989928,0.0584966591475613,0.462181812786441
66,1,84112,-0.0177866602039723,0.0585403299120192,0.761431843196997
68,1,84858,-0.00928286039187093,0.0587111456439445,0.874459976049352
69,1,85751,0.0113732415000249,0.0589514433763434,0.847128199670211
70,1,87445,0.0243143593721394,0.0590650015130677,0.680842688566017
71,1,87467,0.00172230880752583,0.0593883884650549,0.976880367632746
