SNP,Chr,Pos,Effect,SE,ERV25_RBD2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00029984750706058,0.159107263750058,0.998497402487521
9,1,27272,0.0277899751661832,0.156710854323392,0.859348693431022
16,1,27843,0.120596708138161,0.152875143745461,0.430724759055796
17,1,27848,0.120596708138161,0.152875143745461,0.430724759055796
18,1,28495,0.123212744621681,0.152871713893124,0.420792469823141
19,1,28975,0.148936437234835,0.151782651075579,0.32714243973216
26,1,31435,0.0615588876221138,0.151551406687301,0.684848050651934
29,1,36146,-0.143154870864041,0.15061256895988,0.342516564249555
31,1,37409,-0.0464520759771294,0.151600397454858,0.75947214663966
32,1,37478,-0.0347722235469913,0.151739609770606,0.818879449528876
33,1,39144,0.108383211938266,0.150948230300823,0.473222475220118
34,1,41499,0.077511288428764,0.150582912880987,0.607055743019401
37,1,51248,-0.103080932407689,0.151181086416643,0.495788825022958
38,1,51462,-0.135439931147903,0.15131412633676,0.371348298411982
39,1,52124,-0.102257277934151,0.15118267098287,0.499240899964521
40,1,52667,-0.122682001410021,0.150896946565413,0.416755478191487
42,1,59265,-0.0822458490911673,0.150898482343306,0.586069552021522
43,1,60165,-0.154263079010545,0.150624271171569,0.30646188701657
44,1,62308,-0.121354757529787,0.150543487794768,0.42072157633461
45,1,62869,-0.242605367959512,0.15010870546942,0.106944850911712
49,1,66841,-0.239442546836605,0.15019435260892,0.11178213366513
50,1,66948,-0.239028217154643,0.151124587361096,0.114621985729874
51,1,68621,-0.3450416906492,0.150129221771516,0.0221287761646727
52,1,69417,-0.241536046199249,0.150299091070058,0.10894054515448
56,1,74327,-0.213169196407719,0.151252292295234,0.159608562810697
57,1,74572,-0.220647984573322,0.150816873903434,0.144351913847536
58,1,75211,-0.268159023852594,0.150321609178723,0.0752984902026553
59,1,76030,-0.175399986657806,0.150708797783315,0.245277417068317
60,1,80108,-0.115711008490904,0.150836286210688,0.443517117592233
61,1,81262,-0.0390009334054143,0.150890615115947,0.796193629624442
62,1,81999,-0.0266668170915266,0.151266765382956,0.860167215278597
63,1,82431,-0.0497835166063901,0.151966413762235,0.743411706129093
64,1,83284,-0.0118064006886514,0.150882199509428,0.937674217994716
65,1,83613,0.0648141305584157,0.150827436137486,0.667658795913527
66,1,84112,0.0134554091729403,0.150881808446878,0.928990647382192
68,1,84858,0.0572272558239113,0.151278687179116,0.705442359200673
69,1,85751,-0.0299635784700715,0.151922898186217,0.843761967604492
70,1,87445,-0.041199174719236,0.152236648954879,0.786836963747883
