SNP,Chr,Pos,Effect,SE,ERV25_UIP4_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0631915912522196,0.0745668073369143,0.39731891851018
9,1,27272,-0.101381900426177,0.0733233745729191,0.167640679329548
16,1,27843,0.0188904506187416,0.0717750677380222,0.792558006860383
17,1,27848,0.0188904506187416,0.0717750677380222,0.792558006860383
18,1,28495,0.0358456665130948,0.0717579134292446,0.617712981627075
19,1,28975,0.00452611440359829,0.0713030348151581,0.949422471937991
26,1,31435,0.0104503104408603,0.0711123498625613,0.883251486524858
29,1,36146,-0.00472751056954479,0.070747381183539,0.946760912174556
31,1,37409,-0.000917022518692301,0.0711303354245545,0.989721125412636
32,1,37478,-0.0152891235924859,0.0711868476688982,0.830067112915568
33,1,39144,-0.0908674277427479,0.0707014084411944,0.199555221547494
34,1,41499,-0.0412760053132707,0.0706359099810169,0.559358954962788
37,1,51248,0.00402552624585484,0.0709705466183129,0.954799471078356
38,1,51462,0.0113115153952528,0.0710645568979407,0.873624084930117
39,1,52124,0.00100972661945891,0.0709708496862478,0.988656643114515
40,1,52667,-0.0280107758323401,0.0708414437315387,0.692785829365553
42,1,59265,0.0382783217281937,0.0707920731179769,0.58904519147481
43,1,60165,0.0245382523571868,0.070755813742544,0.728946775901193
44,1,62308,0.0325007315396201,0.0706688687777873,0.645869922559664
45,1,62869,0.0601477763354043,0.070608622753173,0.394876287373383
49,1,66841,0.0571660971100827,0.0706489816030401,0.41897005845533
50,1,66948,0.0517344816236006,0.0710951500901879,0.46729218176899
51,1,68621,0.0471306584001024,0.0709113545863822,0.506713497892087
52,1,69417,0.0536099065354398,0.0707103189889326,0.448859614275017
56,1,74327,-0.0771205786088504,0.0710384532274193,0.278389124288098
57,1,74572,-0.0639285597835327,0.0708858843676578,0.367750540046474
58,1,75211,-0.0468300253787934,0.0707942686285491,0.508726724526155
59,1,76030,0.000957072439946305,0.0708381146391875,0.989227982395424
60,1,80108,-0.120608126180625,0.0705298568253629,0.0881391499769859
61,1,81262,-0.135990264200617,0.0704236302697647,0.0542795680665458
62,1,81999,-0.148590762475094,0.0705254476157645,0.0358305246318857
63,1,82431,-0.158697092798011,0.0708013831580963,0.025618480386831
64,1,83284,-0.184970056518549,0.0700965985749104,0.00868894805688068
65,1,83613,-0.16960585979976,0.0701987303231525,0.016195473760883
66,1,84112,-0.132990659858903,0.0704297733858786,0.059809057166564
68,1,84858,-0.105021445468161,0.0707639270761852,0.138672107180707
69,1,85751,-0.125523752329862,0.0709623124086439,0.0777775421307463
70,1,87445,-0.145512639433481,0.0710056588156344,0.0411704714682634
71,1,87467,-0.151759227444361,0.0713449306763032,0.034103045954647
72,1,89070,-0.152745598216363,0.0708866620800114,0.0318544971288108
73,1,89616,-0.137286123287874,0.0705903238285159,0.0525893662374272
74,1,89679,-0.147193316062069,0.0705427907218901,0.0376431343361489
75,1,89880,-0.153538027860352,0.0705225726320311,0.0301315371121545
76,1,91472,-0.14747375265269,0.0710894292227591,0.0387588239878594
77,1,93789,-0.158274930489507,0.0702815092933984,0.0249354864169467
78,1,94351,-0.169312115266697,0.0703964197700382,0.0166810346551234
79,1,99148,-0.149085520807279,0.0703384095271593,0.0347418451939142
82,1,106800,-0.0451965036087063,0.0708392252739877,0.523877430561569
83,1,107970,-0.0379686891250173,0.0706411653051931,0.591270103897222
84,1,109000,-0.0409100734681405,0.0707611166252156,0.563535929541401
85,1,112549,-0.0811551109599231,0.0705824243820134,0.251007900962251
86,1,112742,-0.0775355490396165,0.0708699223068206,0.274677106235112
87,1,113050,-0.0540199000031917,0.0708122016531782,0.446055497412548
88,1,113135,-0.065126952253139,0.0706049978509299,0.356943322977192
89,1,114076,-0.00922599948675754,0.0706883316267113,0.896232080165535
90,1,114628,-0.0149113492805021,0.0708644264130102,0.833460664946907
91,1,116283,0.0254888842613734,0.0712501216194455,0.720753107076699
93,1,127853,0.122871422930201,0.0708290773590563,0.0836562511049274
94,1,128302,0.140431227241639,0.0704618064403918,0.0470295850614917
95,1,128704,0.131766696538281,0.0705800813840158,0.0627428523880221
96,1,128911,0.133631156584113,0.070578040133454,0.0591247205753919
97,1,130267,0.0713405801581918,0.0708001409180241,0.314320722743779
98,1,130271,0.0708553743252999,0.0708857916033806,0.318202902887575
99,1,130613,0.00232310295300603,0.0716492934623664,0.974152846069845
100,1,132012,0.0852721448157097,0.0713531196281848,0.232861014310493
101,1,133231,0.0574904192684178,0.0709239969746476,0.418146196804192
102,1,137074,0.00537955380057442,0.0708884331361003,0.939551503571625
103,1,137304,0.0145235134597067,0.0709094379934402,0.837832543467962
104,1,139686,0.00884102863287542,0.0710052835779614,0.900980562736384
105,1,149562,0.0136746097548431,0.0711651116905699,0.847732629811489
106,1,150447,0.0104101775515917,0.0719561232859189,0.885050860917496
108,1,154084,0.0284386986649683,0.072164697684972,0.693759573103513
110,1,157269,0.0235341929149475,0.0708594779265984,0.739992111642535
111,1,160054,-0.0190943259651806,0.0715366574199144,0.78968918641282
112,1,166222,-0.0439885021547952,0.0709761141451938,0.535812434285762
113,1,166416,-0.0210398867862278,0.0708617003301325,0.766706196038
114,1,167326,-0.0224483887871602,0.0712632577505842,0.752942847799177
115,1,168836,-0.0661835294621501,0.070847994285152,0.350858703213052
116,1,171200,-0.0601294072077317,0.0709696202372863,0.397426732235374
117,1,171431,-0.0720470378970774,0.0713823355891781,0.313516423252016
118,1,173339,-0.0787451824421311,0.0708054087683813,0.266836879238756
