SNP,Chr,Pos,Effect,SE,HNM1_ERG11_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0459549097148801,0.163038746236102,0.778212228761169
9,1,27272,-0.026320486245613,0.160602235034771,0.869914542122468
16,1,27843,0.0666945732416944,0.156768109157118,0.670779150338825
17,1,27848,0.0666945732416944,0.156768109157118,0.670779150338825
18,1,28495,0.0575907526566211,0.156780871388623,0.713590930696676
19,1,28975,0.0401247510234831,0.155748001199945,0.796845596933135
26,1,31435,0.0146322907566444,0.155348001049799,0.925011348496979
29,1,36146,-0.0853405039243842,0.154482140759844,0.581003679346179
31,1,37409,-0.00548420943097139,0.155384253373205,0.971864858794717
32,1,37478,0.00185089459716281,0.15551807110404,0.990510943489869
33,1,39144,0.00561549850380143,0.154808145087574,0.971084447500689
34,1,41499,-0.0151425912604758,0.154376925573274,0.92191774161948
37,1,51248,-0.230692802231337,0.154549156031304,0.136413537399787
38,1,51462,-0.207677975050569,0.154852359414964,0.18073877158749
39,1,52124,-0.158599961542074,0.154806157842347,0.306297510554049
40,1,52667,-0.225363511312589,0.154322214868223,0.145084993686898
42,1,59265,0.0362718240182256,0.154697539293261,0.814756598928979
43,1,60165,0.0495337620221914,0.154570193726333,0.748808292035539
44,1,62308,0.0304279555464791,0.154414165163208,0.843898553561606
45,1,62869,0.0230774857712967,0.154398377173683,0.881270383689983
49,1,66841,0.106356396502042,0.154372277044878,0.491300718720941
50,1,66948,0.0796016787120206,0.155366312689111,0.608727622324495
51,1,68621,-0.170621829736503,0.154736767134755,0.270926622900985
52,1,69417,-0.0875886807536261,0.154522368604768,0.571186554654653
56,1,74327,-0.071399805318314,0.155396154454508,0.646179820815689
57,1,74572,-0.0917770471633906,0.154951800558487,0.554032808350291
58,1,75211,-0.0270252285543421,0.154739488199831,0.861454899854539
59,1,76030,-0.0118899590714112,0.154744879529186,0.938797636611824
60,1,80108,-0.085450086265342,0.154642720334769,0.580911325920292
61,1,81262,-0.139481962926687,0.154472806642205,0.36716561826955
62,1,81999,-0.176333800813875,0.154744427627632,0.255260503162373
63,1,82431,-0.200278759893637,0.155397458887609,0.19830597784255
64,1,83284,-0.119969186343392,0.154497286555451,0.437966002960142
65,1,83613,-0.111304403666526,0.1544986058533,0.471741150777042
66,1,84112,-0.142627704431915,0.15444272682415,0.356378027365865
68,1,84858,-0.0437155040817815,0.155048135458821,0.778148643261901
69,1,85751,-0.126807354183888,0.155556603174671,0.415516279634484
70,1,87445,-0.0982257486338505,0.155944487876722,0.529182953693321
71,1,87467,-0.14764080767492,0.156651963446585,0.346593247271088
72,1,89070,-0.11052616470026,0.155756212974325,0.478414471913447
73,1,89616,-0.0944188086602784,0.154947304120489,0.542677324609036
74,1,89679,-0.134731239822007,0.154882489516496,0.384949839125369
75,1,89880,-0.120570048680991,0.154954868647008,0.437032542788806
76,1,91472,-0.111793727376086,0.156125532739366,0.474433725930445
77,1,93789,-0.0771826421354642,0.154574603343155,0.617862962344835
78,1,94351,-0.114244615796101,0.154916849049423,0.461333988136831
79,1,99148,-0.0915652554350919,0.154552361817264,0.55392552845911
82,1,106800,-0.162488147373225,0.154596044976793,0.293954686110151
83,1,107970,-0.138300558628961,0.154203438538094,0.370399109974794
84,1,109000,-0.156841964883889,0.154425630101726,0.310493012266013
85,1,112549,-0.325369874025956,0.153502253814465,0.0347336884239782
86,1,112742,-0.289892149326309,0.15430839062334,0.0611155758121015
87,1,113050,-0.250392755089798,0.154242303747335,0.10540237265755
88,1,113135,-0.28050834688745,0.153699231440091,0.0688388618413808
89,1,114076,-0.154667278702436,0.154203079168617,0.316542927074405
90,1,114628,-0.126621689823043,0.154666559463759,0.413524020331507
91,1,116283,-0.120449813890017,0.155542314740221,0.439220824440998
93,1,127853,3.17841427038834e-06,0.155384527541482,0.999983690703876
94,1,128302,0.0211641991340591,0.154783572993918,0.891318890182519
95,1,128704,-0.0209277273708875,0.154937747742304,0.892632055635487
96,1,128911,0.054455767082684,0.15493179152309,0.725436324393242
