SNP,Chr,Pos,Effect,SE,MID2_TPO2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0379933171846263,0.0623793853053059,0.542870821516677
9,1,27272,-0.0509375374175296,0.0614150531852959,0.407439589806478
16,1,27843,0.0251170792780156,0.0600054576885744,0.675777722902762
17,1,27848,0.0251170792780156,0.0600054576885744,0.675777722902762
18,1,28495,0.0328387021559616,0.0599958654621704,0.584484574763808
19,1,28975,0.0186502658723139,0.0596118469332867,0.754570463362036
26,1,31435,0.0302469493037877,0.0594403521381503,0.611166705781644
29,1,36146,0.0141282563303026,0.0591507576617866,0.81135922005861
31,1,37409,0.0339894747746574,0.0594478630055892,0.567853425277047
32,1,37478,0.0182194431673836,0.0595186111512089,0.759698778921661
33,1,39144,-0.0388550147841551,0.0592187765329111,0.512170108733741
34,1,41499,0.0205363274803058,0.05908040566719,0.728348044790806
37,1,51248,0.081112177646427,0.059184786110407,0.171404745339651
38,1,51462,0.0716109704208191,0.0593001376018703,0.228008828497451
39,1,52124,0.0575541747509645,0.0592629143831749,0.332130194192247
40,1,52667,0.0384687467550762,0.0592115393714039,0.516319359494703
42,1,59265,-0.0160027539278313,0.059210914442459,0.787112820636018
43,1,60165,0.00547068110166983,0.0591715753987131,0.926389350798436
44,1,62308,0.00319644110772274,0.0591069703472861,0.956902879531465
45,1,62869,0.00229509269512194,0.0590996652841657,0.969044470342015
49,1,66841,0.0754536769270792,0.0589911023814579,0.201713003474682
50,1,66948,0.0710834469885768,0.0593700909521042,0.231995413805247
51,1,68621,0.073873174569411,0.0591989270859489,0.212902023535275
52,1,69417,0.0434554272603219,0.0591270717718953,0.462858059679622
56,1,74327,-0.118423346394841,0.059162810014973,0.0460870765859761
57,1,74572,-0.111385887664622,0.0590423208594786,0.0600423264118151
58,1,75211,-0.108829489308255,0.0589471345970247,0.0656970024119627
59,1,76030,-0.0651408288677604,0.059129484388961,0.271358320830502
60,1,80108,-0.125644446644794,0.0588382257691666,0.033414410536386
