SNP,Chr,Pos,Effect,SE,MID2_RSN1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0667854831219963,0.0556173265719806,0.230632548980705
9,1,27272,-0.0960221482115982,0.0546554242655155,0.0798079492834936
16,1,27843,0.059708877199448,0.0535007407370661,0.2651648538972
17,1,27848,0.059708877199448,0.0535007407370661,0.2651648538972
18,1,28495,0.0763260429952584,0.0534417304649582,0.154115408092388
19,1,28975,0.0698435676052521,0.0531077096796285,0.189319698394083
26,1,31435,0.0523736892829721,0.0530233786694783,0.32395305809986
29,1,36146,0.0368882421418042,0.0527863138158529,0.485123372415647
31,1,37409,0.0456299453234381,0.0530528603115893,0.390326184622561
32,1,37478,0.0374309376588922,0.053116725563648,0.481466524427126
33,1,39144,0.012850726197152,0.052907097475958,0.808229908708534
34,1,41499,0.0378397410857216,0.0527263028073696,0.473439465790529
37,1,51248,0.0483584096433134,0.0529267978422844,0.361506135280804
38,1,51462,0.0469381616640311,0.0530023536867881,0.37644331805635
39,1,52124,0.038830645233673,0.0529490248743705,0.463826226111433
40,1,52667,-0.0121228463152426,0.0529004875230064,0.818874767800305
42,1,59265,0.0189178236209227,0.0528681458196277,0.720684187641097
43,1,60165,9.57972317675235e-05,0.0528377750606148,0.998554424805931
44,1,62308,-0.013114176920432,0.0527750496581966,0.803898270112058
45,1,62869,-0.012509123424222,0.0527688362827423,0.812751530537058
49,1,66841,0.0247025827137296,0.052781534674913,0.640062243548059
50,1,66948,0.0106802149242228,0.0531188932461832,0.84076554181987
51,1,68621,0.0221444927591218,0.0529649137588987,0.676130126888887
52,1,69417,0.0187527787757194,0.0528283472788887,0.722819795548473
56,1,74327,-0.0853915357902515,0.0529335151299969,0.107597962189118
57,1,74572,-0.0780598533374794,0.0528236922593503,0.140368162737235
58,1,75211,-0.0794711465921697,0.0527208304200411,0.132603680843626
59,1,76030,-0.0383027662632714,0.0528509343449443,0.469096520177404
60,1,80108,-0.0554625966940634,0.0527952698182147,0.294196786797919
61,1,81262,-0.0970483563253824,0.0526047528220369,0.0658955719550607
62,1,81999,-0.0835095159545935,0.0528000770239524,0.114632497143074
63,1,82431,-0.0596726725025329,0.0531428315409436,0.262254378069482
64,1,83284,-0.0490300057565798,0.0527857855048374,0.353602227598431
65,1,83613,-0.0289248131676619,0.0528219986751883,0.584319317397842
66,1,84112,-0.0210908203467657,0.0528383294840962,0.690018458480329
68,1,84858,-0.000680419976763547,0.0529993997276109,0.989764085983371
69,1,85751,-0.0362508550072745,0.0531822652771169,0.495917187633873
70,1,87445,-0.0569643145545797,0.0532434963674005,0.28540295583942
71,1,87467,-0.0638786656055656,0.0535010134726338,0.233290981754795
72,1,89070,-0.0537022076571343,0.0531966802612268,0.313424928319798
