SNP,Chr,Pos,Effect,SE,MID2_PIN2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00884738252316408,0.055205025049369,0.872764722160841
9,1,27272,-0.0636696860779133,0.0542722526184531,0.241525224253633
16,1,27843,0.0161908050468083,0.0530843531624657,0.760544793934855
17,1,27848,0.0161908050468083,0.0530843531624657,0.760544793934855
18,1,28495,0.0340503824335591,0.0530612659414423,0.521472609615209
19,1,28975,0.00456515696071497,0.0527367562352128,0.931066372893025
26,1,31435,0.00293931514963805,0.0525973571204883,0.955466371733228
29,1,36146,-0.0185623607414153,0.0523170466465451,0.72294740157609
31,1,37409,-0.0103927825689866,0.0526063876919515,0.843505055380593
32,1,37478,-0.0304487948456266,0.0526295747397906,0.56326236768435
33,1,39144,-0.0583735633778702,0.0523220810582993,0.265327333285834
34,1,41499,-0.0107513801366588,0.0522657268668523,0.837139051870695
37,1,51248,0.0259403882567343,0.0524731790797541,0.621362854425332
38,1,51462,0.0271527211992079,0.0525426472160998,0.605636911707883
39,1,52124,0.0246439484136076,0.0524749492662596,0.638907471023677
40,1,52667,-0.0185815565345832,0.0523978827740719,0.723082912607771
42,1,59265,-0.0235354441681994,0.0523657965809679,0.653387898113409
43,1,60165,-0.00690579662113854,0.0523399041828453,0.895105867095726
44,1,62308,0.017061137655661,0.0522757444699836,0.744339244753831
45,1,62869,0.0284301159176083,0.0522551597654488,0.586741365414798
49,1,66841,0.0389356332555517,0.0522606300298374,0.456750522880652
50,1,66948,0.0330351300707317,0.0525933006898357,0.530328672240918
51,1,68621,0.0445737275376032,0.0524264762696772,0.395782377534222
52,1,69417,0.0352529011906313,0.052307552825893,0.500781423937457
56,1,74327,-0.0568201451723285,0.0525419998137461,0.280247061195464
57,1,74572,-0.0554508157780248,0.0524058075724303,0.290731368315693
58,1,75211,-0.0441131890723286,0.0523405300261213,0.39990468723457
59,1,76030,-0.0202959627990812,0.0523820277060696,0.698648885791673
60,1,80108,-0.0367513211197998,0.0523442412394289,0.483074364847734
61,1,81262,-0.0496964125707109,0.0522941226818204,0.342597320108161
62,1,81999,-0.0357946218860386,0.0524542611381803,0.49543559335421
63,1,82431,-0.0255997667621478,0.0527197115567017,0.627564488762032
64,1,83284,-0.0490110298169789,0.0522885257134187,0.349235317120473
65,1,83613,-0.0394114272012697,0.0523057404713908,0.451662653182532
66,1,84112,-0.0328917936099916,0.0523242763491883,0.530008056751643
68,1,84858,-0.0126573623041947,0.0524969900141887,0.80961260384202
69,1,85751,-0.0572305407860562,0.0526290295865346,0.277587445735565
70,1,87445,-0.073494438678562,0.0526835254458128,0.163887662664198
71,1,87467,-0.0871438700985667,0.0529021687377907,0.100393507435395
72,1,89070,-0.0545257580035744,0.052692880570533,0.301478089238804
73,1,89616,-0.0308518827344604,0.0524631556620353,0.556862937011357
74,1,89679,-0.0321799449718459,0.0524675458877377,0.540052824952838
75,1,89880,-0.0383571716415252,0.052469092849681,0.465237746026294
76,1,91472,-0.0415169355559427,0.0528523835821537,0.432671994653695
77,1,93789,-0.0236084606510243,0.0523384730518016,0.652214056133472
78,1,94351,-0.0176583410294367,0.0524829251407887,0.736724851746197
79,1,99148,-0.0162661850648362,0.0523463956731631,0.756180727717937
82,1,106800,-0.00620338905823489,0.0524231337798488,0.905871081100982
83,1,107970,-0.00153863968066355,0.0522687952315395,0.976532651106481
