SNP,Chr,Pos,Effect,SE,MID2_RSN1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0681809015805641,0.144686539848574,0.63776628711969
9,1,27272,0.0624791245808565,0.142519703321831,0.6613722035904
16,1,27843,0.00763706003073359,0.139184915967643,0.956273166799034
17,1,27848,0.00763706003073359,0.139184915967643,0.956273166799034
18,1,28495,0.0376917176935478,0.139173305168278,0.786683324847249
19,1,28975,0.00781161918997425,0.138256747500044,0.954974811288994
26,1,31435,-0.0320206111562792,0.137880530625265,0.816490488490899
29,1,36146,-0.125670987874434,0.13701687164527,0.359667440175974
31,1,37409,-0.058521006732288,0.137886576347112,0.671522383795336
32,1,37478,-0.0685180363158064,0.137992134102393,0.619825483684187
33,1,39144,-0.0125927467249269,0.137408767277121,0.927032541587074
34,1,41499,-0.0266630735990627,0.137021907214915,0.845825982763857
37,1,51248,-0.145142925590444,0.1373955101211,0.291513548481391
38,1,51462,-0.124575044080221,0.137639508871243,0.366039244466787
39,1,52124,-0.12206228204059,0.137459074695096,0.375150782220491
40,1,52667,-0.205921600009897,0.136954118479291,0.133583415018055
42,1,59265,0.0280560480147262,0.137314543055735,0.838221527942542
43,1,60165,0.0128631187222977,0.137217184118246,0.925366679315575
44,1,62308,-0.109134537874228,0.136944846975572,0.426031253836774
45,1,62869,-0.0677940666957028,0.137003257316286,0.621024128666792
49,1,66841,-0.0139880960054686,0.137113335383944,0.918799920379985
50,1,66948,-0.0630498324985083,0.137916028840338,0.647836524511621
51,1,68621,-0.212887978710856,0.13711574095724,0.121411159746906
52,1,69417,-0.147437546977836,0.136994321364896,0.282558909049499
56,1,74327,-0.0220294767502515,0.137968329130715,0.873231934663641
57,1,74572,-0.0318490176253584,0.137595540759556,0.817085055932525
58,1,75211,0.0249018141530453,0.137348744155194,0.85623337874845
59,1,76030,0.0939435016681826,0.137264099816616,0.494171912227931
60,1,80108,-0.0109247725585396,0.137321431300793,0.936635305165923
61,1,81262,-0.0767475249133781,0.137209956389906,0.576281878295399
62,1,81999,-0.123919060278805,0.137447827009846,0.367899186380957
63,1,82431,-0.16773396114788,0.137968835054508,0.224897130535426
64,1,83284,-0.0605957532016808,0.137213396413534,0.659036855016672
65,1,83613,-0.0290315788347618,0.137227471537373,0.83257391293901
66,1,84112,-0.058037167694926,0.137216529691238,0.672581649595025
68,1,84858,0.0274003114574042,0.137630933935454,0.842310550784512
69,1,85751,-0.0476825576247704,0.138181087248846,0.730245034295486
70,1,87445,-0.0476781148702815,0.138473295193481,0.730816153005783
71,1,87467,-0.108863419726508,0.139100955387403,0.434374007868348
72,1,89070,-0.0495765414039123,0.138325071444735,0.720253710403043
73,1,89616,-0.0618944466938037,0.137566543556267,0.653041628510764
74,1,89679,-0.0589165909264206,0.13758767758993,0.668758476166669
75,1,89880,-0.0582653509816364,0.137623342682683,0.672284445979394
76,1,91472,-0.0309480600985777,0.138670302955507,0.823526628265057
77,1,93789,-0.100626187220391,0.137146758912567,0.463611455539497
78,1,94351,-0.120286424601074,0.137463509389345,0.382145716348092
79,1,99148,-0.112097803146823,0.137121553678819,0.41419028986485
82,1,106800,-0.0404334201062682,0.137419581080043,0.768752557001095
83,1,107970,0.0214032921397098,0.137024520640484,0.87596430973714
84,1,109000,0.0475564029741175,0.137247409339693,0.729172471095498
