SNP,Chr,Pos,Effect,SE,ERV25_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0343507026210581,0.0648890743388613,0.596877559365068
9,1,27272,-0.0112425041759274,0.0639371528062234,0.860522984879408
16,1,27843,-0.0366690634411372,0.0623965947050463,0.557124637766586
17,1,27848,-0.0366690634411372,0.0623965947050463,0.557124637766586
18,1,28495,-0.00120624801378988,0.0624280885180654,0.984594990801022
19,1,28975,-0.0090473539471565,0.0620089555521741,0.884080462946207
26,1,31435,-0.0151633487978792,0.0618412630490391,0.806445672677633
29,1,36146,-0.0369953971212668,0.0614961063443991,0.547833729016026
31,1,37409,-0.0378659856259019,0.0618274540259107,0.54063693540171
32,1,37478,-0.0415116766667227,0.0618740355063867,0.502718994022653
33,1,39144,-0.113654866176083,0.061333351483893,0.0647069554293682
34,1,41499,-0.11642533808466,0.0611468052156074,0.0577191690796882
37,1,51248,-0.043735779971263,0.061677683612067,0.478729127679541
38,1,51462,-0.0423634649744862,0.0617641478039579,0.493232147436191
39,1,52124,-0.0708103142308846,0.0616064213690728,0.251169948439231
40,1,52667,-0.0377154594393187,0.0615899741699619,0.540691458337534
42,1,59265,-0.0207727391300352,0.0615816672996393,0.736076028940913
43,1,60165,-0.00854353979766756,0.0615433688506497,0.889670403107525
44,1,62308,-0.0305912085574701,0.0614557976165375,0.618952020968726
45,1,62869,-0.0480457882754409,0.0614164263699257,0.434565420504923
49,1,66841,0.0185450001847146,0.0614906897578625,0.763141934274083
50,1,66948,0.0137052331110628,0.0618717356881032,0.824823119265387
51,1,68621,-0.00876272625462748,0.0617066494709216,0.887156127221361
52,1,69417,-0.0392118855197252,0.0615096520717727,0.524217948004428
56,1,74327,-0.0786359626575981,0.0617417217404477,0.203633396308286
57,1,74572,-0.0575443921258715,0.0616426236396204,0.351191560138349
58,1,75211,-0.0360396113017673,0.0615762877077659,0.558730771322953
59,1,76030,-0.0224228281678245,0.0615945968790687,0.716046922550731
60,1,80108,-0.0626023624542018,0.06150139840273,0.309421921599044
61,1,81262,-0.0764024677854106,0.061433867326692,0.214452237814661
62,1,81999,-0.117464074801961,0.0614011920636893,0.056549344934988
63,1,82431,-0.088499509720018,0.0618316668053151,0.153229687206898
64,1,83284,-0.117395323339489,0.0612416574322843,0.0560551864366802
65,1,83613,-0.0989757545198428,0.0613269576545954,0.107442000919257
66,1,84112,-0.0985091876637437,0.0613358939358314,0.1091546479085
68,1,84858,-0.085452210385452,0.0615655526789822,0.16601628101335
69,1,85751,-0.0603238006325927,0.0619038545186024,0.330487702388729
70,1,87445,-0.0470054240320507,0.0620676963074813,0.449360332977975
71,1,87467,-0.0396646981864144,0.0624075917322277,0.525465343701423
72,1,89070,-0.0428275441402234,0.0620105943979186,0.490240127500061
73,1,89616,-0.0233245238831488,0.0617061787248567,0.705662740911816
74,1,89679,-0.0269868062511481,0.0617097668266005,0.662147994196028
75,1,89880,-0.0337792542323039,0.0617159389080978,0.584494904748812
76,1,91472,-0.0285785917347829,0.0621818178919102,0.646088258035563
77,1,93789,-0.0284668636616355,0.0615409334998543,0.643959081177489
78,1,94351,-0.0247901675105795,0.0617074911436339,0.688120879179096
79,1,99148,-0.011038803672276,0.0615567781904627,0.857783689406763
82,1,106800,-0.00806434868612091,0.0616411244144589,0.895986363874948
83,1,107970,0.00257362568501002,0.0614598410302257,0.966622087648633
84,1,109000,-0.0154607322887309,0.0615628075142822,0.801853893852634
85,1,112549,-0.0148895758619069,0.0614935049601753,0.808818106764597
86,1,112742,-0.0189788327883232,0.0617299456003288,0.758682662248286
87,1,113050,-0.026594415690721,0.0616180927357697,0.666295083597398
88,1,113135,-0.0349671287892176,0.061449185307675,0.569689936162249
89,1,114076,-0.0341535056024845,0.061450481607973,0.578707145180669
90,1,114628,-0.0334836997344038,0.061607117983259,0.587126066531864
91,1,116283,-0.0124896137482345,0.0619721201457988,0.840395559490268
93,1,127853,0.0181938733480886,0.0618527137326061,0.768817435574961
94,1,128302,0.0352229054759012,0.061594155081012,0.56778439233116
95,1,128704,0.0622560915782155,0.0615949560331426,0.312836244123208
96,1,128911,0.0671403870275612,0.0615872591202978,0.276383267743519
97,1,130267,0.00295586898715006,0.0616614033897015,0.961793479633862
98,1,130271,0.00411624563394952,0.061734399583404,0.946876836259945
99,1,130613,0.0347854828703047,0.0622841849449028,0.57685965152756
100,1,132012,0.0800755693939805,0.0620331961600059,0.19760035433535
101,1,133231,0.0392549216037118,0.0617028465721307,0.525062880342831
102,1,137074,0.0347103205442715,0.0616227186196388,0.573607631910784
103,1,137304,0.0396956702762543,0.0616356330847353,0.519969231171936
104,1,139686,0.0182715997234206,0.0617452224975665,0.767465754568164
105,1,149562,0.0587126572852482,0.0618148212555071,0.342855977080378
106,1,150447,0.0485948380078405,0.062526829697222,0.437570852926613
108,1,154084,0.0513751418870504,0.0627140578167317,0.413226981840396
