SNP,Chr,Pos,Effect,SE,ERG11_ERG5_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0745511524504598,0.090163873502632,0.408885955533086
9,1,27272,-0.0680635821393245,0.088821929855951,0.444014377759557
16,1,27843,-0.0101178731385558,0.0867907989401953,0.907260991438727
17,1,27848,-0.0101178731385558,0.0867907989401953,0.907260991438727
18,1,28495,0.0280329933084678,0.0867810493730905,0.746862816707583
19,1,28975,-0.0118970712098277,0.0862113821497844,0.890320013124054
26,1,31435,0.000150257245614738,0.0859852861566519,0.998606703491544
29,1,36146,-0.0558968939733427,0.0854901586613593,0.513640525055225
31,1,37409,0.0107026332909312,0.0860025367099283,0.901033340824895
32,1,37478,-0.0181287568773681,0.0860729478956397,0.833304671353214
33,1,39144,-0.100436545875825,0.0855186439856004,0.241010360929245
34,1,41499,-0.103240688871918,0.085271019461329,0.226806616622091
37,1,51248,-0.0782895374268884,0.0857103608874448,0.36164525318918
38,1,51462,-0.0694349091590638,0.0858484437549708,0.419170363130649
39,1,52124,-0.0884962113489179,0.0856822239745987,0.302384864992516
40,1,52667,-0.154683051309785,0.0852775723495851,0.0705455557262813
42,1,59265,-0.0860515064576415,0.0855082740411258,0.314935122618632
43,1,60165,-0.0959774415469475,0.0854135153360859,0.26191247451181
44,1,62308,-0.153833082413894,0.085078963407738,0.0714385622203828
45,1,62869,-0.157619304970514,0.0850485417678335,0.0646755661273013
49,1,66841,-0.111102691687011,0.0852968417744804,0.193580415710403
50,1,66948,-0.141696819255959,0.085695085934728,0.0991181348151152
51,1,68621,-0.160183410106808,0.0853685903655928,0.0614287788231417
52,1,69417,-0.127626990155867,0.0852960755365814,0.135473673426065
56,1,74327,-0.128583411267389,0.0857639461298666,0.134697066915409
57,1,74572,-0.138702637791566,0.0854893577121553,0.10559867661983
58,1,75211,-0.143118039155465,0.0853116975678414,0.0943123292168834
59,1,76030,-0.0725962638889026,0.0855638989309493,0.396765135839599
60,1,80108,-0.143703386298916,0.0852885772707645,0.0928901787760956
61,1,81262,-0.103486823225078,0.0854210755686612,0.226517828087331
62,1,81999,-0.0751846446083404,0.0857141566991893,0.380998741118261
63,1,82431,-0.082331805348307,0.0861022691466177,0.339620799315244
64,1,83284,-0.0198379557350933,0.0855798303923507,0.816822673332198
65,1,83613,0.0315102687946009,0.085560477054284,0.71288472160916
66,1,84112,0.0314354705401252,0.0855699878746971,0.713566465917323
68,1,84858,0.121347965869206,0.0855845353372128,0.157110088549451
69,1,85751,0.0466528211299385,0.0861448904465962,0.588461736283667
70,1,87445,0.0318012096856959,0.0863462615099774,0.712871335369603
71,1,87467,-0.00682853389078,0.0868142023274615,0.937350115549779
72,1,89070,0.0121048722076781,0.0862692096426799,0.888491068145198
73,1,89616,0.0134637224310439,0.0858045251857529,0.875404250033431
74,1,89679,0.00589582811766899,0.0858178097854346,0.94526597606331
75,1,89880,0.00732417985579678,0.0858392427544092,0.932051884519578
76,1,91472,0.00734560127601308,0.0864764167084442,0.932354538711692
77,1,93789,-0.0156660688483838,0.0855822818673392,0.854861748571204
78,1,94351,-0.00692413085666661,0.0858108003989349,0.935733685592895
79,1,99148,-0.00381212231861877,0.0855861031866513,0.964498061051734
82,1,106800,-0.0442271354663976,0.0856694553513883,0.606000767740006
83,1,107970,-0.0286645318886233,0.0854342646216872,0.737435461174564
84,1,109000,-0.0128942391666471,0.0855957227095681,0.880344830826272
85,1,112549,-0.030650499002215,0.0854860115539733,0.720150555151091
86,1,112742,-0.0203971070370169,0.085827824534741,0.812289315061182
87,1,113050,-0.000138340107646573,0.0856902914363745,0.998712791828495
88,1,113135,-0.0248522565964195,0.0854617979979806,0.771375368029583
89,1,114076,0.000734515929798257,0.0854720250253396,0.993148205125929
90,1,114628,0.0497668487137564,0.0856473127815442,0.561565934683984
91,1,116283,0.0653427813542714,0.0860946363115095,0.448380208874045
93,1,127853,0.0303334256604902,0.0859892682364993,0.72448020541782
94,1,128302,0.0390471204928552,0.0856488562678614,0.648743839085551
95,1,128704,0.0421124625026909,0.0857300532695792,0.623574914538843
96,1,128911,0.0549280124865958,0.0857190006672073,0.522073879042843
97,1,130267,0.0690797039026572,0.0856493040490694,0.420473826354275
98,1,130271,0.0684996550891596,0.085752463928168,0.42493953559656
99,1,130613,0.0939652377773856,0.0864875273854134,0.278016865487032
100,1,132012,-0.0114652284178897,0.0864459705607137,0.894562494791935
101,1,133231,-0.0342402619214289,0.0858153414006848,0.690134976240366
102,1,137074,0.00225732389309607,0.0857125314474114,0.979004235084966
103,1,137304,-0.00510888880613158,0.0857419768374289,0.952520318139772
104,1,139686,-0.0119149760873738,0.0858527446072196,0.889700080102989
105,1,149562,-0.0100947283894526,0.0860492739241334,0.906678466406343
106,1,150447,-0.0236507370177138,0.0869963439862948,0.785889385023075
108,1,154084,0.0124954585131533,0.0872717181578578,0.886230678602447
110,1,157269,-0.0235999184385145,0.085681084964052,0.78314008816431
111,1,160054,-0.04695046021412,0.0864683174006903,0.587487096346155
112,1,166222,-0.0403581412917137,0.0858377374452584,0.638525467933366
113,1,166416,-0.0303401175617687,0.0856750744822184,0.723452864617296
114,1,167326,-0.0685169333848741,0.086100034742154,0.4266930403315
115,1,168836,-0.0619216508015136,0.0857054960261478,0.470469582982266
116,1,171200,-0.0509585368929756,0.0858544547446593,0.553196172882807
