SNP,Chr,Pos,Effect,SE,TPO1_MID2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0976242925186301,0.0627351807079657,0.120572502655118
9,1,27272,-0.141532504413645,0.0615453273534772,0.0220513085058936
16,1,27843,-0.00952536634108487,0.0605354514000767,0.87505750818873
17,1,27848,-0.00952536634108487,0.0605354514000767,0.87505750818873
18,1,28495,-0.01029900860341,0.0605360727929487,0.865005277972796
19,1,28975,-0.016733028017133,0.0601272934698643,0.780950092109829
26,1,31435,-0.0233613488470033,0.0599616752261886,0.697063842266664
29,1,36146,-0.0175694547880056,0.0596579831100609,0.768546682809289
31,1,37409,0.0137592331577528,0.0599834432670161,0.818703434569126
32,1,37478,0.000979946776158619,0.0600394589210837,0.986986956849905
33,1,39144,-0.0576415159335904,0.0596867105532015,0.334838188318734
34,1,41499,-0.0558062441112937,0.0595256694191297,0.349134377705433
37,1,51248,-0.0142694061781511,0.0598485952447821,0.811689761542808
38,1,51462,-0.0177008421499594,0.0599271705952659,0.767882945334798
39,1,52124,-0.0281107677020084,0.05983471064825,0.638782976978114
40,1,52667,-0.0515504400468561,0.0596944681843025,0.388409709898131
42,1,59265,-0.0186395120616908,0.0597191046686302,0.755133796983223
43,1,60165,0.0089174658949657,0.0596803232375483,0.881307137867585
44,1,62308,0.0665445491150261,0.0595112710281001,0.264248813314019
45,1,62869,0.0671893788680121,0.0595017173475241,0.259579962439093
49,1,66841,0.0950709750992132,0.0594221195549968,0.110509645457608
50,1,66948,0.0832323703256235,0.0598394226037096,0.16512316221058
51,1,68621,0.0688397971338277,0.0597283533782581,0.249875830207305
52,1,69417,0.000955767114721728,0.0596821888535734,0.987232048813049
56,1,74327,-0.0456733409803987,0.0599610812829239,0.446737861593666
57,1,74572,-0.040719403342241,0.0598113192691339,0.496445872908732
58,1,75211,-0.053601133537593,0.0596733122125819,0.369668279975175
59,1,76030,0.0269349587601139,0.0597242665371728,0.65227472451309
60,1,80108,-0.0445751916668318,0.0596802055994872,0.455620639511709
61,1,81262,-0.0404321965793718,0.0596659691838495,0.498442284977113
62,1,81999,-0.0911505861558699,0.0596536199006613,0.127408668240579
63,1,82431,-0.087633406104546,0.0599527257482011,0.144710731966998
64,1,83284,-0.0986874824411528,0.0594647697888613,0.097883873840108
65,1,83613,-0.0867546540805005,0.0595108578378387,0.145786009112711
66,1,84112,-0.0548879455884474,0.0596247782315849,0.357910959451837
68,1,84858,-0.023243890554725,0.0598520006171744,0.697986623425071
69,1,85751,-0.0338826490477657,0.0600837871820454,0.57316440034176
70,1,87445,-0.00958045245589187,0.0602357570015264,0.873721022509691
71,1,87467,-0.0204143830596692,0.060543514394452,0.73617761117744
72,1,89070,-0.0125828114954893,0.0601705526309569,0.834475892387448
73,1,89616,-0.0361862436894392,0.0598195747281881,0.545618734512921
74,1,89679,-0.0219613557342887,0.0598467373968034,0.713868768178785
75,1,89880,-0.0300949398084848,0.0598518876938366,0.615401881099603
76,1,91472,-0.0153145742642847,0.0603122366966169,0.79970403133254
77,1,93789,-0.01689677482753,0.0596895293776736,0.777283203299369
78,1,94351,-0.0488422560514471,0.0597969329584223,0.414592462729063
79,1,99148,-0.0465051272010035,0.0596449662340002,0.436090440441887
82,1,106800,-0.046283468763443,0.0597260466187274,0.438900154958526
83,1,107970,-0.0301718482842623,0.0595780910722173,0.612874315564154
84,1,109000,-0.00845073630370932,0.0597030704831493,0.887519294646529
85,1,112549,0.0160849455354895,0.0596310334260653,0.78751698778308
86,1,112742,0.00869326282719188,0.0598677371882264,0.884629676900251
87,1,113050,-0.00725999024070884,0.0597675583848347,0.903387560749075
88,1,113135,-0.0131196338993168,0.0596124834623165,0.825934521677019
89,1,114076,-0.0376204581363819,0.059582937532072,0.528189938975036
90,1,114628,-0.0105578124815344,0.0597647508241149,0.859879772492868
91,1,116283,0.0182100665549684,0.0600919968740915,0.762040573677232
93,1,127853,0.0658939112441572,0.059885302612236,0.271935847041227
94,1,128302,0.064698857110899,0.0596581890416984,0.278886619398981
95,1,128704,0.0279894653312857,0.0597984214433477,0.640027956005734
96,1,128911,0.027952138446192,0.0598050932756626,0.640511221089132
97,1,130267,0.0213498776789,0.0597844396069873,0.721219638877232
98,1,130271,0.0217712354952577,0.0598549915526685,0.716275146039962
