SNP,Chr,Pos,Effect,SE,ALO1_ADE17_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0430558752667625,0.0628400794229978,0.493688944651476
9,1,27272,-0.026702790524229,0.0619211996781972,0.666558364317364
16,1,27843,0.0381479717691205,0.0604379483696011,0.528323230790834
17,1,27848,0.0381479717691205,0.0604379483696011,0.528323230790834
18,1,28495,0.0686535835138274,0.0603625250686497,0.256161578909147
19,1,28975,0.0258636517410142,0.0600530206804505,0.666963704244323
26,1,31435,0.0547796712297827,0.0598386557978486,0.360577092178613
29,1,36146,0.0470871754285129,0.0595480102045767,0.429624872842627
31,1,37409,0.0173489764942057,0.0599158637575905,0.772326198793622
32,1,37478,0.0259229967111874,0.0599586180466221,0.665752399907619
33,1,39144,-0.0751900061963221,0.059566528167603,0.207679126461992
34,1,41499,-0.0281971570262202,0.0595162961716714,0.635955356873905
37,1,51248,0.0073897455180699,0.0597873310823855,0.9017019222757
38,1,51462,0.0103595635311744,0.0598671595588746,0.862717190992117
39,1,52124,0.0109523019599115,0.0597857829741468,0.854752218364077
40,1,52667,-0.0252059562731211,0.0596777277979021,0.673013648239438
42,1,59265,0.0152254208474036,0.059657188159192,0.798705527893027
43,1,60165,0.0225447995068511,0.0596055296937753,0.705484599184581
44,1,62308,-0.0185758669985184,0.0595438324821058,0.755247793351326
45,1,62869,-0.0139760659775206,0.0595399141003697,0.814550984241525
49,1,66841,0.0327594390925657,0.0595471015513965,0.582569016775748
50,1,66948,0.0482781220756656,0.059883122696142,0.420666967356938
51,1,68621,0.0430508663977441,0.059731920542706,0.471549788187211
52,1,69417,-0.0179479509470372,0.0596099528266721,0.763523262089088
56,1,74327,-0.0728933894038685,0.0598196982843862,0.223828168214867
57,1,74572,-0.0464127925953313,0.059734728739315,0.437689900783679
58,1,75211,-0.0430509984016141,0.0596327954646453,0.470812419969536
59,1,76030,-0.00890096722428074,0.0596749214282293,0.881514463376883
60,1,80108,-0.0439876726727959,0.0596167379852093,0.461101281245275
61,1,81262,-0.0337424681041618,0.0596130900912775,0.571736781071142
62,1,81999,-0.0471852765919121,0.0597330142648703,0.430095274002183
63,1,82431,-0.0556857668550108,0.0599956318557096,0.353956871345542
64,1,83284,-0.102845005256056,0.0593799156954807,0.0841501425820504
65,1,83613,-0.108550195141152,0.0593445378748982,0.0682202523693909
66,1,84112,-0.0820399575853794,0.0594715991290929,0.168619657827109
68,1,84858,-0.0650402913583656,0.0596997016073299,0.27669533093266
69,1,85751,-0.0858669739942998,0.0598715983871315,0.152404593177552
70,1,87445,-0.0587374793163589,0.0600914418270587,0.329006754102179
71,1,87467,-0.0523831923704684,0.0604234268209402,0.386566445289311
72,1,89070,-0.0526394488711641,0.0600438129197293,0.381254520198415
73,1,89616,-0.0180296703237789,0.0597780841312734,0.76312695426906
74,1,89679,-0.0404817225617805,0.0597545238619556,0.4985534116216
75,1,89880,-0.0475136545611493,0.059755018290032,0.42706589088906
76,1,91472,-0.0283283548620473,0.0602335844557893,0.638425205327826
77,1,93789,0.00446561261132783,0.0596312111057803,0.940346904995784
78,1,94351,0.0223226228608531,0.0597768186047768,0.709050535585982
79,1,99148,0.0052024412872205,0.059631041895062,0.93052715822232
82,1,106800,0.00346832820366265,0.0597118356750751,0.953714238512923
83,1,107970,0.0138797580863738,0.0595306317467676,0.815777570986129
84,1,109000,-0.0457457013252036,0.0595904156265434,0.443197172662117
85,1,112549,-0.0385840606606138,0.0595372161832972,0.517363397140238
86,1,112742,-0.0241522701474045,0.0597909011316948,0.686497342798974
87,1,113050,-0.0539890313949597,0.0596349181846289,0.365910284868937
88,1,113135,-0.051398367910897,0.0594891727216544,0.388177141519376
89,1,114076,-0.0475609204409162,0.0594982138654335,0.424615069274858
90,1,114628,-0.0374762873528471,0.0596693664320098,0.530366958115503
91,1,116283,-0.0391731576250265,0.0599985407347786,0.5142445447097
93,1,127853,0.0049960272916037,0.0599223887655357,0.933600650283994
94,1,128302,0.0225292848091234,0.0596807603353637,0.706031442330687
95,1,128704,0.0273743473914731,0.0597344591001105,0.647042421833252
96,1,128911,0.038002884587485,0.0597245970702208,0.524991912505153
97,1,130267,-0.0362820481731885,0.0596992872103457,0.54374622305323
98,1,130271,-0.0332895621141991,0.059775150051202,0.577939737087939
99,1,130613,-0.0168038891699729,0.0603536184441441,0.780850003115594
100,1,132012,-0.0619008731819412,0.0601419494947203,0.304068699201852
101,1,133231,-0.0342814417586462,0.0597768778862066,0.566678139875272
102,1,137074,-0.0840286896903998,0.0595519599138401,0.159120976454264
103,1,137304,-0.0610325592685713,0.0596520379295177,0.30694092416057
104,1,139686,-0.0969678603094979,0.0595958691028427,0.104610170239075
105,1,149562,-0.0896316615232851,0.0597652982653264,0.134578807633124
106,1,150447,-0.0934112158885503,0.0604162137840434,0.122969599352828
108,1,154084,-0.081046585965636,0.0606545251064192,0.182344559469468
110,1,157269,-0.045653379470896,0.059654642712186,0.444607456067421
111,1,160054,-0.0623536966252013,0.0601799069119804,0.300854700494195
112,1,166222,-0.0798094297441858,0.0596745690293452,0.181949576610782
113,1,166416,-0.069967024995032,0.059587857736417,0.24111343158148
114,1,167326,-0.0716345283358765,0.059922205877294,0.232710292853491
115,1,168836,-0.0248208356517414,0.0597442341655975,0.678063781028995
116,1,171200,-0.072167898872355,0.059724941655123,0.227726225137735
117,1,171431,-0.077844520076682,0.0600792721954512,0.195926564349649
118,1,173339,-0.0783043611332078,0.0596081190568557,0.189816261166899
119,1,173845,-0.0715923189441728,0.0595823884827121,0.230336279070096
120,1,175121,-0.0357398088609822,0.0595553614609144,0.548817510939916
