SNP,Chr,Pos,Effect,SE,MID2_WSC2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.26742296676398,0.162438375381006,0.10059112709793
9,1,27272,-0.222876195442545,0.160173306801737,0.164959489797469
16,1,27843,0.165049809976256,0.156565583965802,0.292517129811045
17,1,27848,0.165049809976256,0.156565583965802,0.292517129811045
18,1,28495,0.173404442061697,0.156542543839354,0.268739346923518
19,1,28975,0.18373625403723,0.155458880769427,0.238042463488291
26,1,31435,0.154406364683702,0.155135941723268,0.320273507313991
29,1,36146,0.0696749506689238,0.154507901209712,0.652304268106257
31,1,37409,0.102158749896863,0.155292880089309,0.51106605260577
32,1,37478,0.118558481706729,0.155393549136733,0.445999031092329
33,1,39144,0.0223485844376727,0.154807364952773,0.885295558811546
34,1,41499,0.121562152119968,0.154246881780208,0.431166412255104
37,1,51248,0.0377272773744711,0.155026640354581,0.80786791502848
38,1,51462,0.0290158519007839,0.155242198019693,0.851840932923034
39,1,52124,0.0467961705870039,0.155019636610525,0.762927000806263
40,1,52667,0.0109837495730611,0.154790068623183,0.943470564161844
42,1,59265,0.0108388479000906,0.154712008387372,0.944186991396536
43,1,60165,0.000983031160886539,0.154596163430691,0.994930114797887
44,1,62308,0.0335838210162397,0.154415804759325,0.827952520829761
45,1,62869,-0.0138626763295448,0.154404991916281,0.92851195023856
49,1,66841,0.0144942120957502,0.154477598990382,0.925299597443621
50,1,66948,0.033624451680522,0.155417280758883,0.828840293233559
51,1,68621,-0.104226975998136,0.154907228541244,0.501492598823131
52,1,69417,-0.0318916611886305,0.154586853399137,0.83667352628403
56,1,74327,-0.133099484054559,0.155284622561745,0.391953226897223
57,1,74572,-0.117576945725642,0.154905927722282,0.448346153890522
58,1,75211,-0.100054164906177,0.154658016509704,0.518092438681839
59,1,76030,-0.0713366737361286,0.154703087145674,0.64499655984342
60,1,80108,-0.121138470734067,0.154578677189937,0.433760024888272
61,1,81262,-0.00883121061793432,0.154653880686928,0.954495403236951
62,1,81999,-0.143166971709081,0.154844904136114,0.355814438314047
63,1,82431,-0.250577616069086,0.155194153496555,0.1072892087789
64,1,83284,-0.117010094308509,0.154507215349744,0.449368452936287
65,1,83613,-0.101132411496211,0.154521914415717,0.513225009274686
66,1,84112,-0.155688025313719,0.154410492770129,0.314013752030533
68,1,84858,-0.0765342482038716,0.155015586978364,0.621811198617159
69,1,85751,-0.129023250884029,0.155554966003185,0.407416947826477
70,1,87445,-0.0695411619136317,0.155991721501499,0.656014774345253
71,1,87467,-0.120660895375676,0.156720952123294,0.441868690173757
