SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0726152109441349,0.0523059421401164,0.165927745334009
9,1,27272,-0.0706287071871712,0.0515239271239541,0.17131001795785
16,1,27843,-0.00413028799751985,0.0504380863634846,0.934781967305033
17,1,27848,-0.00413028799751985,0.0504380863634846,0.934781967305033
18,1,28495,-0.00892873006217015,0.0504371433261565,0.859588804044596
19,1,28975,-0.00662051334338984,0.0501009845685687,0.894946173181234
26,1,31435,0.00502429629423082,0.0499687635807297,0.919965770813778
29,1,36146,-0.0227362003396477,0.0496970843372475,0.647596267153845
31,1,37409,-0.00267313945220821,0.0499803977277987,0.957376726716305
32,1,37478,-0.0193252136537261,0.0500129897134071,0.699430373756741
33,1,39144,-0.0801645000089831,0.0496121606508914,0.107025799741283
34,1,41499,-0.0314988258010008,0.0496288651243612,0.5260433055899
37,1,51248,-0.034082444091052,0.0498355336350032,0.494487984181504
38,1,51462,-0.0346665192929319,0.0499020607580348,0.48770585986408
39,1,52124,-0.0596135766876387,0.0497674968206683,0.231782360246271
40,1,52667,-0.0761558705502692,0.0496233473754593,0.125758647677039
42,1,59265,0.00934917889289968,0.0497610119570962,0.851077413819402
43,1,60165,0.018195525685152,0.0497164636982538,0.714594814495787
44,1,62308,0.0375920115981905,0.0496308934108199,0.449296570411657
45,1,62869,0.0570522136655388,0.0495720517738407,0.250554524303004
49,1,66841,0.0974536919865162,0.0494169036701203,0.0493816723174667
50,1,66948,0.0892251513792869,0.0497672501877722,0.0738531561356907
51,1,68621,0.0842720038660549,0.0496557194710351,0.0905543097979225
52,1,69417,0.0821795749828069,0.0495331503088689,0.0979873593779108
56,1,74327,0.00666367204687301,0.0499980265448342,0.894048916227692
57,1,74572,0.0116641949994252,0.0498623057705439,0.81517639628637
58,1,75211,0.0201305845000704,0.0497637358107562,0.686073032998259
59,1,76030,0.0444985826567431,0.04971888952607,0.371395044144368
60,1,80108,0.00329833565960308,0.0497631902594744,0.947191925480727
61,1,81262,-0.00979021934937188,0.0497419576600431,0.844081554394249
62,1,81999,0.00348542181300876,0.0498658254039146,0.944316014023207
63,1,82431,-0.00651196413610786,0.0501010248676997,0.896658920913734
64,1,83284,-0.0127425981027859,0.0497330132453098,0.797930131876331
65,1,83613,0.00727876317406474,0.049730647806642,0.883717805080739
66,1,84112,0.00204223322894753,0.0497375187721384,0.967271104769413
68,1,84858,0.00960390111924067,0.0498753930986639,0.847415946953549
69,1,85751,-0.0103276967857722,0.0500800074488639,0.836734871184208
70,1,87445,-0.0015828663268419,0.0501888254066878,0.974858134347504
71,1,87467,-0.000443778457765054,0.0504516317561369,0.992986773404111
72,1,89070,0.00522008276474228,0.0501351064234884,0.917133005170632
73,1,89616,-0.00636059515975942,0.0498650212849519,0.898572786921756
74,1,89679,0.00360205754554489,0.0498721166413169,0.942463053570894
75,1,89880,-0.00181937762435913,0.0498850276947434,0.970927085243289
76,1,91472,-0.0163010382993946,0.0502479181897657,0.74581812493582
77,1,93789,-0.0338392301494623,0.0497050168267077,0.49644366813876
78,1,94351,-0.0377463514969555,0.0498280531138413,0.44923649355596
79,1,99148,-0.0385388780946314,0.0496953226712383,0.438561629802343
82,1,106800,-0.0439172878820359,0.0497498452076409,0.377965462951203
83,1,107970,-0.0222912207471066,0.0496429985592386,0.653685191358309
84,1,109000,-0.0358119613613541,0.0497081556872255,0.4717282251972
85,1,112549,0.0182608967756575,0.0496788690823519,0.713407643925523
86,1,112742,0.0115244303741275,0.0498781902066992,0.817408656807507
87,1,113050,-0.01470319218691,0.0497918965052973,0.767943767177234
88,1,113135,-0.017542513861347,0.0496624312823986,0.724123044302596
89,1,114076,-0.00677228093915802,0.0496698997305781,0.891625662741099
