SNP,Chr,Pos,Effect,SE,DHH1_LSM3_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0145303236171763,0.0602895446191611,0.809688053104196
9,1,27272,-0.0364441612447421,0.0593573324871233,0.539624610638307
16,1,27843,0.107116631467814,0.0577028855245148,0.0642370148880901
17,1,27848,0.107116631467814,0.0577028855245148,0.0642370148880901
18,1,28495,0.119749492125333,0.0576334363623456,0.0384521531010135
19,1,28975,0.10716266083259,0.0573140900571053,0.0623470171599028
26,1,31435,0.0854585958500012,0.0572642341725768,0.136499129245263
29,1,36146,0.0520458474926777,0.0570812088170003,0.362503615665296
31,1,37409,0.063663902061483,0.0573573755565071,0.267775480267191
32,1,37478,0.0631303122963638,0.0574085235546659,0.272226211433511
33,1,39144,0.0183409922936927,0.057236029276938,0.74882071455492
34,1,41499,0.0197193825858736,0.0570759210856538,0.729928887101019
37,1,51248,0.0514183596211166,0.057263193537768,0.369834703342815
38,1,51462,0.0461344690491261,0.0573537515049945,0.421716336097767
39,1,52124,-0.0118023141504378,0.0573251112984638,0.837000331738928
40,1,52667,-0.0140174723981388,0.0572318135470727,0.806657218610211
42,1,59265,0.0258699267989155,0.0571912289530866,0.651301327035899
43,1,60165,0.0490910862836675,0.0571048267033567,0.390556531981584
44,1,62308,-0.0062326540454663,0.0571007394129349,0.91314403347001
45,1,62869,-0.0432579295015504,0.0570480894469465,0.448794521508726
49,1,66841,0.00187104106847608,0.0571213525385721,0.973888041280089
50,1,66948,0.00932959290555471,0.0574698551740146,0.871131870373303
51,1,68621,0.0203376318988147,0.0573060849308682,0.722880335287373
52,1,69417,-0.0189355579465222,0.0571556865580415,0.740616075454905
56,1,74327,-0.00273142620543532,0.0574786742603213,0.962125114908003
57,1,74572,-0.0192276951070245,0.0573166955395578,0.737474280983296
58,1,75211,0.0233561379899375,0.0572078263085807,0.683324293431941
59,1,76030,0.00737648442963648,0.0572199842678986,0.897498737742901
60,1,80108,-0.0681783714818084,0.0570925967990123,0.233212577388888
