SNP,Chr,Pos,Effect,SE,SSH1_ERG11_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.218450288517627,0.152433881378134,0.152719375971943
9,1,27272,-0.0851126892823686,0.150512644200584,0.572102953543396
16,1,27843,0.00980074291691088,0.147017080633609,0.946886954708163
17,1,27848,0.00980074291691088,0.147017080633609,0.946886954708163
18,1,28495,0.0247526909896515,0.147014483576932,0.866389370139114
19,1,28975,-0.0067393186660947,0.146037198910393,0.963218416402928
26,1,31435,-0.019542970750654,0.145647002122738,0.893336404235791
29,1,36146,-0.0708367380076068,0.144850620950333,0.625122015390672
31,1,37409,-0.0013500860484143,0.145683114342976,0.992611122162845
32,1,37478,-0.0154098009937939,0.145806060319525,0.915890747616989
33,1,39144,-0.101706214410762,0.145042024116026,0.483628385203149
34,1,41499,-0.0824271007196652,0.14467390833346,0.569213691833942
37,1,51248,-0.159946169964795,0.145106988070543,0.271097974167219
38,1,51462,-0.142437770543664,0.145356030489969,0.327795052291793
39,1,52124,-0.083640444968166,0.145288308300066,0.565194243745117
40,1,52667,-0.18728204198943,0.144780802503191,0.196664698463066
42,1,59265,-0.032722108604148,0.145039873215878,0.821637130008774
43,1,60165,-0.0304633351053079,0.144931650310487,0.833639834965459
44,1,62308,-0.130507552824756,0.144614590079811,0.367432808758309
45,1,62869,-0.118181074136971,0.144626410400593,0.414395433962277
49,1,66841,-0.0753183982780919,0.144775867450941,0.603221456818491
50,1,66948,-0.111240090208464,0.145599874099108,0.445370295964858
51,1,68621,-0.283335923847948,0.144540877284396,0.0507530853540949
52,1,69417,-0.197224797662652,0.144560093519581,0.173339133049178
56,1,74327,-0.264122599933824,0.145058000296695,0.0694827030316465
57,1,74572,-0.230056327488419,0.144832911981306,0.11308533412916
58,1,75211,-0.200285135954118,0.144692477731661,0.167167850198301
59,1,76030,-0.199874735193967,0.144694085370993,0.168041784824771
60,1,80108,-0.217736764360387,0.144586631845245,0.132980461710562
61,1,81262,-0.223383086714581,0.144507208599556,0.123042453414892
62,1,81999,-0.230888064364247,0.144829162526268,0.111783988747935
63,1,82431,-0.240115177008095,0.145477361375239,0.099723374683331
64,1,83284,-0.208894323321164,0.144547977696251,0.149301293592513
65,1,83613,-0.183157441689262,0.144630806449853,0.206212373180021
66,1,84112,-0.204264245685041,0.144566721604178,0.158554176836639
68,1,84858,-0.0529938062140354,0.145356746469323,0.715645079758223
69,1,85751,-0.209545291328861,0.145555010619575,0.150858433747836
70,1,87445,-0.199213702712304,0.145905511695002,0.173009042628625
71,1,87467,-0.255139626654471,0.146427764670891,0.0823047148845296
72,1,89070,-0.229046613804455,0.145626346933149,0.116652221658828
73,1,89616,-0.196456828763849,0.144972994289885,0.176243587239699
74,1,89679,-0.236005729835412,0.144824267300726,0.104077892895149
75,1,89880,-0.217683418284672,0.144942495313592,0.134027097980329
76,1,91472,-0.188842218481929,0.146138905088459,0.197129556328587
77,1,93789,-0.109938784178507,0.144856810271598,0.448390136851799
78,1,94351,-0.137142090695174,0.145173103995125,0.34546853947209
79,1,99148,-0.109242767923465,0.144858301957981,0.451270701399315
82,1,106800,-0.0844198101280867,0.145100948383683,0.561072392655595
83,1,107970,-0.0666974968324716,0.144696871812737,0.645120948014183
84,1,109000,-0.0200476032620513,0.144991567255048,0.89010794866113
85,1,112549,-0.190281800764727,0.144476822900516,0.188679418512874
86,1,112742,-0.129175729709752,0.145232972909546,0.374373434724207
87,1,113050,-0.0676474738227811,0.145106361162118,0.641365375263783
88,1,113135,-0.13369290873025,0.144606347045614,0.355841989373824
89,1,114076,-0.0284199856382149,0.144773414318036,0.844483110495683
90,1,114628,-0.0642279017733973,0.145107325864404,0.658309228900598
91,1,116283,-0.0692891701621438,0.145908284677249,0.635164981021111
93,1,127853,-0.068895773748497,0.145636974807944,0.636459099437359
94,1,128302,0.0131071863412864,0.145121864174977,0.928085359619905
95,1,128704,-0.0132899641880967,0.145266278547296,0.927157593483912
