SNP,Chr,Pos,Effect,SE,ERG11_MID2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0767808173168638,0.120707842804727,0.525131221013496
9,1,27272,-0.0553754678462075,0.118926687971484,0.641769712876425
16,1,27843,0.0472429746131521,0.116121271022188,0.684370826946622
17,1,27848,0.0472429746131521,0.116121271022188,0.684370826946622
18,1,28495,0.0571643817276121,0.116110516269289,0.622794005407862
19,1,28975,0.0738321840067819,0.115307031155695,0.522386823270342
26,1,31435,0.0783419102733499,0.114992719974012,0.49614283077822
29,1,36146,0.0361646679210202,0.114458769125688,0.752217777660501
31,1,37409,0.0783776560262614,0.115018277159236,0.496042114633971
32,1,37478,0.0623414072085833,0.115145043958933,0.588562183105285
33,1,39144,-0.00954320120448601,0.114666063081027,0.933718989650097
34,1,41499,0.020949789849064,0.11434369009817,0.854732381193005
37,1,51248,-0.0945301043016167,0.114725577356021,0.410514594957273
38,1,51462,-0.0783685040127267,0.114915892545508,0.495708908467732
39,1,52124,-0.042797458459649,0.114813255536512,0.709552932334449
40,1,52667,-0.0856302725367037,0.114561186320425,0.455281613254924
42,1,59265,0.00487337545007988,0.11459367700056,0.966102283770438
43,1,60165,0.0301041857532018,0.114496164801838,0.792759881331702
44,1,62308,0.0072887361070598,0.114380784586696,0.949226515402376
45,1,62869,0.016851860811071,0.11436355934938,0.882937199528118
49,1,66841,0.0349114802849968,0.114405887867803,0.760428274288607
50,1,66948,0.0378476340398194,0.11510556621016,0.742495774981033
51,1,68621,-0.164186443574509,0.114478265695837,0.152396167747053
52,1,69417,-0.0634678557593064,0.114457537215724,0.579580963506847
56,1,74327,-0.031827781968762,0.115124465753272,0.782353425445586
57,1,74572,-0.0461052571078523,0.114804173997395,0.68822208335385
58,1,75211,0.00218083644626116,0.114621013025063,0.984830716590498
59,1,76030,-0.000143498975811729,0.114621071543495,0.99900180196324
60,1,80108,-0.0435338006898894,0.114570542781984,0.704193397901558
61,1,81262,-0.00946331145964616,0.114549541185416,0.934205878752394
62,1,81999,-0.062387725802465,0.114782376795198,0.58710765553492
63,1,82431,-0.0998958472393634,0.115251395955153,0.386659692791397
64,1,83284,-0.0639006691238205,0.114483906778734,0.577086985732654
65,1,83613,-0.0111869699233692,0.114520246598146,0.922237454551042
66,1,84112,-0.0460819118951595,0.114508150883171,0.687608627258886
68,1,84858,0.0604952357919996,0.114812526609201,0.598590863760922
69,1,85751,0.0292001548423959,0.115319289411088,0.800252282062309
