SNP,Chr,Pos,Effect,SE,SRO9_GIS2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00640971564521187,0.100758754920976,0.9493132095159
9,1,27272,-0.00998659228538379,0.0992447325390997,0.919904548148019
16,1,27843,0.114247681606625,0.0967069695209552,0.238247081482232
17,1,27848,0.114247681606625,0.0967069695209552,0.238247081482232
18,1,28495,0.119663879768354,0.0966899841222955,0.216685608120519
19,1,28975,0.11293133594002,0.0960639453772396,0.240553010604678
26,1,31435,0.111472940558762,0.0958132668201265,0.245437042461604
29,1,36146,0.037387659963403,0.0954810567170254,0.695611119469635
31,1,37409,0.0782249109761397,0.0959278455311537,0.41536135756644
32,1,37478,0.0765296699850493,0.0960143345100735,0.425949033456584
33,1,39144,-0.013477934377012,0.0956594750247173,0.888033318567702
34,1,41499,0.0398276435264555,0.0953732640926166,0.676495252464468
37,1,51248,0.101345526236341,0.0956508978577451,0.290080386867922
38,1,51462,0.0836069295191569,0.0958295183168035,0.383553323085113
39,1,52124,0.0768662026240141,0.0957154774592308,0.422474814411879
40,1,52667,0.0803420135905734,0.0955537004877649,0.401026443382134
42,1,59265,-0.0244643749371821,0.0955922144650725,0.79815832347768
43,1,60165,-0.00702590824383574,0.0955281077997647,0.941411648119923
44,1,62308,-0.019814383363007,0.0954179509195645,0.835615086562905
45,1,62869,-0.0411432914460256,0.0953866606908478,0.666490489711467
49,1,66841,-0.0317413339510343,0.0954418095178025,0.739654312083468
50,1,66948,-0.0239381389113848,0.0960341386251969,0.803299253726978
51,1,68621,-0.108732770965844,0.0956074127791216,0.256191001778278
52,1,69417,-0.0551870649848855,0.0954836709752212,0.56365027805649
56,1,74327,-0.160774968892273,0.095672122788998,0.0937488282167747
57,1,74572,-0.144789898829026,0.0954878546507943,0.13033406428634
58,1,75211,-0.16240255504068,0.0952322155916728,0.0890122281715839
59,1,76030,-0.119012995411365,0.0954136548352021,0.213100791901181
60,1,80108,-0.0585127377247283,0.0955503425864303,0.540683269760332
61,1,81262,-0.0614777550102243,0.0955089054813107,0.520196969226615
62,1,81999,-0.0239343132069382,0.0957898533492031,0.802838856233286
63,1,82431,-0.00938549165894065,0.0962505112669983,0.922375873950684
64,1,83284,-0.0102712371718535,0.0955498340626145,0.914456466424636
65,1,83613,-0.00443976322893269,0.0955405765629319,0.962961984108228
66,1,84112,0.0212024552895789,0.0955447337916896,0.824511264281073
68,1,84858,0.0470644126640302,0.0957883246887962,0.623492982509438
69,1,85751,0.0427987111704321,0.0961879533564093,0.656629483972677
70,1,87445,0.0442917026481311,0.0963894912166258,0.646152557058315
71,1,87467,0.0238142692285182,0.0969147806976529,0.806038843272976
72,1,89070,0.0847188004699658,0.0962108507886278,0.379158643218903
73,1,89616,0.00882926399131688,0.0957971710167563,0.926618251094886
74,1,89679,0.0283500823466655,0.0957985720355361,0.767454275810673
75,1,89880,0.0445150953661263,0.0958054386903508,0.642475313283889
76,1,91472,0.0772831281069941,0.0964584261300127,0.42355100228882
77,1,93789,0.0445958897494569,0.0955219120191807,0.640884091471208
78,1,94351,0.00477174309273347,0.0958025356475779,0.960303475120955
79,1,99148,0.0805774606923442,0.0954551028314753,0.399162931008823
82,1,106800,0.0365043888716339,0.095660556608032,0.702985194667387
83,1,107970,-0.0142190914428078,0.0953938171458192,0.881593978151262
84,1,109000,0.0685152106691321,0.0954953374186577,0.473557538523264
85,1,112549,0.0327190463254512,0.0954408741923827,0.731937884232376
86,1,112742,0.0381027914328523,0.0958071986094737,0.691089659825799
87,1,113050,0.0654978797842622,0.0956039115152281,0.493732804980584
88,1,113135,0.036314776667076,0.0954042016589729,0.703698406308028
89,1,114076,0.0720280545292992,0.0953467386319086,0.450493089314926
90,1,114628,0.105768212063811,0.095499405712003,0.268820046871179
91,1,116283,0.110215256073395,0.0960182364272882,0.251804683938385
93,1,127853,0.0025784090983467,0.0960180575714126,0.978591854078386
94,1,128302,-0.0213460637356721,0.0956425874513343,0.823520027174406
95,1,128704,-0.0353941389511729,0.0957260124021467,0.71179480333523
96,1,128911,-0.0109048914266566,0.0957533847173113,0.909393557624032
97,1,130267,0.129697975205073,0.0954604835000342,0.175123105194146
