SNP,Chr,Pos,Effect,SE,ERG27_ACF2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0253378769786656,0.158729417303543,0.87326433808114
9,1,27272,0.0163001835187704,0.156348897426312,0.917026047999177
16,1,27843,-0.0429029975029528,0.152634896648733,0.778811808473202
17,1,27848,-0.0429029975029528,0.152634896648733,0.778811808473202
18,1,28495,-0.0223582726337201,0.152649810137272,0.883635763875156
19,1,28975,-0.00757928361059984,0.151633504330791,0.960163227006794
26,1,31435,-0.0883809541474405,0.151159113573204,0.559130876074092
29,1,36146,-0.2201209708048,0.149995617647651,0.143126128365249
31,1,37409,-0.160099335277364,0.151025745430347,0.289833101605546
32,1,37478,-0.131920913145149,0.151233074707324,0.383636576300948
33,1,39144,0.00900047900360989,0.150704362748784,0.952410247829941
34,1,41499,0.0448804511570135,0.150268116375602,0.765368234486604
37,1,51248,-0.120303260833666,0.150790905806979,0.425514153841026
38,1,51462,-0.145446781479178,0.150933054777602,0.33588062065934
39,1,52124,-0.144442938581147,0.150730862054455,0.338575545893799
40,1,52667,-0.0571691776480681,0.150654187597386,0.704564919336441
42,1,59265,-0.140961678575054,0.150421906427523,0.349343326403368
43,1,60165,-0.0213652828865854,0.150490789028058,0.887184139155833
44,1,62308,-0.112091049087662,0.150211142991694,0.456029216054424
45,1,62869,-0.131580192892587,0.150147454281218,0.381441276296573
49,1,66841,-0.14524519781291,0.150182698282757,0.334144482856895
50,1,66948,-0.153922110774835,0.151082487332097,0.308997939839546
51,1,68621,-0.343053234803429,0.149785780072535,0.0225935456980392
52,1,69417,-0.182752951432703,0.150180414830558,0.224459259495978
56,1,74327,-0.143748502175115,0.151128953595413,0.342171639139861
57,1,74572,-0.131631360809941,0.150756921758366,0.383182271515174
58,1,75211,-0.165529727669958,0.150386665089273,0.271779775773095
59,1,76030,-0.0742786820424124,0.150592628907433,0.622147967628156
60,1,80108,-0.06878699478447,0.1505643893083,0.648051971828194
