SNP,Chr,Pos,Effect,SE,SNA4_GTR2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.220127301112389,0.163642012853103,0.17943193734284
9,1,27272,0.257240327233154,0.161016012929167,0.11102516599725
16,1,27843,-0.141245571906797,0.157594421166635,0.370724716068274
17,1,27848,-0.141245571906797,0.157594421166635,0.370724716068274
18,1,28495,-0.131629222797858,0.157620561147631,0.404225198583475
19,1,28975,-0.0741108203489378,0.156671892646986,0.636482701121957
26,1,31435,-0.190348111199201,0.155977630865479,0.22314485203412
29,1,36146,-0.23574116411032,0.15499328788142,0.129160919268662
31,1,37409,-0.0866770773304839,0.15627301679484,0.579484238485598
32,1,37478,-0.0619550936118499,0.156440745043812,0.692322793459579
33,1,39144,0.0465577086241391,0.155741744540572,0.765160407792475
34,1,41499,-0.0106469998868657,0.155328375844357,0.945390525494791
37,1,51248,-0.0385048942797032,0.155977100431855,0.805158153904541
38,1,51462,-0.0483299709425827,0.156180905880813,0.757162843730556
39,1,52124,-0.0236118360052588,0.15598550112724,0.879768750509211
40,1,52667,0.00016068643274747,0.155740567483308,0.999177359915738
42,1,59265,-0.0863055574023761,0.155594207149356,0.579462352991996
43,1,60165,-0.0608780700038525,0.155510618603865,0.695684498556461
44,1,62308,-0.166899111674887,0.155119161104277,0.282688316943093
45,1,62869,-0.173556273137607,0.155078915128613,0.263837909372258
49,1,66841,-0.126053114820425,0.155282138953291,0.417471647798858
50,1,66948,-0.155327451061638,0.156162201540101,0.320585599895688
51,1,68621,-0.310936830130792,0.155076677580525,0.0457205404242691
52,1,69417,-0.189838428482729,0.155215846625304,0.222122574754932
56,1,74327,-0.126150017273264,0.156255352875433,0.420018618634537
57,1,74572,-0.0354683439420119,0.155971733371822,0.820242513033015
58,1,75211,-0.117962811796858,0.155572172138895,0.44880644405715
59,1,76030,0.0225763000380879,0.155694177044828,0.884790360288831
60,1,80108,0.063864081778665,0.155624882718211,0.681782102729544
61,1,81262,0.0150764878002793,0.155601083336825,0.922867211741994
62,1,81999,-0.027534577918199,0.155976272611977,0.859978380779778
63,1,82431,-0.0377473953770074,0.156708661993318,0.809790868041595
64,1,83284,-0.0542481373793765,0.15555430724777,0.72749180210205
65,1,83613,-0.0289818066650533,0.155556309679854,0.852308128775086
66,1,84112,-0.0677164628133448,0.155539348971131,0.663563237742159
68,1,84858,-0.0701630544895102,0.155975500849137,0.653106373619978
69,1,85751,-0.0647447129258805,0.156623578371706,0.679580828999703
70,1,87445,-0.0340463207992753,0.15698219608927,0.828427043738585
71,1,87467,-0.0587279478984898,0.157783559798817,0.709963013815054
72,1,89070,-0.00602677678339625,0.156826478595313,0.969366895334566
73,1,89616,-0.0473482413247143,0.15596279842693,0.761621589995659
74,1,89679,-0.0491490036236648,0.1559809755747,0.752874837572357
75,1,89880,-0.0444358045901786,0.156024513010689,0.775964266440478
76,1,91472,-0.000200924806089908,0.157200706043749,0.998980912593185
77,1,93789,-0.0109495039908216,0.155580010225472,0.943932173272121
78,1,94351,-0.0592093596422315,0.155958727351415,0.704435299316281
79,1,99148,0.0162234006735915,0.155578705524436,0.917008138883439
82,1,106800,-0.090677550123337,0.155716187563298,0.560719008634166
83,1,107970,-0.107146806275966,0.155224685485658,0.490478545796811
84,1,109000,0.00836386592270436,0.155602515645366,0.957163571340268
