SNP,Chr,Pos,Effect,SE,ERV25_RBD2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.102933082633816,0.069831241237722,0.141365729764644
9,1,27272,-0.113555842252197,0.0687286515683967,0.0993759321002477
16,1,27843,0.0905301448691241,0.0671889169176125,0.178716605906357
17,1,27848,0.0905301448691241,0.0671889169176125,0.178716605906357
18,1,28495,0.116771086451289,0.0670752365680587,0.0825728965780474
19,1,28975,0.101319701878285,0.0666946193460723,0.129617705287803
26,1,31435,0.131063619872884,0.0663694073127271,0.0490743574177315
29,1,36146,0.0999008429161495,0.0661776191714685,0.132043498916133
31,1,37409,0.0994383155890453,0.0665396985842865,0.135958993230364
32,1,37478,0.0887838329301016,0.0666398991106242,0.183623551966331
33,1,39144,0.0294252541037239,0.0664839303999316,0.658331959760705
34,1,41499,0.0797800166695789,0.0661818304248108,0.228830478305145
37,1,51248,0.0194952470765663,0.066592107975839,0.769880579209692
38,1,51462,0.0065847368598322,0.0666895810560568,0.921403042731371
39,1,52124,0.0258402996306056,0.0665859891714419,0.698195098306624
40,1,52667,-0.0115908356690736,0.0664905938711021,0.861711605325775
42,1,59265,-0.0585942420923213,0.0663866989285466,0.378042150285239
43,1,60165,-0.0347497877756642,0.0663839293481437,0.600977852277206
44,1,62308,0.00755752860538367,0.0663354339920104,0.909358857993993
45,1,62869,-0.00333334069304399,0.0663280846236285,0.959947332960531
49,1,66841,-0.0198532093982214,0.066351168237658,0.764952726111449
50,1,66948,-0.0264704706726554,0.0667519720289577,0.691939205215977
51,1,68621,-0.083503919871647,0.0664374708622581,0.209628154515324
52,1,69417,-0.0624608700879371,0.06632642669876,0.346980426808201
56,1,74327,-0.0170238066932451,0.0667686574936925,0.798897038149282
57,1,74572,-0.036253524572201,0.0665690697550924,0.586372420945616
58,1,75211,-0.0199272255866048,0.066467167338176,0.764501940699098
59,1,76030,-0.0198879470859035,0.0664672006648133,0.764952506570199
60,1,80108,-0.0713167162385052,0.0663514255568955,0.283183519205778
61,1,81262,-0.0437289601918118,0.066394004032681,0.510563930307129
62,1,81999,-0.0715311775832943,0.0664881147367886,0.282729503671804
63,1,82431,-0.110580117220752,0.0666529322817904,0.097995181607408
64,1,83284,-0.056121064587163,0.0663581773950039,0.398276592727234
65,1,83613,-0.0550588483348657,0.0663533713649357,0.407222709325255
66,1,84112,-0.0308351491237776,0.0664050940074725,0.642683861202286
68,1,84858,0.0189936436952432,0.0666051730928936,0.775682907739848
69,1,85751,0.00210982239853642,0.0668865464855788,0.974854087762448
70,1,87445,0.0264820644575278,0.0670132130002197,0.692951129881125
71,1,87467,-0.00832100034071361,0.0673774737191653,0.901782843607668
72,1,89070,0.018157914160972,0.0669502504986539,0.786384183147172
73,1,89616,0.0108464710719715,0.0665945272077162,0.870711384119482
74,1,89679,0.00119883778278249,0.0666054322042269,0.985649740869674
75,1,89880,0.00500289293493113,0.066621806930712,0.940182519369152
76,1,91472,0.00478185487080585,0.0671163796127923,0.943241355135846
77,1,93789,0.0599211305478223,0.0663487641632618,0.367076194204679
78,1,94351,0.0482305704139428,0.06655070057934,0.469104398874115
79,1,99148,0.0401326494992994,0.0663910183894765,0.545906815421266
82,1,106800,0.0171491882279535,0.066508708876618,0.796673884156727
83,1,107970,0.00926465186984881,0.0663160784633461,0.88897317695232
84,1,109000,-0.00563090180885194,0.0664341102826309,0.932500882396543
85,1,112549,0.0400890401797441,0.0663252690841307,0.545945499521956
86,1,112742,0.05581564977502,0.0665518466487587,0.402216904441573
87,1,113050,0.0406552594842633,0.066470836696046,0.541179250612607
88,1,113135,0.0154516573756811,0.0663315554555219,0.815938501760274
89,1,114076,-0.0106182006464056,0.0663342461402274,0.872916563917068
90,1,114628,-0.0166923023394068,0.0664985389503894,0.801946567525417
91,1,116283,0.0213679457082973,0.0668646932205299,0.749483410284825
93,1,127853,-0.0113570746130311,0.0667471150487907,0.86498902240901
94,1,128302,0.0525190429674102,0.0664346740940812,0.429745209921648
95,1,128704,0.066241825438566,0.0664662005690269,0.31962961280915
96,1,128911,0.0668997855907117,0.0664717108390135,0.314893361089903
97,1,130267,-0.0193638600768067,0.0665274750948882,0.771172084935823
98,1,130271,-0.0193763592824828,0.066606443128049,0.771292387834204
99,1,130613,-0.00202832547191562,0.0672368483238416,0.97595101613124
100,1,132012,-0.0309981348201748,0.0670739296194314,0.64425933388516
