SNP,Chr,Pos,Effect,SE,ERG11_ERG5_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0306747741098576,0.0999288624964545,0.759050167700844
9,1,27272,-0.0277325883178821,0.0984302269875049,0.778301308408133
16,1,27843,-0.0619307140115919,0.0960555975404301,0.519515615372642
17,1,27848,-0.0619307140115919,0.0960555975404301,0.519515615372642
18,1,28495,-0.031773180948366,0.0960988152245193,0.741119903728046
19,1,28975,-0.0618003588338583,0.0954145483957466,0.517597613563068
26,1,31435,-0.0503147638248909,0.0951806140744136,0.597398455846173
29,1,36146,-0.0878831418350741,0.0946117377075006,0.353584958509972
31,1,37409,-0.00336306986802809,0.0952393036307422,0.971851084764961
32,1,37478,-0.0332034713590373,0.0953049599023428,0.727753603650016
33,1,39144,-0.105519681070007,0.0947200116336051,0.266029929328595
34,1,41499,-0.120744564961338,0.0944046826810922,0.201733557237925
37,1,51248,-0.103384825617328,0.0948664819074256,0.276547725718352
38,1,51462,-0.097052635561655,0.0950144767666734,0.30774030530895
39,1,52124,-0.112694178440344,0.0948364430556979,0.235513947214362
40,1,52667,-0.201016790908959,0.0942684385093332,0.0336647653784461
42,1,59265,-0.0634593845158714,0.0947656083786465,0.503521428345428
43,1,60165,-0.0875244383811149,0.0946395416002779,0.355691878874512
44,1,62308,-0.14746737830524,0.0943239168261005,0.118851143957045
45,1,62869,-0.153961719445948,0.09428258335536,0.103364480723003
49,1,66841,-0.0893555011889483,0.0945631092594246,0.34534102725591
50,1,66948,-0.11707160350448,0.0950597052809556,0.218933799123911
51,1,68621,-0.212144251335149,0.0943322719665359,0.0251346880337445
52,1,69417,-0.165313977405571,0.0943447168597172,0.0806019049056846
56,1,74327,-0.185829119238577,0.0947602991342853,0.0506597299851458
57,1,74572,-0.197514457002508,0.0944381029486362,0.0372002712374605
58,1,75211,-0.196516641887954,0.0942697231549297,0.0378220681858952
59,1,76030,-0.125694958355588,0.0946119726684362,0.184860883094124
60,1,80108,-0.171286213882204,0.0943865218520597,0.0704137852410618
61,1,81262,-0.0871425365032602,0.0946763909847647,0.357979167972803
62,1,81999,-0.0870440170670909,0.0949084144287593,0.359697023520461
63,1,82431,-0.089354356570957,0.095352700089996,0.34935134763151
64,1,83284,-0.014366383746407,0.0947734148626142,0.879599563172394
65,1,83613,0.0349271867321226,0.0947478204328339,0.71262217053005
66,1,84112,0.014516382273415,0.0947733501119562,0.87835216372004
68,1,84858,0.0863633550418189,0.0949327676119482,0.363584711914389
69,1,85751,0.0236590416984192,0.0954263353430322,0.804332801656586
70,1,87445,0.0155260181474786,0.0956328153723261,0.871122882488522
71,1,87467,-0.0282089994401848,0.0961253216655257,0.769342523993793
72,1,89070,-0.0135199778497821,0.0955326446688625,0.887538254551914
73,1,89616,-9.79633109114073e-05,0.0950214224847521,0.999177995229606
74,1,89679,-0.0141804566992259,0.0950304582828089,0.881465154532561
75,1,89880,-0.00301859428328086,0.0950573989362404,0.974684989396336
76,1,91472,-0.00655924150384538,0.0957624897308588,0.945430466520985
77,1,93789,-0.00768321526953483,0.0947756172136856,0.935434273714634
78,1,94351,-0.0101418544103205,0.0950244012116403,0.915064644907875
79,1,99148,-0.00875253372399229,0.094775354552535,0.926472101723701
82,1,106800,-0.110015539877267,0.0947235283302427,0.246248412732349
83,1,107970,-0.0825846923371296,0.0945210258866526,0.382866004024214
84,1,109000,-0.0696010173510319,0.0947175169534269,0.46293255187648
85,1,112549,-0.0788164742444426,0.0945896532825253,0.405269285867636
86,1,112742,-0.0501533591143654,0.0950140226057504,0.597933573041731
87,1,113050,-0.015329880917866,0.0948881013695766,0.871746783546873
88,1,113135,-0.030637851444367,0.0946358669777306,0.746323118135812
89,1,114076,-0.00402922526255081,0.0946496723312253,0.96606847374465
90,1,114628,0.038025354224143,0.0948677768340922,0.688791640092469
91,1,116283,0.0343363383904498,0.0953996246618271,0.719121369024021
93,1,127853,0.0591519809471607,0.0951874200596496,0.534720159788913
94,1,128302,0.069316480568289,0.0948018817680995,0.465159163268244
95,1,128704,0.0900871110722588,0.094846961066477,0.342855843025093
96,1,128911,0.107180066233779,0.0948071222758318,0.259030387411209
97,1,130267,0.0486317312455488,0.0948982779806851,0.608648423788143
98,1,130271,0.0464216834867192,0.0950141252652248,0.62544482147248
99,1,130613,0.0742627351814946,0.0958529868979418,0.439002129554939
100,1,132012,0.0119468662107953,0.0957287052678011,0.900753555692718
101,1,133231,-0.0528026392733476,0.0950099563337207,0.578727670414247
102,1,137074,-0.0225219582478016,0.0949087605392579,0.812560828403159
103,1,137304,-0.0508172592444657,0.0949107904244742,0.592695710476928
104,1,139686,-0.0272601796620829,0.0950630281118962,0.774465089092421
105,1,149562,-0.0565236304267972,0.0952434940658518,0.553250409911965
106,1,150447,-0.054011918353847,0.096305091228188,0.575261213567194
108,1,154084,-0.0225948710174291,0.0966381709708819,0.815268821788887
110,1,157269,-0.0772146843879313,0.0948025721992646,0.41591983123236
111,1,160054,-0.0821603503619363,0.0956932919681564,0.391154866444842
112,1,166222,-0.0627527738201371,0.0950259665272741,0.509443886981381
113,1,166416,-0.0543943476637601,0.094847434360253,0.566676055128458
114,1,167326,-0.0901381492591392,0.0953101651140761,0.344930713848791
115,1,168836,-0.10732731386169,0.0948066503801898,0.258375415578875
116,1,171200,-0.0969295089343753,0.0949808225101143,0.308182388890609
117,1,171431,-0.139111532570423,0.0954278648902478,0.145794004762567
118,1,173339,-0.120764510768378,0.0947525711767599,0.203315799195725
119,1,173845,-0.11507579825836,0.0946937354106614,0.22508599578308
120,1,175121,-0.120598444767665,0.0944856882200273,0.202664787491357
121,1,175281,-0.121709502564393,0.0945623370613588,0.198908942492294
122,1,175315,-0.123702416919163,0.0945251013607295,0.191496611060638
123,1,175523,-0.115968480026808,0.0950908810687121,0.223448147604742
