SNP,Chr,Pos,Effect,SE,SNA4_GTR2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0314927748589593,0.128618265461712,0.806711282501577
9,1,27272,0.0472152629258387,0.12667254378236,0.709569544837147
16,1,27843,-0.0478364991197788,0.123673556040117,0.699139930560753
17,1,27848,-0.0478364991197788,0.123673556040117,0.699139930560753
18,1,28495,-0.0334221817609293,0.123688973187928,0.787155458848229
19,1,28975,-0.0150352061410245,0.122872283017898,0.902679979665036
26,1,31435,-0.0578926954495095,0.122510591312802,0.636824444843993
29,1,36146,-0.118087040583426,0.121755304114008,0.332774437100796
31,1,37409,0.011309925221805,0.122575131156351,0.92653639636165
32,1,37478,-0.0099364254663043,0.122680841114283,0.935492537796345
33,1,39144,-0.0857641113527044,0.122036809730257,0.482660738766355
34,1,41499,-0.135796053450816,0.121568745646786,0.264740792451651
37,1,51248,-0.181693480640091,0.121918846941785,0.137043029149319
38,1,51462,-0.178000397987556,0.122100620185628,0.145779967299654
39,1,52124,-0.181486296538645,0.121919721122013,0.137492877706249
40,1,52667,-0.220140761410246,0.121542313688663,0.0709555270912743
42,1,59265,-0.073180436775799,0.1219820045487,0.548939032457192
43,1,60165,-0.0573604313051139,0.121913728663772,0.638288279468692
44,1,62308,-0.20802083282802,0.121313634743138,0.0872713323259661
45,1,62869,-0.189343957608397,0.121384903421436,0.119688036030214
49,1,66841,-0.124574502118285,0.121679417873887,0.306634263793166
50,1,66948,-0.169115022870165,0.122276954683855,0.167523992459222
51,1,68621,-0.250205612823736,0.121548305582514,0.0402768912766249
52,1,69417,-0.175342132154264,0.121594333916448,0.150181774396808
56,1,74327,-0.0517878386824551,0.122591448246223,0.672959248906325
57,1,74572,0.00255601611055989,0.122295896463944,0.983337027288964
58,1,75211,0.022424198548397,0.122067202742351,0.85435137030422
59,1,76030,0.0234090113974165,0.122066678983687,0.84803081000226
60,1,80108,-0.0852178359237659,0.121959862284001,0.485176657418232
61,1,81262,-0.140922898535213,0.121767245922352,0.247926730398329
62,1,81999,-0.212871775067838,0.121770010328596,0.0813080835988412
63,1,82431,-0.214830370887447,0.122341717593326,0.0799579658001198
64,1,83284,-0.178973141971604,0.121608232558783,0.141987709278007
65,1,83613,-0.15151200315176,0.12170042244371,0.213972761767905
66,1,84112,-0.151433241702044,0.121714171099429,0.214262127269716
68,1,84858,-0.0611283980561309,0.122281738809541,0.617458355218176
69,1,85751,-0.120532159699201,0.122660153126217,0.326452088992637
70,1,87445,-0.0540413615899716,0.12305383961474,0.660808197876241
71,1,87467,-0.112191677924103,0.123587645532665,0.364608272863537
72,1,89070,-0.0963111639714637,0.122850520007169,0.433583236704666
73,1,89616,-0.0629947278636092,0.122250002270767,0.60666992749492
74,1,89679,-0.0905566761724709,0.122216455655656,0.459214401451173
75,1,89880,-0.0870786803374062,0.122254628811654,0.476766192734003
76,1,91472,-0.0479613432786555,0.123224132616097,0.697347819649239
77,1,93789,-0.0284956013669097,0.121971317995446,0.815411208364573
78,1,94351,-0.0866428521292845,0.12221480632779,0.47883021594921
79,1,99148,-0.0357718411424335,0.12196588742727,0.769469922823293
82,1,106800,-0.0394845257733791,0.122127204880703,0.746654530145038
83,1,107970,-0.0383660033483129,0.121766291137091,0.752887828460961
84,1,109000,-0.0385720357685359,0.12198076069315,0.752026904867707
85,1,112549,-0.0709670823596671,0.121801379894993,0.560503638846252
86,1,112742,-0.0741058579152321,0.12227109878542,0.544852290879377
87,1,113050,-0.0858570781966653,0.122043375103262,0.482210178378376
88,1,113135,-0.102188395443835,0.121696349043095,0.401645074926804
89,1,114076,-0.0422937639881318,0.121797028360379,0.728612013099249
90,1,114628,0.0219586696054969,0.122120414007992,0.857403632517455
