SNP,Chr,Pos,Effect,SE,ERG11_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0312872934736674,0.0642181777359525,0.626416828447442
9,1,27272,-0.091919078118911,0.0630856100680274,0.145990699242705
16,1,27843,0.00202434705234556,0.0617778258908004,0.97387797133092
17,1,27848,0.00202434705234556,0.0617778258908004,0.97387797133092
18,1,28495,0.0219214917325627,0.0617679013556042,0.72287567745585
19,1,28975,0.0352206314532509,0.0613373240681223,0.56619001520824
26,1,31435,0.039496378956023,0.0611672629238388,0.518885993564259
29,1,36146,-0.030528531394202,0.060866100719127,0.61628359677907
31,1,37409,-0.00203540931085255,0.0612169012754796,0.973494703758953
32,1,37478,-0.00940649564484675,0.0612675761524549,0.878066973779812
33,1,39144,-0.0709421361988125,0.0608730393446663,0.244639365965978
34,1,41499,-0.0392596866280692,0.0607849542305216,0.51877776686858
37,1,51248,-0.00634694219629273,0.0610788076586544,0.917296622583641
38,1,51462,-0.0069818067360171,0.0611614375795326,0.909180821871668
39,1,52124,-0.0151636420823048,0.061074409421424,0.804061032605322
40,1,52667,-0.0907916709723225,0.0607900880012728,0.13619241672055
42,1,59265,0.0784620393350615,0.0608078561934951,0.197781587752244
43,1,60165,0.0374707694801548,0.0608723685227152,0.538579730361724
44,1,62308,0.000172375264144153,0.0608380476559222,0.997740920153823
45,1,62869,0.00335637602062813,0.0608301449894535,0.956029307514168
49,1,66841,-0.00995750649076671,0.0608567683954101,0.870122357945654
50,1,66948,-0.00820255652285162,0.0612310190839295,0.893509909601751
51,1,68621,0.0192771812083986,0.061058074975728,0.752402545309327
52,1,69417,0.030242333330971,0.0608837566294047,0.619693925552575
56,1,74327,-0.0010408895767855,0.0612398568440495,0.986448667202517
57,1,74572,-0.00550032422212338,0.0610761402085906,0.928293121662782
58,1,75211,-0.0049927708010381,0.0609649250158751,0.934775995946457
59,1,76030,0.0560742698552672,0.0608924072966746,0.357744806273885
60,1,80108,0.0158348083776993,0.0609452621631322,0.795153962038481
61,1,81262,0.0180093481963225,0.060920506416611,0.767693759685712
62,1,81999,0.0110240341791836,0.0610740233750243,0.856861412473916
63,1,82431,-0.0107019985835104,0.0613633197597339,0.861648076584064
64,1,83284,-0.0195009452269822,0.0609105701008183,0.749038738484211
65,1,83613,-0.0143316139479807,0.0609079234791001,0.814112597145789
66,1,84112,-0.00289825183339401,0.0609192174414522,0.962081598465991
68,1,84858,-0.00406052132063853,0.061090963774583,0.947043811082746
69,1,85751,-0.0321824597355453,0.0613185276436771,0.600023376423245
70,1,87445,-0.0215322355216278,0.0614614371072467,0.726294508540906
71,1,87467,-0.0215263580039385,0.0617833079265151,0.727734696533563
72,1,89070,-0.00847987497447322,0.0614055229051883,0.890243056627845
73,1,89616,-0.0165969601329753,0.0610704533252742,0.785959722599258
74,1,89679,0.00764591246711258,0.0610832205389343,0.900458590675464
75,1,89880,-0.000298654345949306,0.0611000514872992,0.996102752238166
76,1,91472,0.00185669916597148,0.0615535066191396,0.975953316333415
77,1,93789,-0.0210074933418688,0.060909150920235,0.730375853574851
78,1,94351,-0.0485941554844961,0.061024956923063,0.426393045421239
79,1,99148,-0.0661644616120216,0.0608175413097948,0.277373799146408
82,1,106800,-0.0515071748443878,0.0609399535828933,0.398565039230328
83,1,107970,-0.0350934796837886,0.0607921721781475,0.564125251830078
84,1,109000,-0.00837290095457915,0.0609264171200362,0.890772079579475
85,1,112549,-0.0107443414768198,0.0608563892720515,0.859961234478325
86,1,112742,-0.00639419749141146,0.0610952352051239,0.916705430675078
87,1,113050,-0.0179102150221103,0.06098595209623,0.769176773555157
88,1,113135,-0.0314764359693316,0.0608149769723493,0.605077589573818
89,1,114076,-0.000630380847897544,0.0608380390959061,0.991738621936298
90,1,114628,-0.00533692273347685,0.0609912964403965,0.930321299879592
91,1,116283,0.00209479140461122,0.0613310875905243,0.972772489670498
93,1,127853,0.0570067045751561,0.0611417582912916,0.351782908118361
94,1,128302,0.0506086522489341,0.0609223342446875,0.406700267796529
95,1,128704,0.0541485910057374,0.0609744825821783,0.37511676891783
96,1,128911,0.0482435310234065,0.0609952884423941,0.42951086989619
97,1,130267,-0.00560411935997673,0.0610196448450331,0.926876280024993
98,1,130271,-0.00401580912133381,0.0610924231502122,0.947627337960847
99,1,130613,-0.0467692272479054,0.0616134412960858,0.448314213100549
100,1,132012,-0.0137874876529291,0.0615284427450422,0.822822235369261
101,1,133231,-0.0323258133343293,0.0610719523750745,0.596925178891233
102,1,137074,-0.0251911447154052,0.0609945568189377,0.679852647821397
103,1,137304,-0.0307006530870632,0.0610086189074846,0.615124647902717
104,1,139686,-0.0495020116594948,0.0610538779146299,0.418031274755146
105,1,149562,-0.0317092300589306,0.0612268589216728,0.604854286344878
106,1,150447,-0.0302839019799851,0.0619085379209311,0.625023975949945
108,1,154084,-0.0568148834360222,0.0620472029862037,0.360464068886001
110,1,157269,-0.0075719143987748,0.0609920703630033,0.901270430776728
111,1,160054,-0.0155283708569204,0.0615673414087752,0.801019615225466
112,1,166222,-0.00708665625336824,0.0611163158307873,0.907755257857514
113,1,166416,-0.00846050404752119,0.0609917395212648,0.889754011619836
114,1,167326,-0.013661612843712,0.0613356894708063,0.823870479199913
115,1,168836,0.00602002733845786,0.06104847137157,0.92150341236468
116,1,171200,-0.0267563066430653,0.0611241505443361,0.661844603178556
117,1,171431,-0.00923581707633625,0.0615204790753283,0.880751030233823
118,1,173339,-0.0425219262914878,0.0610020348799037,0.486225600601212
119,1,173845,-0.0229091707428722,0.0609812126419236,0.707383521294561
120,1,175121,-0.0262941694994335,0.0608563789473534,0.66595488966151
121,1,175281,-0.0262179271362281,0.0609082260335144,0.66713124057744
122,1,175315,-0.0277470862179114,0.0608871228644349,0.648876184832008
123,1,175523,-0.0292687603966421,0.0612303015345491,0.632938221974241
124,1,175541,-0.0270585679554776,0.0609831381266312,0.657527192556987
125,1,175653,-0.00882236670987552,0.0611913642005615,0.885443242882293
128,1,175856,-0.0290902214091065,0.062184117855259,0.640210651058839
129,1,175876,-0.0122893807532902,0.0612466226168965,0.841084675262427
130,1,175989,-0.0173902150654107,0.0614178978826415,0.777231105699287
131,1,176001,-0.0231844759784405,0.0617326052884212,0.707467454794893
133,1,177692,-0.0238066317145361,0.0608918484899394,0.696058356603324
134,1,178191,-0.0209325207054815,0.0609553231747273,0.731496282919001
135,1,178224,-0.0238066317145361,0.0608918484899394,0.696058356603324
136,1,178960,-0.0571341965431882,0.061316108716599,0.352078030295863
140,1,183802,-0.00825030073781763,0.0609111169889074,0.892334725517283
141,1,183954,-0.0154554061343445,0.0613506471677294,0.801250120597723
142,1,184450,0.0106524948614702,0.0608163082910082,0.861055497396766
144,1,184718,-0.00569000179835638,0.0611637581550456,0.92593331679062
145,1,185296,0.00776466412210785,0.0609036284580571,0.898624395006338
146,1,185438,0.000208093922352243,0.0609079052097643,0.997275935580399
147,1,185469,-0.000581981605120505,0.0609958007238029,0.992392618416139
148,1,185503,0.0207222583728856,0.0608280499620912,0.733555092660507
149,1,185705,0.00916059337501238,0.0615160656592438,0.881706656827669
150,1,185749,0.00405711135145247,0.0615176188467909,0.947454651651039
151,1,185806,-0.00411069111760235,0.0615997527453083,0.946832625474151
152,1,185879,0.00378855703814135,0.0618974721845719,0.951229013564166
153,1,185916,0.0133197001232345,0.0618655869917687,0.829657273165442
154,1,185941,-0.0039396454945672,0.0621388081184858,0.949483294930952
155,1,185954,-0.012168457628625,0.0623172698056567,0.84529688453401
156,1,186055,-0.00603676671096554,0.0610759966763995,0.921321213781138
157,1,186896,-0.0237721054241336,0.0620652809162651,0.701937128668808
161,1,190132,0.0707889558423614,0.0610381425568493,0.246934630913051
162,1,190148,0.0689573188207015,0.0610625591948435,0.259542467578993
163,1,190165,0.085394248790995,0.0614750389270753,0.165681608083332
164,1,190169,0.0746176008827787,0.0614377273543287,0.225359471809847
165,1,190933,0.0378991869017936,0.0610333700792091,0.535027697106935
166,1,192149,0.0329442437927037,0.0615409825940599,0.592764271382372
168,1,192303,0.0849981700975313,0.0732563134707238,0.246717079158311
171,1,192795,0.0468208722009517,0.0609001240817909,0.442517758157172
173,1,194187,0.0184467750616862,0.0609936842343686,0.762496725231449
174,1,194867,-0.0153456700728324,0.0609629171735243,0.801402907355882
190,2,8314,0.0210664760791527,0.061990540069303,0.734183860580357
194,2,8498,0.0392082797694839,0.061874695968696,0.52670507750275
195,2,8651,0.0432571547256801,0.0619250585608718,0.485299240331788
197,2,9812,0.0709057053422091,0.0622216990871346,0.255240006448997
198,2,9932,0.0589997288670581,0.0620108990104642,0.342031398366542
199,2,10135,0.0518090488231961,0.0617910768415179,0.402342489650899
200,2,11616,0.0450109472657561,0.0617404622368369,0.466463768272244
201,2,12133,0.0521465380626855,0.0619704330682757,0.400651849449129
202,2,12194,0.0678438218082509,0.0621676467173594,0.275883296175699
203,2,12359,0.0499480185805148,0.0620334205105597,0.42125828783512
