SNP,Chr,Pos,Effect,SE,SNA4_VAC8_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0689992651938041,0.0639156697144854,0.281085910342721
9,1,27272,-0.100945066044675,0.0628303370684931,0.109029790791218
16,1,27843,0.133430384831874,0.0611566592497283,0.0297848039456159
17,1,27848,0.133430384831874,0.0611566592497283,0.0297848039456159
18,1,28495,0.151049797313575,0.0610414643122675,0.013809893080183
19,1,28975,0.140789064494068,0.0606962555228547,0.0209343037624611
26,1,31435,0.116573575071695,0.0606786410166527,0.0555161896001298
29,1,36146,0.094572968147218,0.0604713832615085,0.11873017564404
31,1,37409,0.113773684103323,0.0607073365540401,0.0617377406755242
32,1,37478,0.111995874223466,0.0607693981388959,0.066172380605612
33,1,39144,0.0626091444181749,0.0606910032751174,0.302963448090493
34,1,41499,0.0558120610997296,0.0605409866833409,0.357216185227242
37,1,51248,0.118532273631279,0.060544011592604,0.0510424872789852
38,1,51462,0.105693525923123,0.0606942203181055,0.0824828756845983
39,1,52124,0.123339764248714,0.0605168017633668,0.0422841559759355
40,1,52667,0.106337740739639,0.0605101507888317,0.0797243517042283
42,1,59265,0.136842549542818,0.0603053734096225,0.0238615420125975
43,1,60165,0.0795259510828298,0.0605499414712962,0.189903134582528
44,1,62308,-0.00996776741486935,0.0606286304373137,0.869504901371592
45,1,62869,0.0037129695818805,0.0606230144508913,0.951197268281505
49,1,66841,0.0276315654188525,0.0606340747126481,0.648878594226051
50,1,66948,0.0502447256129555,0.0609655106609236,0.410410830382814
51,1,68621,0.0451520852165986,0.0608113523730911,0.458281660638173
52,1,69417,0.0312015552655262,0.0606749833012319,0.607405384430413
56,1,74327,0.0388280374664291,0.0609964181518041,0.524822356822289
57,1,74572,0.0199374323401643,0.0608596815742679,0.74341079736411
58,1,75211,0.0334246788641815,0.0607319228400856,0.58241765839089
59,1,76030,0.0708571851574524,0.0606408137220778,0.243404324897184
60,1,80108,0.034791258284728,0.0607153761869636,0.566994489706116
61,1,81262,-0.0320043764020431,0.0606967457280892,0.598328138497728
62,1,81999,-0.046094410938288,0.060819470088579,0.449023048733812
63,1,82431,-0.0298792108627044,0.0611363891528787,0.625336077657577
64,1,83284,-0.0332979080252006,0.0606861660186084,0.58356489501818
65,1,83613,-0.00434572109616042,0.0607049082926004,0.942970618128141
66,1,84112,-0.00498157529564677,0.0607114600564643,0.934650838500799
68,1,84858,-0.00149517894347014,0.0608833350493887,0.980421318098862
69,1,85751,-0.0449620155191297,0.0610867768236144,0.462198105922814
70,1,87445,-0.0604916586417879,0.0611782037870938,0.323449055081773
71,1,87467,-0.0596373818813762,0.0615017227392517,0.332866776974529
72,1,89070,-0.0630222809894014,0.0611061508506647,0.303079351529436
73,1,89616,-0.0341432931187026,0.0608417986107556,0.575029857864477
74,1,89679,-0.0389111429097002,0.0608414016039248,0.522879756824947
75,1,89880,-0.0323952912671541,0.0608676483048467,0.594904907612294
76,1,91472,-0.0407714497747264,0.061305658778147,0.506451503684984
77,1,93789,-0.0569864826005047,0.0606362274684201,0.347958087431263
