SNP,Chr,Pos,Effect,SE,ERG11_PIS1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0109136498707767,0.0584441410244768,0.851974569477508
9,1,27272,-0.0536237626502919,0.0574984935448278,0.351657967804837
16,1,27843,0.138139218940868,0.0557242202489851,0.0136423057146701
17,1,27848,0.138139218940868,0.0557242202489851,0.0136423057146701
18,1,28495,0.165970222057106,0.0555095904024994,0.00298611262110695
19,1,28975,0.119767168376992,0.0554672712169142,0.0315046854446553
26,1,31435,0.135837477824607,0.0552130917390637,0.0143628108088823
29,1,36146,0.105516361625118,0.055111900159247,0.0563536682782618
31,1,37409,0.120214191151857,0.0553280971786112,0.0304637635852858
32,1,37478,0.107686271046538,0.0554492761721523,0.0529240201623774
33,1,39144,0.0881716727341569,0.0552915364456108,0.111681281417955
34,1,41499,0.148080626251554,0.0547722605135394,0.00719183415555384
37,1,51248,0.132163198527494,0.0551249518488675,0.0170254668787559
38,1,51462,0.12071882804008,0.0552751288756686,0.0296226427964247
39,1,52124,0.102513628330118,0.0553034497517695,0.0646223420976629
40,1,52667,0.0545525208534046,0.055406867532275,0.325504523174107
42,1,59265,0.0329607705553993,0.0554271477891722,0.552446143297556
43,1,60165,0.0380215466131457,0.0553760336583183,0.492781476688852
44,1,62308,0.00554419899358786,0.0553512696412226,0.92027106756089
45,1,62869,0.0200824642756052,0.0553347815555592,0.71687692797975
49,1,66841,0.0428096853166067,0.0553242870984134,0.439569621205006
50,1,66948,0.0403080010169439,0.0556696837886617,0.469510571924995
51,1,68621,0.0452888310420891,0.0555077708121944,0.41510711181878
52,1,69417,0.00814628288638844,0.0554113021085837,0.883204246023999
56,1,74327,-0.0400449006387808,0.0556768741422759,0.47247040533447
57,1,74572,-0.0527253810792817,0.0554984117996961,0.342744926567554
58,1,75211,-0.0277276995922329,0.0554483826914972,0.617342108460343
59,1,76030,-0.0264408837435825,0.0554501632789993,0.633770751455611
60,1,80108,-0.00562388126399077,0.0554540960595248,0.919278549574631
61,1,81262,-0.0153492792055368,0.0554279189804887,0.782001126440655
62,1,81999,-0.0178769075649911,0.0555611701904178,0.747831158991807
63,1,82431,-0.000962858476141207,0.0558323437214027,0.986250481201287
64,1,83284,-0.0227081421955889,0.0554129042805282,0.682202111059826
65,1,83613,0.00429896143960599,0.0554195037408057,0.938213043651926
66,1,84112,-0.00493781314112297,0.0554254605964267,0.929061497140953
68,1,84858,0.0132020830269272,0.0555780713279256,0.812374749479449
69,1,85751,-0.00289324708127235,0.0558107593253781,0.958685258200004
70,1,87445,-0.0229773136435814,0.0559155798832951,0.681374194036203
71,1,87467,-0.0304996135804877,0.0561983022152004,0.587669112664481
72,1,89070,-0.0199817570510575,0.0558597452440989,0.720771888068164
73,1,89616,-0.00589994168195277,0.0555684295222492,0.915504334611398
74,1,89679,-0.0122741979150158,0.0555725138924694,0.825322797638382
75,1,89880,-0.00760030065290992,0.0555889635992985,0.891327538253907
76,1,91472,-0.0159532647617009,0.055996633787915,0.775890236006286
77,1,93789,-0.0166293846050127,0.05541901626533,0.764303132400425
78,1,94351,-0.00586392995663907,0.0555710788762864,0.916022140549743
79,1,99148,0.000196170777251245,0.0554260827059491,0.997178034461205
82,1,106800,-0.011645922289732,0.0554973856185548,0.833908677579274
83,1,107970,0.0229949015988994,0.0553228815202111,0.677919400678165
84,1,109000,0.00843334251675899,0.0554321219948259,0.879164861951088
85,1,112549,0.0228389780207151,0.0553578428616042,0.680172234904622
86,1,112742,0.0376153632076915,0.0555508483154531,0.498764498226546
87,1,113050,0.0414427027991291,0.055449545632859,0.455322836059008
88,1,113135,0.0373197061169748,0.0553164047161338,0.500334094520957
89,1,114076,0.0501423847713612,0.0552876801986712,0.365059340117197
90,1,114628,0.0441588471928775,0.055442291164943,0.426286634207049
91,1,116283,0.00109279237485083,0.0558006981767852,0.984386413540077
93,1,127853,-0.0159178150667389,0.0556903897720049,0.775178306907015
94,1,128302,-0.0206411425783886,0.0554720158397106,0.710041599738513
95,1,128704,0.0117159027096415,0.055534622068962,0.833035736184336
96,1,128911,0.0116848090851346,0.0555407877673639,0.833490541564115
97,1,130267,-0.0545721307563798,0.0554419079165895,0.325636331337603
98,1,130271,-0.0562187629100253,0.0555032352659886,0.311805675028249
99,1,130613,-0.0531696505931291,0.0560318426632911,0.343311256238816
100,1,132012,-0.0203673550721579,0.0559736801776854,0.716170097093769
101,1,133231,-0.0376788363756697,0.0555507264566836,0.498039816936463
102,1,137074,-0.0431750692404661,0.0554602704266895,0.436803795586902
103,1,137304,-0.047547634686445,0.0554694519275649,0.391923688158923
104,1,139686,-0.0620666596726585,0.0555018983182025,0.26420788950926
105,1,149562,-0.0691576696879383,0.0556052671192363,0.214426027576848
106,1,150447,-0.0674302670289544,0.056230686603738,0.231265381728269
108,1,154084,-0.0489929881478872,0.0564589940778245,0.38611397869863
110,1,157269,-0.0546378746296007,0.0554171508665749,0.324838830160445
111,1,160054,-0.0826446494880885,0.0558476724359747,0.139812465719546
112,1,166222,-0.0756772294054703,0.055460216339426,0.173269460732729
113,1,166416,-0.0713722032858497,0.0553632276216209,0.198185671756854
114,1,167326,-0.0817336549758081,0.0556389372929412,0.142723098983385
115,1,168836,-0.115158145113925,0.0552050558286175,0.0376955036986618
116,1,171200,-0.113670329349953,0.0552974689680915,0.0405547275840287
117,1,171431,-0.130641946548728,0.0555411719109246,0.0192132038999322
118,1,173339,-0.108373383375934,0.055239098664703,0.0505599760451219
119,1,173845,-0.120758645512918,0.0551199321353473,0.0291170971025433
120,1,175121,-0.103552050224256,0.0551084488602608,0.0610600975130049
121,1,175281,-0.115328390683091,0.0550895239574217,0.0370201495032844
122,1,175315,-0.110690654940533,0.05509892001992,0.0453040378495952
123,1,175523,-0.114763655292174,0.0553911900710622,0.0390028264512945
124,1,175541,-0.113326343411128,0.0551707903017526,0.0407019622224888
125,1,175653,-0.131805488806976,0.0552314048253488,0.0175394221895631
128,1,175856,-0.127519998560837,0.0561858205760541,0.0238338089388534
129,1,175876,-0.114018776639286,0.055395547654591,0.0402982128169953
130,1,175989,-0.112022475691456,0.0555669980325953,0.0445582691021799
