SNP,Chr,Pos,Effect,SE,MID2_RSN1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.131846609500279,0.0897635009845229,0.142771622119865
9,1,27272,0.0551455994552569,0.088636647649983,0.534242585583499
16,1,27843,-0.0519514791463241,0.0865427444048084,0.548692503038431
17,1,27848,-0.0519514791463241,0.0865427444048084,0.548692503038431
18,1,28495,-0.0181169421007479,0.0865829391816679,0.834378630053083
19,1,28975,-0.0459425212847898,0.0859747483018108,0.593420385361794
26,1,31435,-0.0493570717003486,0.0857414003877856,0.565218282151711
29,1,36146,-0.0731370190558469,0.0852504815682873,0.391525701957507
31,1,37409,-0.0369396127367758,0.0857781973265774,0.666992207786945
32,1,37478,-0.055816372947166,0.0858230817657828,0.51587919487171
33,1,39144,-0.0164685561887827,0.0854781230745163,0.847332921287695
34,1,41499,0.0563269409213454,0.0851927733830676,0.508934326093766
37,1,51248,-0.0508725809609357,0.0855655210792573,0.552528302778881
38,1,51462,-0.0560590018384221,0.0856724960974538,0.513318402986875
39,1,52124,-0.0133134704237453,0.0856054190876087,0.87649921569006
40,1,52667,-0.0430867741971684,0.0854403818621519,0.614371854538656
42,1,59265,0.0222936244268051,0.0854197936786379,0.794253201239512
43,1,60165,0.0353604343928859,0.0853427297599285,0.678880831297264
44,1,62308,-0.0244106646199279,0.0852596993474318,0.774809013176089
45,1,62869,0.00974826725113426,0.085257309890478,0.909033778095668
49,1,66841,0.00718593913219108,0.0852982128826175,0.932909478219936
50,1,66948,-0.0238260950734306,0.0858131912220813,0.781443023852902
51,1,68621,-0.089825572034312,0.0854564333743864,0.293919257502268
52,1,69417,-0.0231997421235902,0.0853545481785762,0.785931313865153
56,1,74327,0.0112972066487282,0.0858306953005027,0.895358278954486
57,1,74572,0.0124142986176331,0.0856017371164379,0.884774761576679
58,1,75211,-0.00756004848530986,0.0854472907592035,0.929548400830545
59,1,76030,0.036294296940755,0.0854263995984272,0.671197269151364
60,1,80108,0.0400597193479915,0.085401422576915,0.639305204722644
61,1,81262,-0.0439110598280788,0.0853637506397626,0.607294688713031
62,1,81999,-0.0126686344197913,0.0856016315565779,0.882431019657458
63,1,82431,0.0422691105632581,0.0859800866416418,0.623296995397848
64,1,83284,0.032620379790124,0.08536598318683,0.702599430727929
65,1,83613,0.044477631273075,0.0853414011546799,0.602573073842675
66,1,84112,0.0534154219236588,0.0853362921745351,0.531758620645916
68,1,84858,0.0348500020925441,0.0856045226787905,0.684177847254904
69,1,85751,0.0250162616496146,0.0859662449444361,0.77122147166095
70,1,87445,0.049030503732894,0.0861187737023345,0.569490345309015
71,1,87467,0.0364718912540529,0.0865875895665651,0.673855288523769
72,1,89070,0.0206498554329237,0.0860602679657286,0.810511046946449
73,1,89616,-0.0399854956722037,0.0855778282724915,0.640615528701199
74,1,89679,-0.00522684777154423,0.0856146754650616,0.951353270874736
75,1,89880,-0.00768265460267545,0.0856358441123033,0.928566107425594
76,1,91472,0.0403930256037043,0.0862456919506556,0.639824572091752
77,1,93789,-0.026567513648985,0.085371927329943,0.755834324235676
78,1,94351,-0.0336165855953973,0.0855896521340491,0.694730418308815
79,1,99148,0.0108610217533794,0.0853816803122043,0.898850158999956
82,1,106800,0.130186415945026,0.085217567022436,0.127483898863277
83,1,107970,0.083794484078579,0.0851287586261543,0.325629225921533
84,1,109000,0.127592784341218,0.0851252808698099,0.134797880407638
85,1,112549,0.0980399811507274,0.0851393117243947,0.250295958699606
86,1,112742,0.0954684090532437,0.0854805041988541,0.264820525752573
87,1,113050,0.0845046044325493,0.0853689381403169,0.322913084167236
88,1,113135,0.0500786785097876,0.0852279292289201,0.557186345454672
89,1,114076,0.0456976025985943,0.0852349024646086,0.592201398381607
90,1,114628,0.0437317707413242,0.0854536211910627,0.609138766356057
91,1,116283,0.0810080662015898,0.0858525764495617,0.346033873420746
93,1,127853,-0.0559370152682535,0.0857490571071868,0.514610356312488
94,1,128302,-0.144252289941718,0.0851256116018582,0.091036778077788
95,1,128704,-0.138447337286178,0.0852383111392187,0.105217483000618
96,1,128911,-0.116544885596536,0.0853405615731707,0.17292003162552
97,1,130267,-0.0236803705669172,0.08551585505459,0.782009717494103
98,1,130271,-0.0165449535669394,0.0856221215215288,0.846888229645207
99,1,130613,-0.0502339292127824,0.0863854601257491,0.561268537486568
100,1,132012,-0.0301447416822385,0.0862284512738482,0.726853686006664
101,1,133231,-0.0400049597034713,0.0856049192983643,0.640558710078772
102,1,137074,-0.0505216306769823,0.0854673196259572,0.554816849646291
103,1,137304,-0.0667855745461902,0.0854654424503207,0.435071245765928
104,1,139686,-0.0426979445586536,0.0856215894866759,0.618314026666166
105,1,149562,-0.0691011082555796,0.0857683239801321,0.420974567633982
106,1,150447,-0.0564789047671719,0.0867473138516249,0.515422425824566
108,1,154084,-0.0870779391958698,0.0869441059466254,0.317252185960324
110,1,157269,-0.0748559632100099,0.0853944462079801,0.381305222160526
111,1,160054,-0.0459444509831392,0.0862648852296575,0.594647413403245
112,1,166222,-0.0528551409478571,0.0856150381595881,0.537396541377734
113,1,166416,-0.0527760010047476,0.0854411771612184,0.537179203699991
114,1,167326,-0.042268675702613,0.0859436840446185,0.623153493037899
115,1,168836,-0.0658408743825611,0.0854939113074232,0.44174167895008
116,1,171200,-0.00632064557522216,0.0856931824465983,0.941243908909567
117,1,171431,-0.00984243696147791,0.0862272430591201,0.909187483672743
118,1,173339,-0.0439987699876472,0.0855262069088348,0.607260865297205
119,1,173845,-0.0347834550354668,0.0854672901982426,0.684269531541407
120,1,175121,-0.0472102016251881,0.0852808310792195,0.580213251138218
121,1,175281,-0.0461162696929414,0.0853550750921569,0.589339565573578
122,1,175315,-0.0652437887425729,0.0852928181776522,0.444819047492744
