SNP,Chr,Pos,Effect,SE,HUG1_ALO1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.00101330255442411,0.15050095397364,0.994631795125325
9,1,27272,-0.0181879962406269,0.148237619806603,0.902418544922631
16,1,27843,0.161246865988918,0.144478672848386,0.265155594981052
17,1,27848,0.161246865988918,0.144478672848386,0.265155594981052
18,1,28495,0.177833002110742,0.144425874401834,0.219026692821106
19,1,28975,0.155635303925539,0.143529377766047,0.278952069467594
26,1,31435,0.120868680982924,0.143242920907342,0.39935142780687
29,1,36146,0.0451984397290502,0.142627656963624,0.751508222452226
31,1,37409,0.0716094644157838,0.143368567760604,0.617753750472663
32,1,37478,0.0723858047456966,0.143490796696109,0.614250759191033
33,1,39144,0.0643997511917513,0.14284637068861,0.652387248342156
34,1,41499,-0.0323411428479817,0.142480752912628,0.820565985870554
37,1,51248,-0.208075142637549,0.142668463705907,0.145605079835749
38,1,51462,-0.204744170630241,0.142876721053482,0.152739206124981
39,1,52124,-0.138557495714845,0.142907502371712,0.332929357154374
40,1,52667,-0.202966142091125,0.142459320710905,0.155118591703988
42,1,59265,-0.0121457342916544,0.142794788620642,0.932264083431949
43,1,60165,-0.0394684315952287,0.142672881108156,0.7822216497872
44,1,62308,0.0378285164808032,0.142517197848728,0.790832213357479
45,1,62869,0.0165310949852287,0.142510801770021,0.907719381445134
49,1,66841,0.0398984351715733,0.142564868108967,0.779747590399156
50,1,66948,0.0338394440136141,0.143444410888568,0.813642169795755
51,1,68621,-0.187677166994864,0.142717945563439,0.189356281647557
52,1,69417,-0.0993743080909054,0.14259028259981,0.48631028525503
56,1,74327,0.0045234908427213,0.14347263323856,0.974865804822067
57,1,74572,-0.0202564349451953,0.143086803061474,0.887502429577381
58,1,75211,-0.00600681159408809,0.14282966510372,0.966478016253723
59,1,76030,0.0562332871026434,0.142798660441997,0.693970730357951
60,1,80108,0.0665368461193435,0.142752331157775,0.641431477990681
61,1,81262,0.135697461858534,0.142559430937472,0.341816278559515
62,1,81999,0.122503886186343,0.142942234061229,0.392017070920283
63,1,82431,0.0564602858301556,0.143736809267306,0.694701896374065
64,1,83284,0.143310589258605,0.142518067567258,0.315315644588477
65,1,83613,0.114313226917176,0.14257655231179,0.423226922704071
66,1,84112,0.113308495648847,0.142594565437792,0.427368474676781
68,1,84858,0.184834097637007,0.142786345633547,0.196345741466556
69,1,85751,0.106404323050888,0.14360149450691,0.459204560885915
70,1,87445,0.0911131864177896,0.143935254456486,0.527133657443675
71,1,87467,0.0296382854171351,0.144762265805331,0.837895104849774
72,1,89070,0.0910347974887736,0.143783168360458,0.527052531645261
73,1,89616,0.147619599558863,0.142874991420753,0.302213845349997
74,1,89679,0.124243349008598,0.142956120245244,0.38538225641498
75,1,89880,0.143740646152782,0.142940653592888,0.315298428219667
76,1,91472,0.181054475198488,0.143885443832544,0.209106316519845
77,1,93789,0.11854287348416,0.14258250993253,0.406310610210119
78,1,94351,0.0505847137609506,0.1430723287337,0.723879396380886
79,1,99148,0.0545753884614147,0.142692477282502,0.702344006695412
82,1,106800,0.0172276867189761,0.142911613854241,0.904117766498066
83,1,107970,0.0975868477576528,0.142396453947809,0.493593077911454
84,1,109000,0.0753461706182794,0.142685923657451,0.597792192846571
85,1,112549,-0.0981685829748183,0.142484914026033,0.491291412288008
86,1,112742,-0.0767128738285535,0.143077930959347,0.592184648973901
87,1,113050,-0.120827954886034,0.14275059373804,0.397888017490409
88,1,113135,-0.112552876632369,0.142405471759205,0.42984291390063
89,1,114076,-0.00635441860156555,0.142531018064425,0.964465135410127
90,1,114628,0.0496608354199695,0.142867550219537,0.72834737754515
91,1,116283,0.0891298699808525,0.143608416634645,0.535233612373935
93,1,127853,0.0569061160437714,0.143387235215705,0.691703032265768
94,1,128302,0.0279668457912075,0.14286057114965,0.844908136118364
95,1,128704,-0.00369864774592871,0.143010405084858,0.979381395300938
96,1,128911,0.0383403212385154,0.143011810085003,0.788785098225798
97,1,130267,0.115189580710123,0.142827045750592,0.420499357265926
98,1,130271,0.107154439298226,0.143014570315678,0.454202277632415
99,1,130613,0.152054768245013,0.144238903488684,0.29251834481547
100,1,132012,-0.142832424231351,0.143958537919078,0.32179054686231
101,1,133231,-0.111394099452323,0.143013332816744,0.436556274419754
102,1,137074,-0.069930456371779,0.142884138739501,0.624847856682457
103,1,137304,-0.155631377708589,0.142742145297816,0.276325883327968
104,1,139686,-0.0833686736870945,0.143101411893548,0.560544935492647
105,1,149562,-0.105909096130821,0.143386048994579,0.460623104708965
106,1,150447,-0.0821208813032975,0.145022661896062,0.571575228462366
108,1,154084,-0.0585598537779182,0.145503382810494,0.687586278936238
110,1,157269,-0.12477660477178,0.142740970591911,0.382632463597621
111,1,160054,-0.142785110162132,0.144052677383876,0.322266537118257
112,1,166222,-0.132428049938506,0.143012484112872,0.355084090959331
113,1,166416,-0.133511176792597,0.142718582029886,0.350177618025565
114,1,167326,-0.173178667555688,0.14341148557605,0.228023147987333
115,1,168836,-0.100204460668413,0.142926895655357,0.483709427932162
