SNP,Chr,Pos,Effect,SE,ERG11_MID2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0674978963283717,0.0599752522743643,0.261171827426126
9,1,27272,-0.122533059573183,0.0588199945226929,0.0379533533477235
16,1,27843,0.0211137235998345,0.0577692875162951,0.714969393340041
17,1,27848,0.0211137235998345,0.0577692875162951,0.714969393340041
18,1,28495,0.0511432022440969,0.0577169978971437,0.376165292632409
19,1,28975,0.0268503260765421,0.0573771237159932,0.640100395589144
26,1,31435,0.0432744547516716,0.0571964951529842,0.449798522803804
29,1,36146,0.0157848285680962,0.056941486079797,0.781780056462812
31,1,37409,0.0405128156965476,0.05721497397021,0.479362450005258
32,1,37478,0.0365859714887351,0.057271716234641,0.523358231556978
33,1,39144,-0.0266277904306153,0.0570257057983028,0.64082827476901
34,1,41499,0.0342771702551163,0.056855826061257,0.546976460289382
37,1,51248,0.0204072783591537,0.0571168916759259,0.721088430131837
38,1,51462,0.00771251945171514,0.0572032104872891,0.892825746470758
39,1,52124,-0.0102481799964934,0.0571246142903956,0.857726228281234
40,1,52667,-0.0456323322954465,0.056983928520782,0.423790116760452
42,1,59265,-0.0503337739575395,0.0569439075993021,0.377341817047279
43,1,60165,-0.0538093506319897,0.0568917707426029,0.344887574161764
44,1,62308,-0.0148035441178796,0.0568957096876611,0.794870956053357
45,1,62869,-0.0267877850019909,0.0568761507177086,0.637942724082072
49,1,66841,0.0129073472109375,0.0569166862558119,0.82072907363667
50,1,66948,0.0136579812241404,0.0572655482238807,0.811629703947227
51,1,68621,0.010289599109828,0.0571123900714199,0.857127166717135
52,1,69417,-0.0205069446022672,0.056953355111921,0.71901339972718
56,1,74327,-0.06670688108426,0.057166848268805,0.244046289173543
57,1,74572,-0.058070497054801,0.0570408297885079,0.30935075488731
58,1,75211,-0.0630057728824112,0.0569216765842522,0.269097185725683
59,1,76030,-0.0410545256464794,0.0569784892551335,0.471677590815338
60,1,80108,-0.100187433701187,0.0567569443227311,0.0783945072335606
61,1,81262,-0.124575141571713,0.0565982850761647,0.0283799703565272
62,1,81999,-0.128231126916124,0.0567153226480234,0.0243699616850545
63,1,82431,-0.108457934547635,0.0571038821156162,0.0583387835253978
64,1,83284,-0.133115794458567,0.0565350411202946,0.019091162028194
65,1,83613,-0.131401001158403,0.0565400778946562,0.0206908260855399
66,1,84112,-0.123588725435089,0.0565962811290918,0.0296428821732435
68,1,84858,-0.089686574232588,0.0569383227818571,0.116116876707114
69,1,85751,-0.119042070880991,0.0570219948628817,0.0375458221901627
70,1,87445,-0.114559717259684,0.057169970296033,0.0458504617591692
71,1,87467,-0.12172839369706,0.057430891975086,0.034740431617408
72,1,89070,-0.0912834973942335,0.057227598830644,0.111585710415241
73,1,89616,-0.0690388840827181,0.057006199055252,0.226676141357865
74,1,89679,-0.067472034985691,0.0570187615212419,0.237474519581763
75,1,89880,-0.0707887093915185,0.0570218763706322,0.215270948259182
76,1,91472,-0.066174159249241,0.057462559625231,0.250262883620382
77,1,93789,-0.0793459126278646,0.056820538507608,0.163462429378432
78,1,94351,-0.0563637665325513,0.0570483955607639,0.323829781442457
79,1,99148,-0.0341602336606943,0.0569482477595802,0.548993071516507
82,1,106800,-0.0433392469235117,0.0570074703854608,0.447619774766667
83,1,107970,-0.053853831855241,0.056812827698405,0.343820289757405
84,1,109000,-0.101590267465281,0.056728230819202,0.0741782679425492
85,1,112549,-0.0209779557450363,0.0569098801403187,0.712634108709573
86,1,112742,-0.0200006371544547,0.0571326791528474,0.72649231551132
87,1,113050,-0.0373082086221237,0.0570118948982417,0.513284494573471
88,1,113135,-0.0541523642313529,0.056828120533037,0.341285212502305
89,1,114076,-0.00537571567505382,0.0569004457194354,0.92478480095725
90,1,114628,-0.00964115769264001,0.057042806976042,0.865880716414182
91,1,116283,-0.00348407227110226,0.0573620943695309,0.95160205457975
93,1,127853,-0.0521172635807517,0.0571883567246491,0.362745281052603
94,1,128302,-0.0214372060598974,0.0570242505589525,0.707193719549288
95,1,128704,-0.0207792382390617,0.0570817259601104,0.71605645657395
96,1,128911,-0.0296353694456739,0.0570769671281379,0.603934337725416
97,1,130267,-0.114528704472271,0.0567452192105715,0.0443162653749025
98,1,130271,-0.112936205518785,0.0568223754074647,0.0476359599994154
99,1,130613,-0.0558691652326634,0.0575966835135588,0.332707337133118
100,1,132012,-0.0739282896037306,0.0574163057893004,0.198734480049083
101,1,133231,-0.0510438447863559,0.0570779755897568,0.371779985959476
102,1,137074,-0.0510843980181336,0.0569965119816961,0.370718114631121
103,1,137304,-0.0455645683516799,0.0570296197456838,0.424848975998178
104,1,139686,-0.0718944861600914,0.0570279380103633,0.208253601235384
105,1,149562,-0.0457264079686115,0.0572348451350659,0.424870506410019
106,1,150447,-0.0603801214538386,0.0578327817419274,0.297178249677756
108,1,154084,-0.0320000656577595,0.0580759837242155,0.581979890787164
110,1,157269,-0.0307235622115293,0.0570230232692099,0.590369832117728
111,1,160054,-0.0504027989631236,0.0575259352391764,0.381530614482939
112,1,166222,-0.0548749149414088,0.0570878495032342,0.337091309365165
113,1,166416,-0.0464636820616957,0.0569928367130294,0.415476199009512
114,1,167326,-0.0648654282198328,0.0572666601645102,0.258112823207215
115,1,168836,-0.062506523452901,0.0570017541593968,0.273576071624221
116,1,171200,-0.0282834931033842,0.0571644492700301,0.621067334446249
117,1,171431,-0.0336719070064909,0.057513355716597,0.55861092678294
118,1,173339,0.00352904320183089,0.0570934839751895,0.950747797600154
119,1,173845,-0.0126747641261455,0.0570424765230928,0.82428770382448
120,1,175121,0.00859419496853295,0.0569315205317519,0.880096091805633
121,1,175281,-0.0207573203047794,0.056971038944369,0.715815837838476
122,1,175315,-0.00889752937730898,0.0569618443256133,0.875963431522179
123,1,175523,-0.0159315176612019,0.0572802908706688,0.781073390200502
124,1,175541,-0.014867217151261,0.0570472812219636,0.794543544110006
125,1,175653,-0.0203501970811685,0.0572230526457549,0.722330577009521
128,1,175856,-0.0449747060820535,0.0581288878241753,0.439622125157658
129,1,175876,-0.0280708937357511,0.0572670805606376,0.624314554520603
130,1,175989,-0.0229266759363193,0.0574370538755457,0.690015384735919
131,1,176001,-0.0215553128327451,0.0577379711694062,0.709126994446144
133,1,177692,-0.0138924444305194,0.05695901362473,0.807448041689869
134,1,178191,-0.0145928329311366,0.057015083022901,0.798140932572214
135,1,178224,-0.0138924444305194,0.05695901362473,0.807448041689869
