SNP,Chr,Pos,Effect,SE,ERG11_PIS1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0347736289332659,0.0570497180582519,0.542563985728294
9,1,27272,-0.0630962805655036,0.0561221365771036,0.261663589035056
16,1,27843,0.042981761820273,0.0548445877509533,0.433741053297275
17,1,27848,0.042981761820273,0.0548445877509533,0.433741053297275
18,1,28495,0.0632554709836714,0.0547898248104585,0.249071585358704
19,1,28975,0.0370163347149522,0.0544906330629627,0.497383117343629
26,1,31435,0.0548525159394272,0.0543033488905088,0.31313305081265
29,1,36146,-0.00437935948574025,0.0541008553213897,0.935529130401615
31,1,37409,0.03171324357403,0.0543676800828002,0.560056711970706
32,1,37478,0.0215644456161397,0.0544285346864669,0.692198761213035
33,1,39144,-0.0153830322130234,0.0541860231408645,0.776658827625528
34,1,41499,0.014386859450253,0.0540364661480913,0.790207104353404
37,1,51248,0.031491901613632,0.0542460293839697,0.561922030128027
38,1,51462,0.0187526860625622,0.054336345591659,0.730207958381732
39,1,52124,0.0177658507672189,0.0542636806916845,0.743560528477399
40,1,52667,-0.0270286038266319,0.0541658403818059,0.618092159234732
42,1,59265,0.00678927460115029,0.0541564000657624,0.900306581132494
43,1,60165,0.0195903488319036,0.0541066345752384,0.717516928156492
44,1,62308,-0.0333483881159255,0.0540280159204243,0.537472710755476
45,1,62869,-0.00600977545245374,0.0540494280392658,0.911528587445288
49,1,66841,0.0324108674484381,0.0540483257215078,0.549114492657197
50,1,66948,0.0243548562509143,0.0543922735812444,0.654598793429601
51,1,68621,0.0448748680076014,0.0542077328660552,0.408325244229033
52,1,69417,0.0144371219691988,0.0541112248139961,0.789775427929018
56,1,74327,0.00388957334568699,0.0544138161225288,0.943055143204451
57,1,74572,0.00503032882252649,0.0542686815212364,0.926200013259546
58,1,75211,0.0273826839559992,0.0541508044080726,0.61340074048005
59,1,76030,0.00946797201408725,0.0541680697907781,0.861345794447508
60,1,80108,-0.0399320399032033,0.0541158854449613,0.461066268415205
61,1,81262,-0.0503268239062069,0.0540708235665776,0.352615111847177
62,1,81999,-0.046310346745101,0.0542133377192966,0.393560084683098
63,1,82431,-0.0322875031644339,0.0544991513172427,0.553934963305324
64,1,83284,-0.0296948027989688,0.0541063807167037,0.583474179756968
65,1,83613,0.00240379012318084,0.0541233436721737,0.964600163720569
66,1,84112,-0.00813054391464928,0.054127729768201,0.88068447009819
68,1,84858,0.0144988721366757,0.0542767439369394,0.789526118331241
69,1,85751,-0.0108185354035132,0.0545023020986794,0.842770616113757
70,1,87445,-0.0574309333174278,0.0545349647012265,0.29301411001027
71,1,87467,-0.0517824134244531,0.0548372888249991,0.345666309689668
72,1,89070,-0.0255047609991417,0.0545459735742671,0.64037146186624
73,1,89616,-0.0403424062776761,0.0542268473002603,0.457397805736881
74,1,89679,-0.0198929499675983,0.0542658860012868,0.714149735374479
75,1,89880,-0.0245808346195472,0.054274200185527,0.650898332744534
76,1,91472,-0.00914805280549333,0.0546907818145429,0.867254455721279
77,1,93789,-0.0593192476103165,0.0540373038039585,0.273063526129029
78,1,94351,-0.0523104788456709,0.0542004553767661,0.335140476608819
