SNP,Chr,Pos,Effect,SE,SSH1_ERG11_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0614257470888602,0.0630252121321336,0.330415280243367
9,1,27272,-0.0870771781951092,0.0619891696334501,0.16098506590997
16,1,27843,-0.000900492917999825,0.0606913857715055,0.98817040827157
17,1,27848,-0.000900492917999825,0.0606913857715055,0.98817040827157
18,1,28495,0.0183404741572637,0.0606845366663717,0.762657407377348
19,1,28975,-0.0106738068310256,0.0602840166953708,0.859563864450352
26,1,31435,0.0171905621950559,0.0601200034903183,0.775093729709186
29,1,36146,-0.0166206978790814,0.0598103837479656,0.781259610924642
31,1,37409,0.0264824520861447,0.0601238273483256,0.659869827039868
32,1,37478,0.0050546014537815,0.0601914450047669,0.933123582038352
33,1,39144,-0.0639128770097678,0.059820731761652,0.286067121093801
34,1,41499,-0.0393708812026335,0.0597144207280386,0.510120509493971
37,1,51248,0.0221080687449825,0.059993967393848,0.712717716254909
38,1,51462,0.0226161570140556,0.0600748151971206,0.706796271543074
39,1,52124,0.00449032613724482,0.0600050298959831,0.940390375202486
40,1,52667,-0.0470406045060198,0.0598569986295521,0.432463160581902
42,1,59265,0.034952004724985,0.0598502113070973,0.559599127632906
43,1,60165,0.0238182866219402,0.0598204360330805,0.690750707766816
44,1,62308,0.00685957417735064,0.0597669479973356,0.908691070556866
45,1,62869,0.0229986430011308,0.0597480183914868,0.700523098841156
49,1,66841,0.0341213754957858,0.0597611324704529,0.568388248010787
50,1,66948,0.0288339948692029,0.0601360721319042,0.631894689766554
51,1,68621,0.0459303919431417,0.0599428599846201,0.444047823376863
52,1,69417,0.0242497120880368,0.0598199450008514,0.685444978006363
56,1,74327,-0.0200036718377092,0.0601534079485794,0.739675698386986
57,1,74572,-0.00422435893121043,0.0600022355734178,0.943912484919418
58,1,75211,0.0197348815145432,0.0598840660544111,0.741934361418661
59,1,76030,0.00596269543423991,0.0598924365028172,0.92075275694455
60,1,80108,-0.0661223440659609,0.0597756037437253,0.269403591033114
61,1,81262,-0.111987582200109,0.0595589668331936,0.0608930194037594
62,1,81999,-0.127850362615634,0.0596155490164884,0.0326686134618074
63,1,82431,-0.0937073746772669,0.0600800287844919,0.119724659065082
64,1,83284,-0.128220904446071,0.0594576214660952,0.0317187860692317
65,1,83613,-0.128248219406798,0.0594508163836369,0.0316632983279085
66,1,84112,-0.123628813888058,0.0594851662307663,0.0384025490638169
68,1,84858,-0.107689500293446,0.0597425830594108,0.0723104061693209
69,1,85751,-0.141603318175654,0.0597904448855557,0.0184068184067809
70,1,87445,-0.123568193030762,0.0600317893343756,0.0402872859668428
71,1,87467,-0.136676999829559,0.0602696982799146,0.023947918253477
72,1,89070,-0.139869648415897,0.0598660899832542,0.0200307024009992
73,1,89616,-0.114500397544828,0.0596923701193046,0.0558952969557246
74,1,89679,-0.12720271277405,0.0596271206958049,0.0335890406872403
75,1,89880,-0.120733578316036,0.0596805027811557,0.0438266400964444
76,1,91472,-0.12429661994094,0.0601080451651406,0.0393787794080429
77,1,93789,-0.133416933776973,0.0594252264451704,0.0253787962903755
