SNP,Chr,Pos,Effect,SE,ERV25_PIS1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.139301521183328,0.127129670827621,0.273938008101331
9,1,27272,-0.16788468132181,0.125114564697483,0.180507893502137
16,1,27843,-0.0553097895475898,0.122430063447249,0.651714720283401
17,1,27848,-0.0553097895475898,0.122430063447249,0.651714720283401
18,1,28495,-0.0049186955082543,0.122467153956519,0.967985573737465
19,1,28975,-0.030477474381847,0.121637993129612,0.802300976792435
26,1,31435,-0.0474141082069014,0.121300255269615,0.696120129158373
29,1,36146,-0.0745421259125769,0.120635669317645,0.537032339057419
31,1,37409,0.00431036572527893,0.121353288912914,0.971685852622853
32,1,37478,-0.0136015239549329,0.121455668613757,0.910896921877999
33,1,39144,-0.0170754188837741,0.120900167220529,0.887764313593523
34,1,41499,-0.00115835454212983,0.120568207673,0.992339899123085
37,1,51248,0.0422403332724876,0.121060543549137,0.727358087833928
38,1,51462,0.0459632981413602,0.121220922252894,0.704789840147048
39,1,52124,0.0432379337383293,0.121059545833403,0.721183557891174
40,1,52667,0.00134078246996322,0.120887347406462,0.991156971315777
42,1,59265,0.0782691326786109,0.120754547284253,0.517298210707144
43,1,60165,0.0631417782433181,0.120688296868208,0.601176810152346
44,1,62308,-0.0097533826645313,0.120601179439877,0.935588761146536
45,1,62869,-0.0338881323897796,0.120573659400136,0.778830956134673
49,1,66841,0.0436694519742336,0.120621589430706,0.717541172871695
50,1,66948,0.00339242617850649,0.121384253178392,0.977719555572563
51,1,68621,-0.0696522482567106,0.12099877601153,0.565222445347507
52,1,69417,-0.0470711598984909,0.120709082244998,0.696804699074772
56,1,74327,-0.0697579165894939,0.121342081728955,0.565734315141622
57,1,74572,-0.0644372473018451,0.121027084199471,0.594770056421611
58,1,75211,-0.0561319020419412,0.120818025550911,0.642505259850358
59,1,76030,-0.0842879924513083,0.12077166507448,0.485691690078919
60,1,80108,-0.0810696039752579,0.120749313044183,0.5024126794927
61,1,81262,-0.106952032926076,0.120646485375612,0.375956489042149
62,1,81999,-0.063228780173933,0.121028889791694,0.601700642747441
63,1,82431,-0.0636917817160021,0.121601565959195,0.600764168377403
64,1,83284,-0.0493292179205633,0.120735045121519,0.683099947406339
65,1,83613,-0.0146624605485161,0.120747760127214,0.903419155063905
66,1,84112,-0.0771256389949812,0.120693801143988,0.52322495228818
68,1,84858,0.0210099510714251,0.121099258452781,0.862362870207496
69,1,85751,-0.0434284099322371,0.121580221598367,0.72115581190406
70,1,87445,-0.0214553450510667,0.121853899922976,0.860336504471054
71,1,87467,-0.0663322961938871,0.122446302148586,0.588349309077163
72,1,89070,0.0211217536855844,0.121725326701467,0.862342328533036
73,1,89616,0.0323660742604034,0.121063413133343,0.789357278752724
74,1,89679,0.0150953374307485,0.121088335527423,0.900860641804931
75,1,89880,0.0403756138864198,0.121102617280591,0.739030298238583
76,1,91472,0.0263534847636582,0.122012680384785,0.829120513025529
77,1,93789,0.00027762084191757,0.120763588495474,0.998167060368332
78,1,94351,-0.0224744119234973,0.121075508873879,0.852846945876875
79,1,99148,-0.00731362607052018,0.120762962026327,0.951742444616674
82,1,106800,-0.0157980412758143,0.120923562119284,0.896130676639296
83,1,107970,0.00475119380496312,0.120567958239362,0.96858835947486
84,1,109000,-0.0116009442994326,0.120779127072914,0.923534649154291
85,1,112549,-0.151874144629326,0.120372871022632,0.207890731036148
86,1,112742,-0.17456179985451,0.120757115706825,0.149187501356732
87,1,113050,-0.0898796250502666,0.120815588951061,0.457407293425959
88,1,113135,-0.140040787156357,0.120371747231641,0.245452047800022
89,1,114076,-0.064276896843599,0.120553763719322,0.594244263761668
90,1,114628,-0.0228778791931746,0.120901267522668,0.850023042420716
91,1,116283,-0.0570594984053561,0.121541937357955,0.639028241148291
93,1,127853,0.0424644237030908,0.121332456787399,0.726559395178762
94,1,128302,0.0339272092240894,0.120873880863784,0.779118197393689
95,1,128704,0.0500135688506677,0.120978420242054,0.679558000733384
96,1,128911,0.0745569203254176,0.120956018678866,0.53802986145579
97,1,130267,0.133212492395143,0.120755758285585,0.270710711861292
98,1,130271,0.133628423522565,0.120898273031158,0.269783944996603
99,1,130613,0.126638123708861,0.122053068207403,0.30018231261788
100,1,132012,-0.0105923402276098,0.121978271783007,0.930849576543114
101,1,133231,-0.0111047053828116,0.121112567898044,0.926997046916378
102,1,137074,0.082262944779358,0.120862479849676,0.496550174383611
103,1,137304,0.0374559463842328,0.12096737217094,0.757019889176748
104,1,139686,0.113486388377231,0.120992109921418,0.348903598113759
105,1,149562,0.110562787833689,0.121276471601876,0.362570393748351
106,1,150447,0.117393491322967,0.122606864122578,0.338980854458037
108,1,154084,0.103006896345443,0.123023150382264,0.402992232616409
110,1,157269,0.0858137138547168,0.120823963673257,0.47802578156672
111,1,160054,0.0729592808174614,0.121997220350576,0.550196385772935
112,1,166222,0.0809544442149899,0.121079585195763,0.50418430790474
113,1,166416,0.0772059979292566,0.120840412719784,0.523296624553389
114,1,167326,0.072706305441293,0.121535747150661,0.550070241095225
115,1,168836,-0.0177245320348624,0.121017418616321,0.88363977710345
116,1,171200,0.0193409869147147,0.121197961493199,0.873301798259693
117,1,171431,-0.0187064941163902,0.121954942105556,0.878179504426895
118,1,173339,-0.00167535105225622,0.121010539536159,0.988961725234087
119,1,173845,-0.0258397122068568,0.120902439569752,0.83088594686285
120,1,175121,-0.0320662682391185,0.120658459817199,0.790578710302882
121,1,175281,-0.0362838891623993,0.120757656189482,0.763996588646767
122,1,175315,-0.0319228203960634,0.120723122956654,0.791602885540919
123,1,175523,-0.0182420604893621,0.121415275517377,0.880656989059798
124,1,175541,-0.0341984955368959,0.120909921923262,0.777463159873993
125,1,175653,-0.0332843384517748,0.121293327358737,0.78392857883051
128,1,175856,-0.00972392905683153,0.123307796488423,0.937189461040421
129,1,175876,-0.0247681689238116,0.121412000950454,0.838470279131931
130,1,175989,-0.0257364844442285,0.121757881175458,0.832717202384144
131,1,176001,-0.0392613060689795,0.122382228589172,0.748545063575329
133,1,177692,-0.0176098652435935,0.120731440806237,0.884115312106242
134,1,178191,-0.0138658645334222,0.120852705380621,0.908721522276867
135,1,178224,-0.0176098652435935,0.120731440806237,0.884115312106242
136,1,178960,-0.0454793217999038,0.121675295657926,0.708795264395712
140,1,183802,-0.0958815698151062,0.120642394426741,0.427287997619434
141,1,183954,-0.0517978682193148,0.121598129826613,0.670385047205588
142,1,184450,0.00520971646623818,0.120564120437958,0.965557634185412
144,1,184718,-0.0487701559388712,0.121221664732728,0.687690490973499
145,1,185296,-0.0124631916736225,0.120733256639486,0.917839723180413
146,1,185438,-0.00283997899562309,0.120740684810794,0.981247731032845
147,1,185469,-0.00411840854075385,0.120914833994639,0.97284823120322
148,1,185503,-0.00948219188503294,0.120601240706467,0.93737598334939
149,1,185705,-0.0306687647933236,0.121939269386405,0.801567330169965
150,1,185749,-0.0179170451014604,0.121946465816306,0.883274701816607
151,1,185806,-0.0369101651123697,0.122097228035396,0.762600336434184
152,1,185879,-0.0432475095701463,0.122681504121468,0.724659766302547
153,1,185916,0.0131521580919613,0.122645292011288,0.914661593054207
154,1,185941,0.0254980813235337,0.123174082831606,0.836122583441147
155,1,185954,0.00890427441004061,0.123540393654554,0.942582392933573
156,1,186055,-0.00368350220487562,0.121075510168634,0.975746750538897
157,1,186896,0.0260214796333829,0.123052870431711,0.832645811032859
161,1,190132,0.0736515497464241,0.121165856015462,0.543672982814203
162,1,190148,0.0815258523729451,0.121188156493739,0.50156474756345
163,1,190165,0.0640175340548131,0.122150136574084,0.600545593493697
164,1,190169,0.0729738739351847,0.121983448471914,0.550071660281663
165,1,190933,-0.10353187520282,0.120930071646921,0.392506580955676
166,1,192149,-0.049477241363687,0.122016852843238,0.685359239701045
168,1,192303,0.0404867704515488,0.145480337808889,0.780947167147583
