SNP,Chr,Pos,Effect,SE,ERG11_ERV25_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0910692040682077,0.0990202935620411,0.358356322577676
9,1,27272,-0.145599600327433,0.0973420328144177,0.135611599892847
16,1,27843,0.00752924424222665,0.0953387407801103,0.937098364550781
17,1,27848,0.00752924424222665,0.0953387407801103,0.937098364550781
18,1,28495,0.0148769185818723,0.0953378386000523,0.876087364611016
19,1,28975,-0.0285649844823563,0.0946916212626687,0.763086402161559
26,1,31435,0.0602905278195591,0.0943983844697123,0.52344413219365
29,1,36146,0.0108374051827956,0.0939641010351755,0.908244707356936
31,1,37409,0.0319457432171889,0.0944586298172323,0.735414844968847
32,1,37478,0.0221953242239466,0.094547765370059,0.814536946100541
33,1,39144,-0.0822223584411667,0.0940218746274594,0.382439270631641
34,1,41499,-0.101296081121643,0.0937076182423711,0.280443859902009
37,1,51248,-0.0394143630167026,0.0942387642005983,0.676026419058919
38,1,51462,-0.0174340698506216,0.0943853696561419,0.853561343005144
39,1,52124,-0.0866390777618694,0.0941492491469269,0.358080370043526
40,1,52667,-0.131821755193839,0.0938491440667987,0.161015597920506
42,1,59265,-0.122347004142559,0.0938378918887651,0.193147165514836
43,1,60165,-0.0381328467405465,0.0939705697591453,0.68513862476556
44,1,62308,0.0581350959352748,0.0938381134690916,0.535969939395655
45,1,62869,0.0040839660734887,0.0938770702110861,0.965324899451407
49,1,66841,0.0193326804396929,0.0939159286308865,0.837026028038882
50,1,66948,0.00288132506646305,0.0944978487103709,0.975692777092358
51,1,68621,0.0874588195725392,0.0941269427330144,0.353442038532961
52,1,69417,0.0285497294752833,0.0939802014015024,0.761471047177028
56,1,74327,0.00856292667687097,0.0945081499794761,0.927857715564412
57,1,74572,0.0415264170331913,0.0942317180040083,0.659711478893558
58,1,75211,0.0123530415904558,0.0940835145486423,0.895613831132905
59,1,76030,-0.0582539072435988,0.0940347097253515,0.535990821223308
60,1,80108,-0.11428874410056,0.0938666706511296,0.224202711029495
61,1,81262,-0.102371275115774,0.0938700046797446,0.276208498333307
62,1,81999,-0.0907648088730283,0.0941337557219565,0.335600180867388
63,1,82431,-0.0980249657016397,0.094560001963047,0.300611847647434
64,1,83284,-0.114606617657925,0.0938165841880427,0.222672989334513
65,1,83613,-0.0865112211867989,0.0938914834544592,0.357473079961604
66,1,84112,-0.0915052162850804,0.0938884447539993,0.330417976221337
68,1,84858,-0.101159076381658,0.0941261539974257,0.283235023042104
69,1,85751,-0.068243493201267,0.0945978274598457,0.471136944647183
70,1,87445,-0.158055137426283,0.0944939313629007,0.0952824926445776
71,1,87467,-0.146170273079579,0.0950464197531106,0.12497307319744
72,1,89070,-0.109661978165714,0.0945875240527706,0.247088844464427
73,1,89616,-0.128800626258952,0.0940080089597002,0.171525598309016
74,1,89679,-0.0880132462315465,0.0941531081695013,0.350536295541269
75,1,89880,-0.111892019600279,0.0941052023251785,0.235234970021702
76,1,91472,-0.0746042315987073,0.0949103498940905,0.432365817814191
77,1,93789,-0.131282543772135,0.0937546559961369,0.162308526003022
78,1,94351,-0.155161931882598,0.0938996471476237,0.0993374891523881
79,1,99148,-0.11141078566021,0.0938274889508268,0.235868161402417
