SNP,Chr,Pos,Effect,SE,TPO1_MID2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.111048726028764,0.0720400351612254,0.124094408482202
9,1,27272,-0.142112731515513,0.0707936471994444,0.0454665401304437
16,1,27843,0.124960806615916,0.0691931247718493,0.071774470014455
17,1,27848,0.124960806615916,0.0691931247718493,0.071774470014455
18,1,28495,0.16374046937961,0.0689646940129892,0.0181181114572425
19,1,28975,0.12151093472703,0.0687449654958545,0.0779981677740671
26,1,31435,0.136173297240528,0.0684831123329739,0.0475369443640659
29,1,36146,0.116151139813676,0.0682309775542945,0.0895752607005588
31,1,37409,0.13834544141437,0.0684861930384415,0.0441333113914939
32,1,37478,0.123511294956413,0.0686259675906021,0.0727499450288419
33,1,39144,0.0234842528463201,0.0686141351307235,0.732354769806066
34,1,41499,0.0355729970637943,0.0684089709940738,0.603386134964891
37,1,51248,0.0380136549546468,0.0686966709003508,0.580370550678091
38,1,51462,0.0289159839603303,0.0688024414903794,0.674539878111835
39,1,52124,0.000318630834407384,0.068726457039093,0.996303465425261
40,1,52667,-0.0517870743250038,0.0685609315146676,0.450546413121591
42,1,59265,-0.0308150524755493,0.068562085950526,0.653384762613117
43,1,60165,-0.0390771745944312,0.0684983063167057,0.568712543863499
44,1,62308,0.00736677495870636,0.0684533845338718,0.914360336485391
45,1,62869,-0.0138792175479855,0.0684419233228257,0.839417377714757
49,1,66841,0.0350173086438117,0.0684527995509936,0.609282971802745
50,1,66948,0.0324038807137604,0.0688768365886299,0.638316079388275
51,1,68621,0.0517557141061618,0.0686565387185356,0.451450721909368
52,1,69417,-0.018968321995088,0.0685224383982476,0.782081007327053
56,1,74327,-0.080304955624192,0.0687739578047173,0.243729928841037
57,1,74572,-0.0608415057582183,0.0686468593964251,0.376060888465728
58,1,75211,-0.0971473696747199,0.0684027715462317,0.156424596142781
59,1,76030,-0.049950478490784,0.068546381868028,0.466661836768546
60,1,80108,-0.0919333410385333,0.0684069223029602,0.179837813704152
61,1,81262,-0.110783603364082,0.0683017299279488,0.105701766881628
62,1,81999,-0.157163000716657,0.0682122086779385,0.0218011313405482
63,1,82431,-0.14671074018177,0.0686055580280382,0.0331648334574506
64,1,83284,-0.164327802715778,0.0679857672590339,0.0161513672918137
65,1,83613,-0.145896249358148,0.0680971890134699,0.0328391388210161
66,1,84112,-0.10285606147222,0.0683270970467261,0.133128862316716
68,1,84858,-0.0568511685003717,0.0686728848232285,0.408312129199985
69,1,85751,-0.0773139334486212,0.0688992786157331,0.262569941207843
70,1,87445,-0.0868676763174623,0.0690132604246625,0.20896691783021
71,1,87467,-0.0961576963937366,0.0693414419541054,0.166399901320296
72,1,89070,-0.0994966898100013,0.0688916534005867,0.149555961988044
73,1,89616,-0.0964024750108927,0.068531384474267,0.160398820180125
74,1,89679,-0.0910506760967505,0.0685608403637362,0.185027083322848
75,1,89880,-0.107731326279665,0.0685097791576347,0.116731494023976
76,1,91472,-0.092785175652595,0.0690833358233163,0.180105528088459
77,1,93789,-0.115949256748607,0.0682676822367251,0.0903039945997491
78,1,94351,-0.120452644134117,0.0684267831808967,0.0792205148158343
79,1,99148,-0.119308445454243,0.068251283493806,0.0813202101354589
82,1,106800,-0.0687161179458158,0.068541007845865,0.316762433524749
83,1,107970,-0.0496834271727393,0.0683840578411005,0.46799220217709
84,1,109000,-0.0694238446560888,0.0684561215570462,0.311212264113205
85,1,112549,-0.0185611538867182,0.0684710412309438,0.786487678850302
86,1,112742,-0.00502512934893051,0.0687444384080124,0.941768974354657
87,1,113050,-0.0194154947570756,0.0686215295119073,0.777391808892252
88,1,113135,-0.0341661086417407,0.0684303494640944,0.617891067428883
89,1,114076,-0.0504316683493293,0.0684018612703556,0.461438802064555
