SNP,Chr,Pos,Effect,SE,ERV25_UIP4_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.00841354927254834,0.174671989623215,0.961609826273313
9,1,27272,0.14514337535249,0.171875855606337,0.398980806005476
16,1,27843,-0.0445846308679486,0.167961866125787,0.790821653310084
17,1,27848,-0.0445846308679486,0.167961866125787,0.790821653310084
18,1,28495,-0.0437458658501185,0.167965211060729,0.794671627676813
19,1,28975,-0.0505804343611247,0.166836770108788,0.761936477183223
26,1,31435,-0.0597275368560972,0.166386035717048,0.719832404853599
29,1,36146,-0.19558019860512,0.165230703696091,0.237336430447185
31,1,37409,-0.0975447927688955,0.166372451820741,0.558046119725761
32,1,37478,-0.117963926026065,0.166478175298679,0.479049751495795
33,1,39144,-0.0543766511943911,0.165811050155982,0.74314882696046
34,1,41499,-0.0941737708337869,0.165300336687676,0.569234659795409
37,1,51248,-0.249683340241511,0.165547690602234,0.132391128201417
38,1,51462,-0.221462435434868,0.165887188573504,0.182730671388435
39,1,52124,-0.15582044533601,0.165873028380786,0.348169844483235
40,1,52667,-0.163701148456453,0.165584991122081,0.323524727086961
42,1,59265,-0.0192062369261226,0.165727263885455,0.907805120780492
43,1,60165,-0.03435196509995,0.165595086064586,0.83578152591612
44,1,62308,-0.131664864374381,0.165274547288627,0.426193664442915
45,1,62869,-0.1411749444009,0.165231510495344,0.393459031394553
49,1,66841,-0.0254408255361225,0.165474685731882,0.877899036999722
50,1,66948,-0.0823997095156205,0.166438025449104,0.620853480354962
51,1,68621,-0.150092299361224,0.16585247471916,0.366095998294539
52,1,69417,-0.0916701133250056,0.165533289022501,0.580075524232245
56,1,74327,0.0731784210146114,0.16647010624931,0.660503828014063
57,1,74572,0.0938858090701281,0.165997150333137,0.572033969454678
58,1,75211,0.132890228055052,0.165618647178077,0.422869064062204
59,1,76030,0.0707254964114341,0.165726865196828,0.669814736137449
60,1,80108,-0.0649639720633096,0.165694343312021,0.695242242583272
61,1,81262,-0.0472965197959922,0.165648635794324,0.775410835189036
62,1,81999,-0.0427499001975131,0.166056758654575,0.796987976624764
63,1,82431,-0.104470677614855,0.166765815449274,0.531423797407575
64,1,83284,-0.0380621106175136,0.165631897006272,0.81838075000491
65,1,83613,0.0197490200983672,0.165622697099185,0.905152235151253
66,1,84112,0.0279886059015511,0.16563758687091,0.865913113538321
68,1,84858,0.14732644167417,0.165926602805551,0.375198439630411
