SNP,Chr,Pos,Effect,SE,ALO1_ADE17_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.102179405724234,0.0653291025757128,0.118696713678567
9,1,27272,-0.0961727059072025,0.0643673799177136,0.136037107015027
16,1,27843,0.0961805803071098,0.0628346418613066,0.126740780131656
17,1,27848,0.0961805803071098,0.0628346418613066,0.126740780131656
18,1,28495,0.133611106238542,0.0626414786829722,0.0336182496595807
19,1,28975,0.0802639718887142,0.0624765511403135,0.199737584667997
26,1,31435,0.129928379469693,0.0620724923702057,0.0370471474108178
29,1,36146,0.118161636621796,0.0618153640905213,0.0567465839940843
31,1,37409,0.0991636339345997,0.0622470617940683,0.112040536062416
32,1,37478,0.110513831805589,0.0622468255954557,0.0766912274084122
33,1,39144,0.00247036839251374,0.0622386701709933,0.968361232284057
34,1,41499,0.0369927919832533,0.0620349343805939,0.55134238149638
37,1,51248,0.0446346404817285,0.0622850653549396,0.47408326810083
38,1,51462,0.045424227173198,0.0623680322643986,0.466897230246627
39,1,52124,0.0556456358184157,0.0622599499002491,0.372057676308673
40,1,52667,0.00998251863173374,0.0622281938769633,0.872643617872545
42,1,59265,0.0122508714569166,0.0621956503322338,0.843961930827642
43,1,60165,0.0241393837372822,0.0621387851606829,0.697898512088408
44,1,62308,0.0601814376410549,0.0620010266658462,0.332386071841551
45,1,62869,0.0412315034299476,0.0620371120883132,0.50672340110687
49,1,66841,0.0876616851266302,0.0619296612123008,0.157802400931423
50,1,66948,0.109074213662677,0.0622160496776825,0.0804438530818729
51,1,68621,0.0414996262399527,0.0622778835357937,0.505614888723059
52,1,69417,-0.0179474568862705,0.0621447251249825,0.772903209304696
56,1,74327,-0.0607229758996922,0.0624101451099542,0.331236222070496
57,1,74572,-0.042636504690632,0.0622860694498801,0.494091532631636
58,1,75211,-0.0268122836801493,0.062197408741884,0.666670697482049
59,1,76030,-0.0243809180095672,0.0622002432368059,0.695313486978605
60,1,80108,-0.0468675068074385,0.062149026769736,0.451282973843786
61,1,81262,-0.0115699543350657,0.0621725043374182,0.852477632559963
62,1,81999,-0.0462353689365364,0.0622787956803981,0.458342702876636
63,1,82431,-0.0440199200826658,0.0625785922846723,0.482248915805165
64,1,83284,-0.0973215021660454,0.0619505654878607,0.117089156793305
65,1,83613,-0.0974559795919571,0.0619430922491435,0.116541773266825
66,1,84112,-0.0762774531999028,0.0620340361671503,0.219663411435566
68,1,84858,-0.0469589401720526,0.0622920751347558,0.451441261087189
69,1,85751,-0.0915060857267003,0.0624086855751318,0.143473250715619
70,1,87445,-0.0822135873315224,0.0625779653671689,0.189773914476689
71,1,87467,-0.0817929132929056,0.062908714946146,0.194386134736384
72,1,89070,-0.0809741178774274,0.062516117147132,0.196079784299969
73,1,89616,-0.0488264575145003,0.0622731934238314,0.433525638919656
74,1,89679,-0.082574009110419,0.0621801606285001,0.185042736953005
75,1,89880,-0.087791317588916,0.0621757487228349,0.158834834993352
76,1,91472,-0.0473005265177698,0.0627634294951466,0.451572614232339
77,1,93789,0.0116089257936213,0.0621636723559298,0.851965697082262
78,1,94351,0.0234621906396561,0.0623178443115929,0.706777106325778
79,1,99148,0.0268582851096685,0.0621503049348287,0.665895892632785
