SNP,Chr,Pos,Effect,SE,SNA4_VAC8_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00546874541344167,0.0889888519310402,0.951032207698847
9,1,27272,-0.0521638893990847,0.0876089278742237,0.551945948724074
16,1,27843,0.0664848337179131,0.0855058198316738,0.437356624080028
17,1,27848,0.0664848337179131,0.0855058198316738,0.437356624080028
18,1,28495,0.0895224038275114,0.0854476507348014,0.295499585632623
19,1,28975,0.0754307858678067,0.0849134828875779,0.374970747717422
26,1,31435,0.006071581527412,0.0847824974205185,0.942949956854759
29,1,36146,0.0168473280319481,0.0843411692937867,0.841789461040504
31,1,37409,0.0910868432451014,0.0846632890101807,0.282719368699629
32,1,37478,0.0991785965069826,0.0847105683568691,0.242471469632618
33,1,39144,0.101046071095186,0.0843162267842493,0.231558335898452
34,1,41499,0.104668439744373,0.0840688453432581,0.213945698494569
37,1,51248,0.136421801708172,0.08429971845973,0.106492184160951
38,1,51462,0.13793136524112,0.0844079275145195,0.103128408388298
39,1,52124,0.128394181313366,0.0843354299699396,0.12879845692481
40,1,52667,0.108088963517128,0.0842801224233718,0.200510046133757
42,1,59265,0.102675190855072,0.084256590789402,0.223809321639812
43,1,60165,0.036003073502911,0.0843480607728696,0.669756530535812
44,1,62308,-0.0311359398031333,0.0842607416825979,0.711962527266775
45,1,62869,-0.0230506138215756,0.0842575200996775,0.784572496162649
49,1,66841,0.0233278032802872,0.0842970222812189,0.78214677299827
50,1,66948,0.0620894340689646,0.0847591636171581,0.464325462433206
51,1,68621,0.033975359065637,0.0845744434928086,0.688132215183781
52,1,69417,0.0499377678121299,0.084327948135827,0.554105643011113
56,1,74327,0.0964573809976181,0.0846781962730831,0.255431649365667
57,1,74572,0.118401039976259,0.0843728126347966,0.161404028336326
58,1,75211,0.0860629446377035,0.084329280489077,0.308162679249163
59,1,76030,0.16641598064119,0.0839878325904147,0.0483186010551397
60,1,80108,0.114743655921635,0.0842124688733663,0.173893191575579
61,1,81262,0.101963560036683,0.084227052750316,0.226866451098636
62,1,81999,0.0901772640200204,0.084471582143764,0.286455072517472
63,1,82431,0.0767057095677803,0.0849102473638986,0.366943481192357
64,1,83284,0.0854015484772451,0.0842672435281113,0.311534245180236
65,1,83613,0.0936091319546657,0.0842332282018885,0.267191767292878
