SNP,Chr,Pos,Effect,SE,SSH1_ERV25_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.014187242741345,0.169728077294863,0.933431331603116
9,1,27272,0.0851992712836036,0.167119289066751,0.610502380152014
16,1,27843,0.0628229348275305,0.163190991463919,0.700494666264295
17,1,27848,0.0628229348275305,0.163190991463919,0.700494666264295
18,1,28495,0.0550331801604302,0.163201603081273,0.73615915812034
19,1,28975,0.100231739361735,0.162049012363684,0.536626702199417
26,1,31435,-0.00589278236940516,0.161706920150173,0.970951219823796
29,1,36146,-0.0477602419188381,0.160853308793575,0.766703750267768
31,1,37409,0.110894915647278,0.161635483396101,0.493112857378297
32,1,37478,0.097605647545503,0.161798875249714,0.546727831271277
33,1,39144,0.137702260138822,0.160976785518653,0.392900625859169
34,1,41499,0.148313432435929,0.160502563582377,0.356088129778108
37,1,51248,-0.0991698363509769,0.161294225830533,0.539057757314184
38,1,51462,-0.108992824877152,0.16149524296467,0.50018232910558
39,1,52124,0.0163210844486858,0.161378229298427,0.919500234814654
40,1,52667,0.00456089593679426,0.16112175033491,0.97743318236673
42,1,59265,0.045227008615752,0.161022658833869,0.778971925401219
43,1,60165,0.0583974010887143,0.160888937304141,0.71684665527063
44,1,62308,0.00393229283617783,0.160741845624846,0.980496796574335
45,1,62869,-0.0104884713609881,0.160720823742215,0.948004771192387
49,1,66841,-0.117140461413346,0.160676621312594,0.466457652799971
50,1,66948,-0.152450246783774,0.161580768523779,0.346074323343993
51,1,68621,-0.384320084669869,0.160044192628273,0.0168517921433237
52,1,69417,-0.260286165705266,0.160321513632797,0.105369597584307
56,1,74327,-0.228524718072649,0.161345865042137,0.15755032852148
57,1,74572,-0.185018604953604,0.161072158723799,0.251470221281221
58,1,75211,-0.263781811324793,0.160465717591956,0.101097165620041
59,1,76030,-0.111874835947394,0.160968640933106,0.487506174623321
60,1,80108,-0.10995343412432,0.160934280438911,0.494916339148393
61,1,81262,-0.0872051145786625,0.160912843239507,0.588201717275367
62,1,81999,-0.178511857338641,0.161092958159402,0.268560346080189
63,1,82431,-0.195668833246633,0.161801986134066,0.227352902925376
64,1,83284,-0.193874172755245,0.160625847062061,0.228243258352404
65,1,83613,-0.159526393560884,0.160715090162867,0.321583020964985
66,1,84112,-0.194609143301879,0.160623329234793,0.22648090850281
68,1,84858,-0.183334102771305,0.161116007376582,0.255933454703169
69,1,85751,-0.186448453816455,0.161770577173279,0.249875600089544
70,1,87445,-0.172195257484721,0.162158491534551,0.289009392500539
71,1,87467,-0.214411005707923,0.162868225922894,0.188870713876704
72,1,89070,-0.169868237179352,0.161993598907584,0.295074688494966
73,1,89616,-0.147967576221986,0.161180615106724,0.359233425207423
74,1,89679,-0.155772807177608,0.161180241904922,0.33448019701729
75,1,89880,-0.1449011752931,0.161249905399222,0.369471642879703
76,1,91472,-0.0982485598838881,0.162548433050836,0.545948485788899
77,1,93789,-0.132188533095962,0.160803113079266,0.411602155799729
78,1,94351,-0.125596177890812,0.16124205660295,0.436543152776523
79,1,99148,-0.0667497700766911,0.160917743416232,0.678535337469908
82,1,106800,-0.103177737567847,0.161080486162159,0.522240216781813
83,1,107970,-0.12239957895071,0.160564460742036,0.446385230194008
84,1,109000,-0.0356670149776698,0.160968576075554,0.824770920495499
85,1,112549,0.00342990314995811,0.160797436276517,0.982993999051127
86,1,112742,-0.0544937510144342,0.161397948345353,0.735838225972321
87,1,113050,0.0230354625288803,0.161147781831031,0.886414231913657
88,1,113135,0.0178308020259798,0.160739180246758,0.911734875571685
89,1,114076,0.218112243502188,0.160322229192645,0.174551940854852
90,1,114628,0.253175974710579,0.160584246624581,0.115784956269869
91,1,116283,0.10019022224409,0.161957156618043,0.536564530384784
93,1,127853,0.0222087445346095,0.161738894124384,0.890862208817705
94,1,128302,0.0241425764982751,0.161116809134938,0.880972344441894
95,1,128704,0.0113657563903581,0.161281183660219,0.943858144481733
96,1,128911,0.101748685628069,0.16120923131812,0.528344906055329
97,1,130267,0.184105700141556,0.160925650258567,0.253381403991808
98,1,130271,0.186142341548404,0.161110726333216,0.248720783518676
99,1,130613,0.212097071544635,0.162531911658711,0.192757684639618
100,1,132012,-0.0619692626834137,0.162544194474732,0.703250355743035
101,1,133231,-0.127094628681334,0.161282208483504,0.431210137666329
102,1,137074,-0.0705994350915247,0.161150625724931,0.661584694541315
103,1,137304,-0.131833560545542,0.161097717930572,0.413712113322072
104,1,139686,-0.0753973223729648,0.161412488407308,0.64070965565179
