SNP,Chr,Pos,Effect,SE,ERV25_EMP47_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0275583438744578,0.108636320269555,0.799894153148979
9,1,27272,0.0335810819251323,0.106999675180685,0.753825784952612
16,1,27843,-0.120079744453224,0.10428694047382,0.250332164479723
17,1,27848,-0.120079744453224,0.10428694047382,0.250332164479723
18,1,28495,-0.108253651019105,0.104325303877029,0.300141056197558
19,1,28975,-0.063832417315936,0.103730249385795,0.538707337397539
26,1,31435,-0.0482686061498375,0.103479008111285,0.641175467714671
29,1,36146,-0.0608012178620423,0.102926287602318,0.555082142826687
31,1,37409,0.0137803570605635,0.103531333684324,0.894187567702661
32,1,37478,0.00132721194525845,0.103622909521026,0.989788134647448
33,1,39144,-0.0291346531267652,0.103138419220414,0.777740200089106
34,1,41499,-0.0286606438947429,0.102852648673402,0.780670981321492
37,1,51248,-0.0186785278607299,0.103297013220924,0.856609884664091
38,1,51462,-0.0350015556148527,0.103425098412905,0.735244740386227
39,1,52124,0.0277296570743026,0.103291253293767,0.788501429007057
40,1,52667,0.0229869280169363,0.103128985015037,0.823746199926573
42,1,59265,-0.0926863456239158,0.102966103046249,0.368646828893413
43,1,60165,-0.0379054314818183,0.102986555289697,0.713047652058865
44,1,62308,-0.146173318458326,0.102598474467837,0.15512382912147
45,1,62869,-0.161156948827394,0.102521913005019,0.116863364104344
49,1,66841,-0.111060606866665,0.102758715427509,0.280528299983814
50,1,66948,-0.113559664684972,0.103383747863352,0.272766013404168
51,1,68621,-0.099811490306771,0.103143012531033,0.333856759724063
52,1,69417,-0.165708812096326,0.102628028281612,0.107278971869297
56,1,74327,-0.0764680683087429,0.103492637963718,0.460474217867343
57,1,74572,-0.0614220690829627,0.103245147756057,0.552281552795106
58,1,75211,-0.0407815373681945,0.103085741946583,0.692633261449703
59,1,76030,-0.0167208755645282,0.103104750553784,0.871261883357391
60,1,80108,0.0538379012786772,0.103044377331677,0.601668797543101
61,1,81262,0.000436785447656782,0.1030452387874,0.996620352430327
62,1,81999,0.00907501910829084,0.103295763147259,0.930041972228049
63,1,82431,0.0455141641351421,0.103757597154274,0.661177263619157
64,1,83284,-0.00903918260125797,0.103029515473014,0.930137912527186
65,1,83613,0.0283798193426349,0.103008211050565,0.783085444199956
66,1,84112,0.0781446564438317,0.102946653216054,0.448311784709652
68,1,84858,0.0902172664813718,0.103209783111579,0.382649668821677
69,1,85751,0.0528227400180562,0.10370799913855,0.610831441328936
70,1,87445,0.0540019239324134,0.103925674756022,0.603653686574817
71,1,87467,0.0533559120667164,0.104471085790754,0.609863431147948
72,1,89070,0.0889627572404023,0.103747587219313,0.391754659761333
73,1,89616,0.0465440989196708,0.103267182635057,0.652471469198016
74,1,89679,0.0876069267254426,0.103204691855555,0.396531281136651
75,1,89880,0.0963141663186251,0.103208919169197,0.351356555288629
76,1,91472,0.116049080479488,0.103919792105869,0.26487453303526
77,1,93789,0.141306263711721,0.102755766162683,0.169952014941258
78,1,94351,0.0636929180707264,0.103246157183687,0.537696037263704
79,1,99148,0.031990307080737,0.103016568715279,0.756336998214265
82,1,106800,0.0872860982047357,0.103064961608604,0.397622584643872
