SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0578267280808484,0.057850161134154,0.318191281519478
9,1,27272,-0.0761149510689243,0.0569179793154775,0.1819941589621
16,1,27843,0.0586728126526113,0.0556242725075547,0.292235495382439
17,1,27848,0.0586728126526113,0.0556242725075547,0.292235495382439
18,1,28495,0.0781533648255162,0.0555572619653888,0.160390977365295
19,1,28975,0.0476726871868447,0.0552821585998256,0.389079228169459
26,1,31435,0.0665961126323246,0.0550798018613263,0.227439734067876
29,1,36146,0.0307955289777078,0.0548846639224222,0.575088542755652
31,1,37409,0.0327568022061229,0.0551784820111812,0.553125264056658
32,1,37478,0.016253824777254,0.0552467036613918,0.768774618739643
33,1,39144,0.00316836752938822,0.0550010823423481,0.954095423426485
34,1,41499,0.0670211732984091,0.0547326579355302,0.221573097103583
37,1,51248,0.0843466964350599,0.0548989916927796,0.125336626850735
38,1,51462,0.0781174400422624,0.0550000019287732,0.156398013610938
39,1,52124,0.0408432385389518,0.0550393277894633,0.458536132638943
40,1,52667,0.025092946617492,0.0549777446335394,0.648368622183172
42,1,59265,0.0126393169674942,0.0549621044731012,0.818252779571801
43,1,60165,0.011980645112767,0.0549209833979956,0.827443503654834
44,1,62308,0.04346583578507,0.0548154827392578,0.428340649822299
45,1,62869,0.045405658284139,0.0548041304171601,0.407942707347774
49,1,66841,0.0909159013553292,0.0546695049511977,0.0971981080767489
50,1,66948,0.087758651580304,0.0550221627237902,0.111614020019501
51,1,68621,0.0545827501072021,0.0549937941171127,0.321621031010964
52,1,69417,0.0540224393143643,0.0548493714147948,0.325336194646892
56,1,74327,-0.0483469684886154,0.0551666749160597,0.381419489847438
57,1,74572,-0.0582824217605813,0.0549922032459101,0.289946281902318
58,1,75211,-0.0302686354987343,0.0549556118062594,0.582130604100943
59,1,76030,-0.0484761724859604,0.054918645805319,0.378004158561127
60,1,80108,-0.0629122327168914,0.0548641336794196,0.252285822294766
61,1,81262,-0.055653592891087,0.0548655379124384,0.311104133712593
62,1,81999,-0.0481257434012665,0.0550200331016739,0.382334646273598
63,1,82431,-0.0429916003555035,0.0552930316263309,0.437371072100249
64,1,83284,-0.0590118511384056,0.0548477965965326,0.282697749853061
65,1,83613,-0.0399241426248541,0.0548904856564493,0.467498725411157
66,1,84112,-0.0429956788536066,0.0548899720835684,0.433972285465508
68,1,84858,-0.020443601312589,0.0550819597175269,0.710749378270904
69,1,85751,-0.0433738914433608,0.055270960423953,0.43312642720059
70,1,87445,-0.0744170264114912,0.0552944141616907,0.179220222388327
71,1,87467,-0.0801617957366504,0.0555627311519525,0.149984393811376
72,1,89070,-0.0665714543663019,0.055264058714742,0.229162186259401
73,1,89616,-0.0700435247339305,0.0549533157211799,0.203289047602534
74,1,89679,-0.0656183562813441,0.0549757759868367,0.233441197697547
75,1,89880,-0.0682240864018344,0.0549807777446104,0.21547720496897
76,1,91472,-0.0633654485435562,0.0554070083649022,0.253549582836522
77,1,93789,-0.0646711236250533,0.0548297174349925,0.2389972788518
78,1,94351,-0.0660012960307962,0.0549701088771467,0.230681938818454
79,1,99148,-0.0511330199152646,0.0548702030664568,0.352030036186211
82,1,106800,-0.0784596361554696,0.0548530294726059,0.153497967465513
83,1,107970,-0.0793374888431865,0.0546859884304999,0.147728374304198
84,1,109000,-0.0833718034176317,0.0547659631484862,0.128821989665926
85,1,112549,-0.0209447022915212,0.0548719202725744,0.702912340244818
86,1,112742,-0.0193715319239805,0.0550874201883958,0.725310020860326
87,1,113050,-0.0105393545103556,0.0550015185812197,0.848150567284898
88,1,113135,-0.018204730352316,0.0548557232016424,0.740187659219315
89,1,114076,-0.00889705192572451,0.0548622362873753,0.871264151754796
90,1,114628,0.00313073453168136,0.0550028245007733,0.954641506704472
91,1,116283,-0.00871428946191111,0.0553070536085218,0.874892042805624
93,1,127853,-0.010636521248164,0.0552031164239241,0.847320606879588
94,1,128302,-0.0176188152168089,0.0549859686505169,0.748836645341472
95,1,128704,-0.000838447654221863,0.0550486888414552,0.987856479125013
96,1,128911,-0.00220881447419619,0.0550546739986324,0.968019834657587
97,1,130267,-0.0287125757537439,0.0550074783274688,0.602014510750507
98,1,130271,-0.0263136702884686,0.0550762102608972,0.63311079395512
99,1,130613,-0.0107087708464441,0.0556059440983124,0.847396146200551
100,1,132012,0.0148410050935149,0.0554852074625855,0.789258291440934
101,1,133231,-0.0355718417533398,0.0550645288201252,0.518697246345067
102,1,137074,-0.0225946448148552,0.0550055640906141,0.68149030077524
103,1,137304,-0.0195934635432096,0.055027951469478,0.722005460845614
104,1,139686,-0.0126600296669441,0.0551060410203541,0.818427327597853
105,1,149562,-0.0170059980114749,0.0552284688512348,0.758324153279244
106,1,150447,-0.0245649499926118,0.0558332697504624,0.660228267255006
108,1,154084,-0.00334590285453495,0.0560208361748784,0.952407627294429
110,1,157269,-0.0193583513990736,0.0549947280333914,0.725045480116198
111,1,160054,-0.0315618256832436,0.0555015488378635,0.56994464161612
112,1,166222,-0.0229381207641716,0.055102750229946,0.677458798423406
113,1,166416,-0.0134467348733642,0.0549997226528071,0.806995467696886
114,1,167326,-0.0271538480410402,0.0552980606202777,0.623699604726176
115,1,168836,0.0125425759976261,0.0550507519952107,0.819905183669368
116,1,171200,-0.0320198249203383,0.0551109033375751,0.561606444578067
117,1,171431,-0.0288491039771496,0.0554602211741724,0.60326662812538
118,1,173339,-0.0290206495494044,0.0550283383901572,0.598263487750682
119,1,173845,-0.0317720550706023,0.0549783779706947,0.563699465771197
120,1,175121,-0.0498759695618919,0.0548310966316328,0.363638718227088
121,1,175281,-0.0488261403876465,0.0548804855409751,0.374242953884874
122,1,175315,-0.0392279950996585,0.0548849863544665,0.475247738017612
123,1,175523,-0.0516297186802058,0.0551674876461519,0.349978777054252
124,1,175541,-0.044149267039099,0.0549602463423501,0.422345054303349
125,1,175653,-0.0548143339469373,0.0551073541469792,0.320571925912278
128,1,175856,-0.0617539941316202,0.0559991811019279,0.270880030749513
129,1,175876,-0.0494201131417761,0.0551732200908497,0.371009264657558
130,1,175989,-0.0530475864546623,0.0553214796015066,0.33826706249252
131,1,176001,-0.0538353380257844,0.0556083463964166,0.333649187770935
133,1,177692,-0.021909081124166,0.054912304989035,0.690146916064015
134,1,178191,-0.024532647190211,0.054963713024646,0.655623452756323
135,1,178224,-0.021909081124166,0.054912304989035,0.690146916064015
136,1,178960,-0.0195471887454477,0.0553535836311799,0.724199357235843
140,1,183802,-0.0438088464990734,0.0548820913281805,0.425270380021229
141,1,183954,-0.0547058383460234,0.0552548552295416,0.322821026693398
142,1,184450,-0.0605722326163344,0.0547522237357508,0.269351253791326
144,1,184718,-0.049397915171884,0.0550959871807614,0.370554532047448
145,1,185296,-0.0385100807502671,0.0548864266176874,0.483370916385254
146,1,185438,-0.0654755941779623,0.0548166150120796,0.233104745336962
147,1,185469,-0.0641974325380966,0.0549003222804343,0.243053523077062
148,1,185503,-0.0768893182788756,0.054711437836465,0.160793434425797
149,1,185705,-0.0769547464077586,0.0553260584706871,0.165122374652412
150,1,185749,-0.0802530457967824,0.0553127820250395,0.147697093559138
151,1,185806,-0.0639865612758271,0.0554470494051918,0.249275939238128
152,1,185879,-0.0831095671109841,0.0556444276583941,0.136177937272694
