SNP,Chr,Pos,Effect,SE,SSH1_ORM2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0234344551030881,0.0688380211147166,0.733736019174465
9,1,27272,-0.0192642016155684,0.0678076079171099,0.77649963690016
16,1,27843,-0.0786694432723598,0.0660782942394248,0.234630697126966
17,1,27848,-0.0786694432723598,0.0660782942394248,0.234630697126966
18,1,28495,-0.0802065030052308,0.0660741337217561,0.225602560852227
19,1,28975,-0.0733483798838154,0.0656533399688031,0.264665581079528
26,1,31435,-0.0622393335500618,0.0655113521740227,0.342734717594619
29,1,36146,-0.0435131000530266,0.0652157076853727,0.505068749470041
31,1,37409,0.0114983420839432,0.0656067976314992,0.860974691575087
32,1,37478,-0.000804563873974984,0.065666038705479,0.990231198136312
33,1,39144,-0.0717237035386694,0.0652548344504892,0.272459370333543
34,1,41499,-0.0562047672284812,0.0651164111531168,0.388644958316683
37,1,51248,-0.0279362817773625,0.065445659188527,0.669739878599309
38,1,51462,-0.0138188583479904,0.0655471892067232,0.833146997735402
39,1,52124,-0.0661765831833233,0.0653677222353691,0.312052661995305
40,1,52667,-0.0685818950375882,0.0652556219736645,0.293989936699542
42,1,59265,0.014323169738024,0.0653202153987895,0.826561620550777
43,1,60165,0.0247896903464284,0.0652619639145563,0.704285948898484
44,1,62308,0.0539786709870806,0.0651401858982367,0.40786019194142
45,1,62869,0.0322180276121126,0.0651727667398233,0.621367916323568
49,1,66841,0.0922314095838033,0.0650410581628271,0.157058605097207
50,1,66948,0.0548823506152996,0.0655613055701899,0.403094309481878
51,1,68621,0.138175675237025,0.0650340540798939,0.0343088737926536
52,1,69417,0.101973462948781,0.0650492663672269,0.117862439806058
56,1,74327,0.0364116924079255,0.06560556069961,0.579239847943784
57,1,74572,0.0613267300738026,0.0653780081824903,0.348868796023556
58,1,75211,0.0442117659299927,0.0652977260904106,0.498798839060422
59,1,76030,0.029864032082514,0.0653207765847697,0.647815428561159
60,1,80108,0.00590724465393605,0.0653239072345164,0.927996761515268
61,1,81262,-0.0291057507237656,0.0652815898999675,0.655979441648929
62,1,81999,-0.0478671530108082,0.0654098419190193,0.46477403958368
63,1,82431,-0.0572194932516437,0.0656987580700666,0.384380341249056
64,1,83284,-0.0382361385242034,0.0652589895921129,0.55830790361492
65,1,83613,-0.0333887394633217,0.0652593276354606,0.609228703747003
66,1,84112,-0.0259919816000716,0.0652760563960329,0.690734140029098
68,1,84858,-0.0320830508141784,0.0654527134710362,0.624317102040758
69,1,85751,-0.00162261274567335,0.0657440473003448,0.980323551169417
70,1,87445,0.00574396147686407,0.0658823731513511,0.930573815047548
71,1,87467,-0.0106126913558851,0.0662255745628011,0.87277529293581
72,1,89070,-0.0132353140989983,0.065809713026467,0.840724560397586
73,1,89616,-0.00671936527756109,0.0654584627827031,0.918298390148647
74,1,89679,0.0212958357755105,0.0654579163107082,0.745119310244441
75,1,89880,-0.00491473011693949,0.0654837945916408,0.940215362117233
76,1,91472,0.00856995308364933,0.0659688159712379,0.896712295008485
77,1,93789,0.018992273364138,0.0652828885734057,0.77128130313182
78,1,94351,-0.00528510418356311,0.0654619434833613,0.935698039651493
79,1,99148,-0.00109471555897464,0.0652906882861317,0.986632132696431
82,1,106800,-0.0386213621611925,0.0653464602052055,0.554882208330668
83,1,107970,-0.0654484797567192,0.0650919455135911,0.315355752920562
84,1,109000,-0.0601443314587222,0.0652214565854116,0.35707724715694
85,1,112549,-0.025235164440791,0.0652122178188961,0.699011683677884
86,1,112742,-0.0602543814470727,0.0654015868083393,0.357523826021388
87,1,113050,-0.0731458701527509,0.065253979371816,0.263074909543
88,1,113135,-0.045980746475677,0.0651575674835403,0.480849208426591
89,1,114076,-0.0396588921617582,0.0651693356967577,0.543213190584086
90,1,114628,0.0175262803417635,0.0653618087209222,0.788746235628604
91,1,116283,-0.0215657438441799,0.0657220150730525,0.743003557188625
93,1,127853,0.0353551393147771,0.0655826607996271,0.590162663505965
94,1,128302,0.0575065624255867,0.0652859265797903,0.379002857244231
95,1,128704,0.0200335094249721,0.065414004204221,0.759589376526858
96,1,128911,0.0402166862563541,0.0653949122112599,0.538962909665741
97,1,130267,0.00120537709881219,0.0653988884439345,0.985305310999871
98,1,130271,0.00018259901551787,0.0654765391366417,0.997776461574303
99,1,130613,0.00912911442804676,0.0660866284436405,0.890209642989872
100,1,132012,0.0184518769457643,0.0659408224447445,0.779775824512037
101,1,133231,-0.017338559185963,0.0654736655857183,0.791304770771362
102,1,137074,0.0206846487863212,0.0653777736275241,0.751896122957796
103,1,137304,0.00389654899142794,0.0654094413051097,0.952530500354288
104,1,139686,-0.0172825997700942,0.065489268800261,0.792011182444405
105,1,149562,0.0281061840568397,0.0656280993771295,0.668719757703575
106,1,150447,0.00611960137044543,0.0663725002980373,0.926590759273312
108,1,154084,0.00818670964717449,0.0665769325443091,0.902203875309147
110,1,157269,0.0505888111982501,0.0653145358665929,0.439129174385108
111,1,160054,0.0215130951008811,0.0659811461086454,0.744580388414399
112,1,166222,0.0288399830179322,0.0654850056300091,0.65991270633539
113,1,166416,0.0295329974228749,0.0653511110639083,0.651609418530773
114,1,167326,0.00834561204555928,0.0657399796995165,0.899053196685321
115,1,168836,0.0322551188129369,0.0654074083978698,0.622219118618913
116,1,171200,0.00508413509764871,0.0655273619464284,0.938199769439686
117,1,171431,-0.014708919031635,0.0659323674861735,0.823593705165715
118,1,173339,0.0312945224500481,0.0654030391589246,0.632599638982338
119,1,173845,0.0411767908537014,0.0653332636324638,0.528933780948701
120,1,175121,0.0603728171474695,0.0651612200319522,0.354811654025914
121,1,175281,0.0526630206059704,0.0652356651659,0.420052557445628
122,1,175315,0.0616961514129476,0.0651926511419548,0.344608954076985
123,1,175523,0.052786630208438,0.0655849960258281,0.421443190670786
124,1,175541,0.0573416846054563,0.0653059592330589,0.380515583090859
125,1,175653,0.0505866661296721,0.0655288199909978,0.440645231037635
128,1,175856,0.0255120452070511,0.0666529945665676,0.702128701005712
129,1,175876,0.0425842155935556,0.0656060066931349,0.516702157501446
130,1,175989,0.0442246139588434,0.0657903487423716,0.501892805491253
131,1,176001,0.0361288700182851,0.0661475300338771,0.585282954796576
133,1,177692,0.0626879854007495,0.065189970680491,0.336898704757366
134,1,178191,0.0601776250391032,0.0652615629442787,0.357106700980694
135,1,178224,0.0626879854007495,0.065189970680491,0.336898704757366
136,1,178960,0.0740572351149734,0.0656784712557629,0.260266358209935
140,1,183802,0.0901721111552531,0.0651068653669952,0.166931329069875
141,1,183954,0.0951756711059651,0.0655633959683549,0.147484686778929
142,1,184450,0.112522424542081,0.0649073303169671,0.0838647608061209
144,1,184718,0.109751705925223,0.0652926085048119,0.0936628348843067
145,1,185296,0.109583809745986,0.0650141990611502,0.0927687900509257
146,1,185438,0.110495797580336,0.0650129206910703,0.0900875904011318
147,1,185469,0.110546895672181,0.0651072689370772,0.090404246992641
148,1,185503,0.0941917360590464,0.0650104955970887,0.148261691370624
149,1,185705,0.0949009865688497,0.0657384851744526,0.149734494981728
150,1,185749,0.102245715307863,0.0657072787524868,0.120585374762869
151,1,185806,0.101571088177261,0.0657985774798791,0.123565010825901
152,1,185879,0.0970128118068739,0.0661380541176527,0.143314542222509
153,1,185916,0.0972357665643699,0.0661068624569057,0.142212328673299
154,1,185941,0.0815689612445861,0.0664563274682136,0.220487552972626
155,1,185954,0.0901400320117028,0.0666199522971184,0.176906008124116
156,1,186055,0.103353942126302,0.06522788915903,0.113974173803465
157,1,186896,0.101118467683828,0.0663145867339785,0.128196911408061
161,1,190132,0.0384974806110606,0.0655104382147561,0.557140177213023
162,1,190148,0.0431440550425757,0.0655220149200452,0.510667611593149
163,1,190165,0.0350293191341462,0.0660397248379355,0.596148727641168
164,1,190169,0.0375411268128778,0.065953391747531,0.569577722628579
165,1,190933,-0.0735994878212948,0.0653312280586494,0.260694199985903
166,1,192149,0.000559635282694759,0.0659836453191585,0.993237674853257
168,1,192303,-0.0910797709175375,0.0785129126733446,0.246807949154074
171,1,192795,-0.025818369270582,0.0653102086820721,0.692846230118519
173,1,194187,-0.0182000831227668,0.0653716071305245,0.780860960310519
174,1,194867,-0.0186264709220095,0.0653356830815547,0.775743306592911
190,2,8314,-0.123633293087606,0.0661229480419623,0.0623463317999648
194,2,8498,-0.112716690629355,0.0660804771957558,0.0889345075048251
195,2,8651,-0.11023970583089,0.0661546837051429,0.0965221735450866
197,2,9812,-0.0934486865885158,0.0666235965918626,0.161604122688779
198,2,9932,-0.105646376400726,0.0663076907082693,0.111993525361386
199,2,10135,-0.0990080068812591,0.0660810534947308,0.134953864122885
200,2,11616,-0.103591964631721,0.0659905370246941,0.11735747813011
201,2,12133,-0.102966055071291,0.0662574705032788,0.121073473836323
202,2,12194,-0.105982862633249,0.066502006149744,0.11190286756255
203,2,12359,-0.099206814706692,0.0663358640384065,0.135671431508526
204,2,13061,-0.102869618574509,0.0663151439111968,0.121744153045034
205,2,14298,-0.0965799003227708,0.0665524755412134,0.147616650631479
206,2,15222,-0.116412535621574,0.0671162219685617,0.0837037886943948
207,2,17986,-0.12951932337244,0.0658606808127365,0.050016431043738
208,2,19770,-0.107658254259102,0.0664316521541853,0.105999201056412
209,2,19836,-0.114923559662492,0.0662131970995661,0.0834967027177859
210,2,19851,-0.111554280086317,0.066424985232583,0.0939584594704342
211,2,21595,-0.121814207850723,0.0660971510047179,0.0661735511067842
212,2,22385,-0.138729989221025,0.0660658717147422,0.0364492824938629
213,2,23441,-0.16148166715152,0.0665703438666208,0.015778308633707
214,2,24209,-0.137298887313919,0.0661678721088304,0.0387097248268747
215,2,24341,-0.148435415868461,0.0662582965649978,0.0256961317396002
216,2,26815,-0.12100545541236,0.0663357656549348,0.0689768009911719
217,2,28209,-0.175917469588701,0.0660093542435993,0.00805148557771236
221,2,41245,-0.113659854313427,0.0661382858618822,0.0865789104974292
222,2,43214,-0.0743551694462374,0.0673750080580085,0.270517723547328
223,2,47104,-0.0955694120484201,0.0654121736356284,0.144895619890665
224,2,50915,-0.0643379983437302,0.0661657310045208,0.331529124910781
