SNP,Chr,Pos,Effect,SE,PMC1_CTR2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0170070663432507,0.17140544447264,0.921018906217273
9,1,27272,-0.0164282686575601,0.168831413627794,0.922538807240576
16,1,27843,0.132939186970223,0.164687083537971,0.420081631255857
17,1,27848,0.132939186970223,0.164687083537971,0.420081631255857
18,1,28495,0.138145884702656,0.164677615214459,0.402100522638503
19,1,28975,0.131585004241667,0.163589961026657,0.421731229924565
26,1,31435,0.0269472626908314,0.163299686655216,0.869024873422741
29,1,36146,-0.130397758102253,0.162315598419604,0.422307651268087
31,1,37409,-0.060936407584545,0.163310127332138,0.709273376038995
32,1,37478,-0.067907671679627,0.163442786744628,0.678040919557104
33,1,39144,0.0720965851430052,0.162691484298829,0.657929347266001
34,1,41499,-0.00480979343322094,0.162285134846755,0.976372573829712
37,1,51248,-0.0548485596343673,0.162949950583305,0.736620290250293
38,1,51462,-0.0593308976529717,0.163166540166123,0.716358179234224
39,1,52124,-0.0259716628335537,0.162970236030987,0.873472883483676
40,1,52667,-0.105384275391849,0.162618202382142,0.517375687395615
42,1,59265,0.00557061815355656,0.16263255108108,0.972694932981843
43,1,60165,-0.0146447408917764,0.162508055683342,0.9282453382539
44,1,62308,-0.0755566204031964,0.16228137936528,0.64179597585302
45,1,62869,-0.0527663063385426,0.162286511968576,0.745265544925075
49,1,66841,0.105247100111941,0.162290658849284,0.517076840802817
50,1,66948,0.0516129047259715,0.163360801173061,0.752231551087925
51,1,68621,-0.167980455802636,0.162695810290656,0.302553336279478
52,1,69417,-0.114123584961541,0.162396366927507,0.482676503531716
56,1,74327,0.00588109113006446,0.16340309258891,0.971309632881658
57,1,74572,0.0437681100514308,0.162951709896572,0.788397811182484
58,1,75211,0.0606303114039105,0.162639272124244,0.70952840209426
59,1,76030,0.107267580779996,0.162571063496315,0.509799837044985
60,1,80108,-0.00110829477827332,0.162632810650962,0.994566542975751
61,1,81262,-0.0363579191680472,0.162559820660323,0.82315225977266
62,1,81999,-0.117396330470046,0.16284853182154,0.471452623311864
63,1,82431,-0.167004639994019,0.163498364483045,0.30774300532857
64,1,83284,-0.114009575230289,0.162434995736881,0.483217653277175
65,1,83613,-0.0994817614954679,0.162444117749836,0.540663419239064
66,1,84112,-0.130774142799203,0.162399207654183,0.421209743395818
68,1,84858,0.0226847767022944,0.16300258982163,0.88939660048916
69,1,85751,-0.0863121358096151,0.163612581268261,0.598150248649668
70,1,87445,-0.0906726222302397,0.163952052087468,0.580583661705637
71,1,87467,-0.143876343225724,0.164703808579119,0.382959437977021
72,1,89070,-0.0970306854827788,0.163768380384703,0.553903652331982
73,1,89616,-0.0252276720820047,0.162962828854973,0.8770625013013
74,1,89679,-0.050909006309392,0.16296647300547,0.754929021854774
75,1,89880,-0.0333945836391781,0.163020605942968,0.837808284178797
76,1,91472,-0.0245321057931861,0.164235243327522,0.88134560272632
77,1,93789,-0.0499101743245763,0.162526592160293,0.758956493699088
78,1,94351,-0.0928596416497037,0.162901139217645,0.569015359965007
79,1,99148,-0.0387543748003042,0.162535212215832,0.811680685623539
82,1,106800,-0.120607667534565,0.162640926197447,0.458848286467685
83,1,107970,-0.0405080693922439,0.162271014280407,0.803016998967586
84,1,109000,-0.048994454669596,0.16255042259808,0.763278725962264
85,1,112549,-0.225010510087599,0.16194508458491,0.165579373126307
86,1,112742,-0.187720209459768,0.162713499986254,0.249409638578806
87,1,113050,-0.151402545265979,0.162546094975485,0.352260650231368
88,1,113135,-0.181906129966325,0.162042214903972,0.262376816004068
89,1,114076,-0.0608131144202993,0.162298927133724,0.708109938309257
90,1,114628,0.0125761149048652,0.162740492329882,0.938446881593657
91,1,116283,0.039603926098514,0.163633446184605,0.808898772911741
93,1,127853,0.0329035284385541,0.163332941638337,0.840462240670273
94,1,128302,0.0696735234029473,0.162672644361501,0.668690217155244
95,1,128704,0.084127622601009,0.162815318461287,0.605685090250452
96,1,128911,0.168135323136958,0.162648905339141,0.301969298907907
97,1,130267,0.100221844717038,0.162730285028689,0.538372582175383
98,1,130271,0.100433247313549,0.162923263168267,0.53799812325081
99,1,130613,0.226165907626493,0.164093325581034,0.16899099156563
100,1,132012,-0.152262137497539,0.163984892257643,0.353775880007194
101,1,133231,-0.180127010063188,0.162737812594336,0.269110715942815
102,1,137074,-0.0571660918667636,0.162759682636134,0.725625302110383
103,1,137304,-0.121086430917163,0.16271712242442,0.457278994811619
104,1,139686,-0.0500357691751204,0.163036956490752,0.759101718572883
105,1,149562,-0.0560547561558115,0.163403462994476,0.731768734517009
106,1,150447,-0.0173857446178897,0.165240922245205,0.916265346890153
108,1,154084,-0.039216520370684,0.165740886886652,0.813093938754248
110,1,157269,-0.0821047503347651,0.162687040203542,0.614099129194954
111,1,160054,0.0035888410911451,0.164291827029706,0.982584493017168
112,1,166222,0.0091773562068409,0.163076061113997,0.955153348201169
113,1,166416,0.00634932081302153,0.162745370755566,0.968901414012465
114,1,167326,-0.038956768591479,0.163657396720297,0.811989308313518
115,1,168836,-0.0510873278033124,0.162872208842356,0.753960675510634
116,1,171200,-0.135335518119261,0.162979750007456,0.406883851372884
117,1,171431,-0.207783022329792,0.163784387953536,0.205406313879995
118,1,173339,-0.13133053509535,0.162730683030488,0.42018557187091
119,1,173845,-0.128488180999622,0.162601972921558,0.429941119303428
120,1,175121,-0.124788971093503,0.162287184871011,0.442443589559263
121,1,175281,-0.118291736243803,0.162439128665522,0.466960525228406
122,1,175315,-0.121079301472756,0.162382096973381,0.456378464995989
123,1,175523,-0.104601455545543,0.163335842064846,0.522323350516147
124,1,175541,-0.120022270949728,0.16263829570054,0.461022647934357
125,1,175653,-0.138714897381027,0.163111735461617,0.395663255053117
128,1,175856,-0.13046189074339,0.165828960060103,0.431970345520104
129,1,175876,-0.116088818150354,0.16331385604798,0.477657346499193
130,1,175989,-0.115419940453689,0.163781822496709,0.481450651943109
