SNP,Chr,Pos,Effect,SE,MID2_PIN2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.0426786967579944,0.0597467000632402,0.475496917707645
9,1,27272,-0.0833126147461374,0.0587247809781485,0.15686993571418
16,1,27843,-0.00983122857363175,0.057496172664541,0.864330170699782
17,1,27848,-0.00983122857363175,0.057496172664541,0.864330170699782
18,1,28495,0.0143681576550093,0.0574943989671391,0.802805916567263
19,1,28975,-0.0254838293196458,0.0570990258049084,0.655647449392609
26,1,31435,-0.0317258875844171,0.0569387750646202,0.577748680312659
29,1,36146,-0.0416421077377061,0.0566267206663912,0.462596936784952
31,1,37409,-0.00250898185737519,0.056976329680027,0.964900995270219
32,1,37478,-0.0247772918594679,0.0570102146586991,0.664110037550704
33,1,39144,-0.0936909989196301,0.0565457870254064,0.0984271597930704
34,1,41499,-0.053049087034982,0.0565373291173531,0.348730795916027
37,1,51248,-0.048551809652699,0.0567899747787049,0.393166288444419
38,1,51462,-0.0446012956870214,0.0568763071540893,0.433460041267013
39,1,52124,-0.028472064367889,0.0568285367970272,0.616671406524852
40,1,52667,-0.085550647202437,0.0565746868328816,0.131384866659749
42,1,59265,-0.0199264878602448,0.0567190829463949,0.725558684792884
43,1,60165,-0.0159434854332779,0.0566797776283493,0.778652374222957
44,1,62308,0.0103613043551642,0.0566211016650306,0.854908024272168
45,1,62869,0.00195394567728981,0.0566165799592102,0.972488460582764
49,1,66841,0.0157723334854497,0.0566371373537269,0.780806652693091
50,1,66948,0.00331226007217769,0.0569907127212367,0.953686490117699
51,1,68621,0.0447281264229894,0.0567867163174335,0.431429296683448
52,1,69417,0.00349044205641533,0.0566858251850776,0.950935960383477
56,1,74327,-0.0677672973178738,0.056883547053952,0.234322924278536
57,1,74572,-0.076450073409098,0.0567002224038888,0.178419793993207
58,1,75211,-0.0521380237004704,0.0566745162380027,0.358224321312031
59,1,76030,-0.0114312510195469,0.0567391521416737,0.840446935668354
60,1,80108,-0.0273486554059829,0.0567103197372638,0.629925945270259
61,1,81262,-0.0621074605209094,0.0566111217732746,0.273350142501902
62,1,81999,-0.0745428850685323,0.0567074157882478,0.189525573454159
63,1,82431,-0.0628986625411799,0.0570169360507524,0.270710237642184
64,1,83284,-0.0687584284298432,0.0565812873632153,0.225096257771993
65,1,83613,-0.0581504060583694,0.0566087215361422,0.305013637021269
66,1,84112,-0.0460347190002118,0.0566465503989946,0.416957373633714
68,1,84858,-0.0276809866760997,0.0568404479902899,0.626564466118718
69,1,85751,-0.0696590642070244,0.0569727361406737,0.222268663543301
70,1,87445,-0.0745167315733875,0.057076304283157,0.192551325382136
71,1,87467,-0.083925488548017,0.0573397271534914,0.144178543960867
72,1,89070,-0.0576541686319221,0.057071058546567,0.313083152618259
73,1,89616,-0.0512007380145772,0.0567806816636397,0.367816135414293
74,1,89679,-0.0365162138663276,0.0568200073633354,0.520858869064911
75,1,89880,-0.0495379592792204,0.0568064871790286,0.383775162499695
76,1,91472,-0.0303747582894054,0.0572669439041823,0.596163627071133
77,1,93789,-0.0313323702178354,0.0566749855684842,0.580720820512209
78,1,94351,-0.0310811742016306,0.0568246638516712,0.584747504260371
79,1,99148,-0.0289011461653338,0.0566786453323091,0.610431464377932
82,1,106800,-0.0351762476668561,0.0567451186920003,0.535724157650342
83,1,107970,-0.0380486460933933,0.0565715538588641,0.501657349256844
84,1,109000,-0.0556861677437397,0.0566300436930895,0.326117252845411
85,1,112549,-0.0138493407192977,0.0566385618974854,0.806969094864367
86,1,112742,-0.0127897489193602,0.0568599662256572,0.82216064346398
87,1,113050,-0.00642120282230185,0.056767350559546,0.910004186245015
88,1,113135,-0.0210134651880645,0.0566127404900845,0.710726816975771
