SNP,Chr,Pos,Effect,SE,HNM1_TPO2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.141185689090428,0.159100950330951,0.37546945914643
9,1,27272,-0.0341650239075368,0.156875775265434,0.827723294598226
16,1,27843,0.0256978928180514,0.153168221059919,0.86685588244525
17,1,27848,0.0256978928180514,0.153168221059919,0.86685588244525
18,1,28495,0.00885472846640573,0.153176082997819,0.953934661697832
19,1,28975,0.00462026628105758,0.152152710019475,0.97579233650308
26,1,31435,-0.000722436686559191,0.151749778548146,0.99620420657787
29,1,36146,-0.0982897859738357,0.150876628462583,0.515174764855664
31,1,37409,0.040662395767883,0.151768126070517,0.788913938117894
32,1,37478,0.0189963706088115,0.151910671069038,0.90055545592087
33,1,39144,0.0748740760169296,0.15116829364012,0.620694584034559
34,1,41499,0.00912881046938359,0.150800577635766,0.951763283463914
37,1,51248,-0.117086847384226,0.151314964903113,0.43956959799522
38,1,51462,-0.121612937716414,0.151510397198067,0.422705240462976
39,1,52124,-0.171975253618842,0.151166371856722,0.256035951613475
40,1,52667,-0.162052546960489,0.150954321770288,0.283770972830026
42,1,59265,0.00882428230428034,0.151123525699874,0.953470072886555
43,1,60165,0.0429189939076301,0.150992777035285,0.776389028967825
44,1,62308,-0.101887145390698,0.150746468288098,0.499556761321378
45,1,62869,-0.117558907516656,0.150695188787834,0.435848558720564
49,1,66841,0.0269974083942616,0.150889272806736,0.858101605488145
50,1,66948,-0.0396631461474009,0.151807504367535,0.79403463803036
51,1,68621,-0.146488149498538,0.15121001464515,0.333321843639993
52,1,69417,-0.139949333526523,0.150826234661456,0.354101457948575
56,1,74327,-0.158711902363035,0.151605137688937,0.295872680070576
57,1,74572,-0.158313825452505,0.15120144393474,0.295797925162379
58,1,75211,-0.12092885534431,0.151022903101185,0.423825464109865
59,1,76030,-0.171837271953909,0.150883052598544,0.255526644625628
60,1,80108,-0.116082952121159,0.150997904263397,0.442542738175242
61,1,81262,-0.0947540367351781,0.150982917538938,0.530684088332841
62,1,81999,-0.10143717182676,0.151339778910015,0.503129579535939
63,1,82431,-0.0935702585657567,0.152071380689451,0.538749881358165
64,1,83284,-0.0494931544696165,0.151022742818772,0.743317751991212
65,1,83613,-0.0341259068802556,0.151018148713322,0.821353803743948
66,1,84112,-0.0482310272585713,0.151023899611823,0.749642273075223
68,1,84858,0.0412620506500509,0.151456091225059,0.785446291351914
69,1,85751,0.00661399272446737,0.152094194976863,0.965338582973867
70,1,87445,-0.0193403796041809,0.152412643590934,0.899095871882527
71,1,87467,-0.0348978000507697,0.153202765869582,0.819942690274263
72,1,89070,-0.0288190276836702,0.152247379770401,0.849973697727943
73,1,89616,-0.000240695387709107,0.151436050006255,0.998732725197963
74,1,89679,-0.0353899358379886,0.151443513735585,0.815365718638707
75,1,89880,-0.0394106817927286,0.151479079753287,0.79488244990968
76,1,91472,-0.00106054385631749,0.152618096120602,0.994459466518049
77,1,93789,-0.0273773894058259,0.15103868662054,0.856266922378134
78,1,94351,-0.0753986547879711,0.151390060894322,0.618764358850892
79,1,99148,-0.0283366317744726,0.151038185432524,0.851288321983552
82,1,106800,-0.168915973643505,0.150982018185492,0.263993858811731
83,1,107970,-0.127749560499824,0.150647994141031,0.39701236314957
84,1,109000,-0.10333228688588,0.150966975506462,0.494127884466259
85,1,112549,-0.218436026943549,0.15044756370542,0.147415361218944
86,1,112742,-0.209029969633066,0.151074903164781,0.167349727105462
87,1,113050,-0.211987723573632,0.150807676983527,0.160697936936531
88,1,113135,-0.20486686704289,0.150449357575142,0.174161041310435
89,1,114076,-0.133983093376921,0.150675318434797,0.374491888005764
90,1,114628,-0.0624893553083551,0.151189007171601,0.679623555813924
91,1,116283,-0.107860555507105,0.151958284630211,0.478294460783629
93,1,127853,0.0718107774906149,0.151735426208148,0.636318010227843
94,1,128302,0.110442929450362,0.1510862233462,0.465268517910042
95,1,128704,0.112753936605633,0.151232015083313,0.456423831516677
96,1,128911,0.196755741826035,0.151005101273526,0.193432885719479
