SNP,Chr,Pos,Effect,SE,noPPI_reference_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.103632867483437,0.153413523349796,0.499791999229487
9,1,27272,0.058194841362888,0.151175509800908,0.700507128453972
16,1,27843,-0.0497802790026115,0.14760584244716,0.736127818688371
17,1,27848,-0.0497802790026115,0.14760584244716,0.736127818688371
18,1,28495,-0.00597403032448332,0.147631668215944,0.967744666532675
19,1,28975,0.0264358695945658,0.146638424817241,0.85703677056784
26,1,31435,-0.0565723377573045,0.146225644401375,0.699075333994288
29,1,36146,-0.212718256023714,0.145061324450355,0.143428973603126
31,1,37409,-0.131248161490604,0.146122307983791,0.369687131926783
32,1,37478,-0.109993084405041,0.146297860511618,0.452646213717585
33,1,39144,0.0671974929483285,0.145702930124988,0.644942595575711
34,1,41499,0.0719527802867019,0.145292088037397,0.620746969117638
37,1,51248,0.0929794461226626,0.145877278096448,0.524289693502727
38,1,51462,0.081053570559361,0.146095440187151,0.579383661240832
39,1,52124,0.124314582932461,0.145811150082086,0.394474472063864
40,1,52667,0.154544721885832,0.145494941849874,0.288871053342237
42,1,59265,0.0675052171126912,0.145609436323313,0.643216720795033
43,1,60165,-0.0235721379463208,0.145538284345408,0.871425920811637
44,1,62308,-0.0814842134259228,0.145318922812228,0.575339523392151
45,1,62869,-0.101329542731741,0.145265283959112,0.485918934309659
49,1,66841,-0.119018564786624,0.145295847912288,0.41325559446781
50,1,66948,-0.126056403249618,0.146172523015359,0.389063380261095
51,1,68621,-0.315305036009608,0.144961839846348,0.0302866291537452
52,1,69417,-0.194217212135859,0.14517613382051,0.18182155011623
56,1,74327,-0.221912771782846,0.145866467251912,0.12906928305065
57,1,74572,-0.213487611347805,0.14551128698216,0.143224241845663
58,1,75211,-0.215819533496657,0.145234650680064,0.138170125942083
59,1,76030,-0.106371520611798,0.145578155729833,0.465457326324063
60,1,80108,-0.0514083206208764,0.145628055113998,0.724290816980252
61,1,81262,-0.0925230626090457,0.145515390424399,0.525299174780281
62,1,81999,-0.0768697147038988,0.145896910855459,0.598609992048994
63,1,82431,-0.092490931791406,0.146562524119445,0.528404391416036
