SNP,Chr,Pos,Effect,SE,HUG1_ALO1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.116983045518207,0.0788122522758732,0.138614921016911
9,1,27272,-0.125938972832154,0.0775815168489529,0.105415456099197
16,1,27843,0.0375397310774929,0.0760018469237544,0.621661522184512
17,1,27848,0.0375397310774929,0.0760018469237544,0.621661522184512
18,1,28495,0.0760950306492747,0.0759213838724974,0.316891454632405
19,1,28975,0.0498008892639076,0.0754745941852558,0.509789053710207
26,1,31435,0.0736450776800049,0.0752189718134149,0.328213022453848
29,1,36146,0.0870467128944937,0.0747892805870565,0.245253476716641
31,1,37409,0.0425481442183998,0.0753037522396472,0.572418893310601
32,1,37478,0.0532817855208801,0.0753492114414187,0.479951430559366
33,1,39144,-0.0577735630277467,0.0749954647677735,0.441601178279268
34,1,41499,-0.0589381774294976,0.0747845194203333,0.431163224123683
37,1,51248,0.00691864769226821,0.0751679786498214,0.926716494226367
38,1,51462,0.00468561975624215,0.0752703971042746,0.950398579840063
39,1,52124,0.0180974786646723,0.075162708850194,0.809867457292591
40,1,52667,-0.0866358534092398,0.0749066178232956,0.248224150755166
42,1,59265,0.00713086019920334,0.0750095919676987,0.924316362620567
43,1,60165,-0.0517972917308334,0.0749031510988636,0.489691139298703
44,1,62308,0.0495608143618852,0.0748249535619697,0.508174800963618
45,1,62869,0.00710545095459311,0.0748610773568258,0.924436071654884
49,1,66841,0.0387904968342926,0.0748688525887235,0.604704275256987
50,1,66948,0.0433982913862355,0.0753215586354835,0.564865033190167
51,1,68621,0.0413127905689952,0.0751206497979091,0.582699729257049
52,1,69417,-0.0270194694932592,0.0749400717959521,0.718653250504308
56,1,74327,-0.0204856357890724,0.0753580723417325,0.785900932650875
57,1,74572,-0.0215315385790017,0.075156574863563,0.774671617763536
58,1,75211,-0.0400990774323719,0.0749979302493933,0.593215278247776
59,1,76030,0.017820001558368,0.075022296813588,0.812383908905487
60,1,80108,-0.0419055832116207,0.0749773846642435,0.576577771316032
61,1,81262,-0.022556862593816,0.0749725823848122,0.763692164619935
62,1,81999,-0.0266838510627426,0.0751518928817493,0.722752503236843
63,1,82431,-0.0103174047075663,0.0755191278576227,0.891409243757345
64,1,83284,-0.0236901600433772,0.074960964873054,0.752164022192111
65,1,83613,-0.0150239172607513,0.0749590423101624,0.841261009943232
66,1,84112,0.0390268847767086,0.074942787503458,0.602863445324368
68,1,84858,0.102490540452631,0.0749850020307262,0.172553503042154
69,1,85751,0.0364826102833078,0.0754672071861654,0.629094884471951
70,1,87445,0.0380769148188071,0.075624618718568,0.614927575161394
71,1,87467,-0.00224695454051338,0.0760477156427293,0.976445318538324
72,1,89070,0.0574868223508324,0.0755098847333847,0.446977116423536
73,1,89616,0.0502930660932242,0.0751176321645227,0.503598880892132
74,1,89679,0.0672715543272832,0.0750895136892401,0.370924797735477
75,1,89880,0.0623675000935112,0.0751205713270666,0.406968772808103
76,1,91472,0.10305823404842,0.0755531702469328,0.173421187884593
