SNP,Chr,Pos,Effect,SE,ERV25_ERG5_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0458316437432877,0.0587247924290825,0.435650269179523
9,1,27272,0.0497254063318082,0.0578322337330922,0.390470913598286
16,1,27843,0.00158375907327941,0.056522935279795,0.977662225061238
17,1,27848,0.00158375907327941,0.056522935279795,0.977662225061238
18,1,28495,0.00959628602482898,0.0565216056504756,0.865279747455408
19,1,28975,0.00804176975636439,0.0561444518508806,0.886187451064123
26,1,31435,-0.00322409133453938,0.0559970627695576,0.954118880831435
29,1,36146,-0.0375604936632396,0.0556726979826655,0.50032940749075
31,1,37409,-0.0102783225920062,0.0560071166481192,0.854496842317242
32,1,37478,-0.0135878909394063,0.0560532712886517,0.808603023061352
33,1,39144,-0.0839267770809621,0.0556230516319596,0.13223190561487
34,1,41499,-0.0973429049750501,0.0554056322052261,0.0797994938488019
37,1,51248,-0.0368094658101937,0.0558498556570741,0.510274748024461
38,1,51462,-0.0333873265984809,0.0559317654478691,0.550937036484667
39,1,52124,-0.0685773227751424,0.0557648832666052,0.219606644475194
40,1,52667,-0.0202194818277695,0.0557842665565113,0.717226332887921
42,1,59265,0.0293603939644704,0.0557445997413105,0.598736303833485
43,1,60165,0.0445954405541642,0.0556737840356412,0.423662761743305
44,1,62308,-0.00886657963849352,0.055661072959067,0.873526867519387
45,1,62869,-0.034914707543239,0.0556250496408313,0.530619686503046
49,1,66841,0.00511855240748404,0.0556816461391609,0.926809528673469
50,1,66948,-0.00183556238287486,0.0560239563759982,0.973881396851842
51,1,68621,-0.0181916230518547,0.0558638808892563,0.744888210297501
52,1,69417,-0.0216636967667297,0.0557124275559057,0.697622621673596
56,1,74327,-0.0338200784275959,0.0560018043628292,0.546291030919956
57,1,74572,-0.0248256556249023,0.0558659309641056,0.657040785106143
58,1,75211,0.00122169461115734,0.0557796498422612,0.982538379589191
59,1,76030,-0.00599268083095161,0.0557787758052464,0.914503672010133
60,1,80108,-0.0278933807387455,0.0557467338840578,0.617134101048944
61,1,81262,-0.0628194653395205,0.055645055502087,0.259693275515181
62,1,81999,-0.0892910534084241,0.0556790990878078,0.109680524287436
63,1,82431,-0.0709906962747832,0.0560188000915807,0.205895727183757
64,1,83284,-0.122790634875368,0.055353032575806,0.027168960041043
65,1,83613,-0.112180456851847,0.055410614019202,0.0436681531623085
66,1,84112,-0.0805201895183191,0.0555725106040795,0.148247306146288
68,1,84858,-0.0888596599153064,0.0556943723873247,0.111498176000081
69,1,85751,-0.0678781452278741,0.0560081676975201,0.226348614524241
70,1,87445,-0.0668161791237473,0.0561306668503593,0.234701477858537
71,1,87467,-0.0693563828474529,0.0564170061051224,0.219758496301402
72,1,89070,-0.0746124613841038,0.0560432714430073,0.183937388578027
73,1,89616,-0.0773641880963009,0.0557296409607142,0.165949958610627
74,1,89679,-0.0671341598163772,0.0557742898836488,0.229521483775458
75,1,89880,-0.0787953354938607,0.0557452578417486,0.15839306693503
76,1,91472,-0.0612278844133836,0.0562233810653395,0.276891901471205
77,1,93789,-0.00724059158776591,0.0557361846282872,0.896712990247805
78,1,94351,-0.0232080148690011,0.0558705549624682,0.678109520100863
79,1,99148,-0.00731332721643022,0.0557361577262401,0.89568129464565
82,1,106800,0.00605153111549492,0.0558117709973963,0.913718187881675
83,1,107970,-0.0115768015106739,0.0556439357832808,0.835308778343582
84,1,109000,0.015890533148895,0.0557390003156606,0.775743733458206
85,1,112549,-0.0252971771569599,0.055666031428772,0.649787528499324
86,1,112742,-0.0487640803517969,0.0558389639243329,0.383094102857647
87,1,113050,-0.0761914450035889,0.0556576731812034,0.171891663659233
88,1,113135,-0.0818097693016039,0.0554925028252772,0.141305781878272
89,1,114076,-0.0359495130228106,0.0556301775490432,0.518554692323992
90,1,114628,-0.0244136757383136,0.055788760687695,0.661937212286209
91,1,116283,0.0175874473842459,0.0561064584947926,0.75411205390765
93,1,127853,0.021119515804164,0.0559985074607851,0.70629302493956
94,1,128302,0.0325934241892282,0.0557676708229426,0.559290814330274
95,1,128704,0.0280981320789702,0.0558301592307275,0.615082199670782
96,1,128911,0.0417080018088617,0.0558122370483518,0.455385195405541
97,1,130267,-0.0131598241435525,0.0558254962829779,0.813777782723347
98,1,130271,-0.00917385637299617,0.0558940202203593,0.869723151676235
99,1,130613,0.0227104453525219,0.0564055493298062,0.687465727473454
