SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0334013661664176,0.143123349651375,0.815605742139435
9,1,27272,0.0114411261010916,0.140983521460198,0.935366885910117
16,1,27843,0.025365138407428,0.137642464306585,0.853897426723806
17,1,27848,0.025365138407428,0.137642464306585,0.853897426723806
18,1,28495,0.0179534434966301,0.137647997070545,0.896300440068844
19,1,28975,-0.00170346028867091,0.136731163542789,0.99006687900516
26,1,31435,-0.0690717152384994,0.136319364534613,0.612688395118894
29,1,36146,-0.117455475351284,0.13552163938398,0.38669969059181
31,1,37409,-0.109289402771836,0.136275187658865,0.42310650013223
32,1,37478,-0.097480991318346,0.136417902482902,0.475343204998454
33,1,39144,-0.0563341094065785,0.135860490263538,0.678652395036271
34,1,41499,-0.0896349644081785,0.135432631206459,0.508504474843416
37,1,51248,-0.208606447853523,0.135639787572016,0.124958066829918
38,1,51462,-0.191037010991635,0.135898150862271,0.160681885522464
39,1,52124,-0.163513458846039,0.135814901171129,0.229418125724895
40,1,52667,-0.243629838715565,0.135255181477578,0.0725150652991434
42,1,59265,0.0361058481915992,0.135793204039679,0.790480323227161
43,1,60165,0.0448992112488215,0.135683133206823,0.74090710281298
44,1,62308,-0.0258912182849776,0.135547926663943,0.848626362913092
45,1,62869,-0.0279251174615018,0.135529756610983,0.836875181988017
49,1,66841,0.106640417945337,0.135482943623445,0.431743720794719
50,1,66948,0.0779719324621322,0.136370856170939,0.567845829329758
51,1,68621,-0.0741134354385803,0.136007193279796,0.586150636933644
52,1,69417,-0.0297274217551608,0.135694952218363,0.826717949641405
56,1,74327,0.128791951870121,0.136277972899963,0.345270575725252
57,1,74572,0.109880289224466,0.135961269569172,0.41953502619666
58,1,75211,0.0999589855745035,0.135734692024198,0.461958671159832
59,1,76030,0.157392960952725,0.135580362955021,0.24647385376495
60,1,80108,0.0535976811297271,0.135776836316635,0.693267021382117
