SNP,Chr,Pos,Effect,SE,ERG11_ACF2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0244777128134364,0.153050809977222,0.873026162682081
9,1,27272,0.0211538594480731,0.150753591332539,0.888486589508931
16,1,27843,-0.0654178697132086,0.14714962472439,0.656905127143751
17,1,27848,-0.0654178697132086,0.14714962472439,0.656905127143751
18,1,28495,-0.05737203633738,0.147161517986028,0.69687696311577
19,1,28975,-0.00638563784426602,0.146208898484306,0.965188356655056
26,1,31435,-0.0808325536803557,0.145758435252721,0.579543288422956
29,1,36146,-0.177853286902943,0.144760821335659,0.220039895266237
31,1,37409,-0.117852157816014,0.145719425986455,0.419197495227525
32,1,37478,-0.114476125903157,0.145852541559682,0.433052828095299
33,1,39144,-0.0235947357037164,0.145308182349754,0.871101732153962
34,1,41499,-0.0302074366568535,0.144901621855692,0.834983339572001
37,1,51248,-0.171787890622024,0.14523982981127,0.237689297128792
38,1,51462,-0.180939933814995,0.145406113228218,0.214186652171639
39,1,52124,-0.138933531531621,0.145339353162575,0.339764272941456
40,1,52667,-0.236298519423164,0.144748758342222,0.103471427885323
42,1,59265,0.053247373438971,0.145193166088468,0.714036640771914
43,1,60165,0.00164575551749748,0.145111057919439,0.990957511548324
44,1,62308,-0.0784640394146604,0.144891320471293,0.588478985072302
45,1,62869,-0.0686956930193107,0.144887161386158,0.635698653693512
49,1,66841,-0.03881755414344,0.144986874321129,0.789062362817132
50,1,66948,-0.05126453862242,0.145865968613622,0.725460745068047
51,1,68621,-0.194430108796891,0.145127776823384,0.181199277837323
52,1,69417,-0.0556814384243951,0.145080817947396,0.701360707915025
56,1,74327,0.0212565882274774,0.145904507852209,0.884250566547498
57,1,74572,-0.0194633432989299,0.145516750934613,0.893673889331872
58,1,75211,0.0632305873475952,0.145216175372638,0.663520908794973
59,1,76030,0.0601465683398514,0.145219886676851,0.678996882929254
60,1,80108,0.00823287600481867,0.145220161924988,0.954822322738912
61,1,81262,0.0388611261089335,0.145151186456118,0.789064586171109
62,1,81999,0.0265911790446214,0.145513555594853,0.855106761686279
63,1,82431,0.00393154543278773,0.146209143769805,0.978562764945855
64,1,83284,0.117235346225618,0.145011164068712,0.41937183777644
65,1,83613,0.12668400454275,0.144972639127044,0.382795296221729
66,1,84112,0.0820446896514854,0.145079647021902,0.57208291297554
68,1,84858,0.162843165669885,0.145296714582241,0.263150693404059
69,1,85751,0.0688983407596461,0.146107252619723,0.637532181453449
70,1,87445,0.0643442692711085,0.146422177547335,0.660609126945444
71,1,87467,-0.0128096487306964,0.147227380400353,0.93071616537854
72,1,89070,0.051846906897687,0.146281472693814,0.723226420446173
73,1,89616,0.0810196993964472,0.145456531335182,0.57787847313074
74,1,89679,0.040962943944794,0.145522534475816,0.778500555890626
75,1,89880,0.075478587217211,0.145520300370513,0.604308331826606
76,1,91472,0.0644821389400864,0.146616155485197,0.660349358166838
77,1,93789,0.007316856792213,0.145144828517787,0.959823597554497
78,1,94351,-0.0527071235380506,0.145500306359946,0.717383846737448
79,1,99148,-0.0179115909934073,0.145142220093524,0.901854911575008
82,1,106800,-0.00720741512847306,0.145340628988964,0.960477308190258
83,1,107970,0.0499858360178097,0.144886116762962,0.730299189048894
84,1,109000,0.0368978663528766,0.14515263784598,0.799488707229161
85,1,112549,-0.17559519292828,0.144700085610333,0.225745721826744
86,1,112742,-0.133521746029632,0.145392941534353,0.359062210299666
87,1,113050,-0.0990432464514828,0.145225991839754,0.495690011469666
88,1,113135,-0.144466750652697,0.144747407316298,0.318933406387146
89,1,114076,0.0112542935674031,0.144950256118875,0.93815646070417
90,1,114628,0.0288891880899099,0.145310060563775,0.84252531812114
91,1,116283,0.0205260255577917,0.146122356535493,0.888367594112259
93,1,127853,-0.00757879945539564,0.145853811661012,0.958588670949596
94,1,128302,-0.0295286650409675,0.145285620050087,0.839060167446533
95,1,128704,-0.0464088843876456,0.145417772900247,0.749807783957978
96,1,128911,0.0026009293044737,0.145454780909107,0.985743601500302
97,1,130267,0.0838251163798829,0.145317425179871,0.564414218182926
98,1,130271,0.0763161837006345,0.145501766866221,0.60025760172575
99,1,130613,0.102483986951612,0.146817395753519,0.485613549377822
100,1,132012,-0.124794447933659,0.146456298574261,0.394739960618191
101,1,133231,-0.134138164947663,0.145391334172469,0.356845418615697
102,1,137074,-0.0934509458796318,0.145274371884402,0.520465226159175
103,1,137304,-0.181007635215812,0.145090518534048,0.213022983429999
104,1,139686,-0.112660190427924,0.145477585450472,0.439203115663874
105,1,149562,-0.133589680850997,0.145759957714014,0.360027961269351
106,1,150447,-0.0754218526103484,0.147497389096457,0.609430135619869
108,1,154084,-0.11438749253337,0.14788259337272,0.439742973531827
110,1,157269,-0.156115102273718,0.145083891455115,0.28264721645782
111,1,160054,-0.115074012153782,0.146574399992967,0.432927719368864
112,1,166222,-0.0701409309034208,0.145569398661592,0.630219314524307
113,1,166416,-0.0761371166028938,0.145265123617714,0.60052037031463
114,1,167326,-0.117851039528445,0.146012762092442,0.420136031731838
115,1,168836,-0.104588043408639,0.14534828774739,0.472266854335707
116,1,171200,-0.195354484008769,0.145301124858966,0.17965646205862
117,1,171431,-0.243381964100621,0.146008607800385,0.0964209366205754
118,1,173339,-0.205491895272055,0.145030376978069,0.157397403522881
119,1,173845,-0.172401663201743,0.145031646876434,0.235349894052845
120,1,175121,-0.239030145865049,0.144474428004001,0.0989187268204998
121,1,175281,-0.210827280375105,0.144722406509414,0.146068751434829
122,1,175315,-0.223669020414564,0.144621937835512,0.122861194824595
123,1,175523,-0.208493918068504,0.145510746761927,0.152787975438129
124,1,175541,-0.217860637183947,0.144874388216225,0.133529605714937
125,1,175653,-0.227413532092176,0.145294288482269,0.118433762356167
128,1,175856,-0.206176602991004,0.147797703975791,0.163895362703988
129,1,175876,-0.185578096546831,0.145598624755629,0.203293872828567
130,1,175989,-0.198502706234543,0.14596778837307,0.174727061880382
131,1,176001,-0.202520299441102,0.146716800522465,0.168352869623377
133,1,177692,-0.228073144687849,0.14460245103332,0.115635411859438
134,1,178191,-0.229615440895203,0.144740132727551,0.113544412598605
135,1,178224,-0.228073144687849,0.14460245103332,0.115635411859438
136,1,178960,-0.260128007689813,0.145613329112421,0.0748877801132559
140,1,183802,-0.211831539268147,0.144690747364919,0.144075786659197
141,1,183954,-0.192674549119295,0.145825798450377,0.187268722425874
142,1,184450,-0.133897757833258,0.144730638026418,0.355519152240859
144,1,184718,-0.203204064690784,0.145327414870813,0.162915842688137
145,1,185296,-0.148832056510346,0.144894707111117,0.305041928336206
146,1,185438,-0.147091265410084,0.144906604198012,0.310764665615579
147,1,185469,-0.15216508650303,0.145101522521734,0.295042802653684
148,1,185503,-0.131416612386977,0.144782634042729,0.364665398751295
149,1,185705,-0.17137568783885,0.146287431545555,0.242188080073348
150,1,185749,-0.15978762287261,0.14632458389442,0.27557429597584
151,1,185806,-0.199739823727649,0.146381703725719,0.173275186755145
152,1,185879,-0.18325843679047,0.147153531832475,0.213827176990856
153,1,185916,-0.0647101297956757,0.147369122553989,0.660856021687619
154,1,185941,-0.0966362141996718,0.147962130110519,0.514107602130794
155,1,185954,-0.128441369079119,0.148326420303856,0.387112737173335
156,1,186055,-0.147352323988934,0.145308942828266,0.311247557944595
157,1,186896,-0.139750831611446,0.147719046373795,0.344765973029947
161,1,190132,0.110871818251533,0.145585482162451,0.446832203088581
162,1,190148,0.136765887680975,0.145567080520614,0.348096733529285
163,1,190165,0.119104452083035,0.146732068481199,0.41750284544888
164,1,190169,0.137979025909228,0.146501842496717,0.346926579624464
165,1,190933,0.0678881011903795,0.145451388351575,0.640973244397706
166,1,192149,0.183628891797026,0.146359829205087,0.210439544237424
168,1,192303,0.254851901531034,0.174344634107683,0.144693639690391
171,1,192795,0.170523152088098,0.144936927978862,0.240174517603793
173,1,194187,0.0160782526058187,0.145338615892481,0.911975672599602
174,1,194867,-0.166564703440008,0.144991260826967,0.251419855066895
190,2,8314,0.162699041656355,0.147467519499374,0.270653975321198
194,2,8498,0.0680444879217855,0.147460744859188,0.644766185006392
195,2,8651,0.0623186458499703,0.147606059070179,0.673139190495116
197,2,9812,0.0773741884687115,0.14846348140384,0.602577595171667
198,2,9932,0.0395780096857339,0.147920225210169,0.789191817449261
199,2,10135,0.0124651927216303,0.147367191748688,0.932638526002867
200,2,11616,0.0815981430443597,0.147148188641349,0.579567065897177
201,2,12133,0.0510185812238866,0.147772553519612,0.730111520945336
202,2,12194,0.0781917967902851,0.148310639187585,0.598374516941934
203,2,12359,0.0318524914501654,0.147925509313499,0.829636021764028
204,2,13061,0.0495275391506982,0.147900846991312,0.737922136272331
205,2,14298,0.0156368526970831,0.148388657865887,0.916135977816974
206,2,15222,0.0599311672356315,0.149804060949669,0.689351579029205
207,2,17986,0.0853442078441398,0.147142168716456,0.562276618077644
208,2,19770,0.0583263312964053,0.148197570041675,0.694135077666092
209,2,19836,0.054250362317264,0.147794638537492,0.713789856763819
210,2,19851,0.0462504225921209,0.14823520749064,0.755219410590476
211,2,21595,0.0479205173375131,0.147621289449013,0.74566253761268
212,2,22385,0.0418029329087515,0.147766276124902,0.77742007277418
213,2,23441,0.020015767996495,0.149214571923221,0.893367650714619
214,2,24209,0.0682371113766578,0.147945121554442,0.644915804676815
215,2,24341,0.0544980150549015,0.148311373980156,0.713498553074561
216,2,26815,0.116803832452743,0.148031488398086,0.430614039760942
217,2,28209,0.111988038167222,0.148091925918091,0.450029904620384
221,2,41245,0.0270992664544667,0.147636276177545,0.854468540647106
222,2,43214,-0.0597164197153454,0.150003361872063,0.69079673147887
