SNP,Chr,Pos,Effect,SE,ERG11_ACF2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.286237869041214,0.127552271746803,0.0254462911456953
9,1,27272,0.110104808729876,0.126393937036218,0.384278423736064
16,1,27843,-0.21389439752172,0.123010297561069,0.0829359140613641
17,1,27848,-0.21389439752172,0.123010297561069,0.0829359140613641
18,1,28495,-0.207479184989397,0.123043428575111,0.0926355970164319
19,1,28975,-0.153088156221163,0.122441388780462,0.212019090107199
26,1,31435,-0.177294441150201,0.122022747692444,0.147122590977071
29,1,36146,-0.191123113725978,0.121330312186409,0.116099188325683
31,1,37409,-0.0270714942895002,0.122405837386738,0.825094330008195
32,1,37478,-0.0429196247885315,0.122498251737586,0.726270548232081
33,1,39144,0.077185227535214,0.121891252027463,0.526993321126241
34,1,41499,0.103216500661945,0.121498033280279,0.396160957506778
37,1,51248,-0.0480575932866447,0.122113064940203,0.694150916991809
38,1,51462,-0.0566650767866235,0.12226828193972,0.64332839063923
39,1,52124,-0.00628622339142214,0.122139392778809,0.958982017250047
40,1,52667,-0.0569783720934194,0.121906389820149,0.640506068018886
42,1,59265,0.0614596762208162,0.121838682609595,0.614270557982486
43,1,60165,0.0663069115578583,0.12173934119224,0.586329242092825
44,1,62308,0.0577904746974069,0.121617651407149,0.634951391479546
45,1,62869,0.130765042884172,0.121441986753696,0.282318521301125
49,1,66841,0.0608336353828885,0.121655510637382,0.617352614900475
50,1,66948,0.0297381589805616,0.122435238626008,0.80823254397451
51,1,68621,0.0483615085358615,0.122086629761755,0.692252490581111
52,1,69417,0.114174363387416,0.121638783288406,0.348560198714185
56,1,74327,0.0856837476542884,0.122375132644117,0.484280542440118
57,1,74572,0.0789124602653195,0.122061811867828,0.51837835747822
58,1,75211,0.118388316712048,0.121748460703248,0.331516964864079
59,1,76030,0.154705402659581,0.121633019598951,0.204244865615375
60,1,80108,-0.00389569370195947,0.121882411081194,0.974519842807621
