SNP,Chr,Pos,Effect,SE,ERG11_TPO4_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00656207533697262,0.144685692056293,0.963850788939628
9,1,27272,0.054098899777417,0.142484165296164,0.704408617027122
16,1,27843,0.0839099910342349,0.139069648722992,0.54665227279802
17,1,27848,0.0839099910342349,0.139069648722992,0.54665227279802
18,1,28495,0.0974566739590349,0.139046877186019,0.483832921113543
19,1,28975,0.0778578071182458,0.13815136315482,0.573405403224001
26,1,31435,0.0547978218413299,0.137816448133389,0.691154679879394
29,1,36146,-0.0677750890188735,0.137089055358178,0.621340196687182
31,1,37409,0.0349030175071466,0.137865470009661,0.80028636904008
32,1,37478,0.00982396209473047,0.137995520278134,0.943286503269545
33,1,39144,-0.0750837959600978,0.137308654612072,0.584844503797827
34,1,41499,-0.0128151174967974,0.136984074572233,0.92551821188013
37,1,51248,-0.210244606700881,0.137112973421092,0.126080998289421
38,1,51462,-0.187778121708208,0.137392356504994,0.172580079838102
39,1,52124,-0.219662613606018,0.137071140638869,0.109929633806295
40,1,52667,-0.309588220678593,0.13635637477524,0.0237833552199543
42,1,59265,-0.0979150429786985,0.137180129017363,0.475841144187712
43,1,60165,-0.149047334583085,0.136945770104988,0.27717537624104
44,1,62308,-0.159469498406002,0.136761356124473,0.244384639097318
45,1,62869,-0.17553662369957,0.13668834763209,0.199910473002643
49,1,66841,-0.0461416969928686,0.137049843723158,0.736559550702462
50,1,66948,-0.100929533847767,0.137808409723034,0.464416411757922
51,1,68621,-0.173747551527996,0.137228221384877,0.206304620702027
52,1,69417,-0.0338844720972176,0.137163492577541,0.805023116981688
56,1,74327,-0.119836615693495,0.137781974928203,0.38502511168778
57,1,74572,-0.12332452278476,0.137405625749215,0.37005235030101
58,1,75211,-0.106821322433083,0.137193794202195,0.436727388781549
59,1,76030,-0.0147935142855569,0.137309294658066,0.91426423999762
60,1,80108,-0.18230564284555,0.136935737918789,0.183942005229058
61,1,81262,-0.141117948955038,0.13702148268281,0.303763716559827
62,1,81999,-0.145560615013051,0.137343978531072,0.289948733902895
63,1,82431,-0.128020893685757,0.138045437215161,0.354361717986298
64,1,83284,-0.0791301734543071,0.137143086101613,0.564314061173251
65,1,83613,-0.0184239255589932,0.137189117273822,0.893245189888289
66,1,84112,-0.0502474709431437,0.137181674552295,0.714372496103577
68,1,84858,0.0663280326612135,0.137549687833967,0.629954606839912
69,1,85751,0.00328570439061429,0.138160424309306,0.981040090254978
