SNP,Chr,Pos,Effect,SE,ERG11_TPO4_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,0.0200163595803347,0.0945289522855978,0.832425485740677
9,1,27272,-0.0763072550086104,0.0930266388645433,0.412613943368629
16,1,27843,-0.0505595191983941,0.0908722789649606,0.578303621104334
17,1,27848,-0.0505595191983941,0.0908722789649606,0.578303621104334
18,1,28495,-0.0449135305423385,0.0908821531586875,0.621475661091383
19,1,28975,-0.0272299332683254,0.0902942510507092,0.763158333146954
26,1,31435,-0.0560003288992601,0.0900172861103605,0.534273516481104
29,1,36146,-0.102214386726852,0.0894368861138328,0.253868702552452
31,1,37409,-0.0138140469520379,0.0900836630298661,0.878212369567713
32,1,37478,-0.0354733741057173,0.0901443352232608,0.694174868056534
33,1,39144,-0.0829246255154034,0.0896440768102569,0.355575475271807
34,1,41499,-0.0243962382583032,0.0894942904535208,0.785319289441149
37,1,51248,-0.0911539436190118,0.0897536472197324,0.310514744935461
38,1,51462,-0.10170525873375,0.08984363347541,0.258392220010731
39,1,52124,-0.151960118211131,0.0895200506401285,0.0904838845509906
40,1,52667,-0.114029195634243,0.0895351628517362,0.203654209432051
42,1,59265,-0.157806658160924,0.0893012322955676,0.0780708962957864
43,1,60165,-0.12090905551893,0.0893962447930314,0.177078886947266
44,1,62308,-0.151200968872945,0.0891665770262505,0.0908218697179554
45,1,62869,-0.150272061667176,0.0891597357354286,0.0927902877327795
49,1,66841,-0.0622887720694544,0.0894985651899715,0.486902391587084
50,1,66948,-0.0868567394030498,0.0899909249022149,0.335119308907272
51,1,68621,-0.073869171610187,0.089779432286787,0.411185715582128
52,1,69417,0.0468605654981477,0.0895928650303109,0.601275233001241
56,1,74327,-0.132203386733576,0.0898452212918178,0.142058439605869
57,1,74572,-0.138447591027269,0.0895778367717937,0.12310775744368
58,1,75211,-0.0708338467561898,0.0896373180953505,0.429925624560363
59,1,76030,-0.043660650666777,0.0896864668746248,0.626692089902441
60,1,80108,-0.044907339691749,0.0896635027303699,0.616793744565223
61,1,81262,-0.0634128080834134,0.0895978982571814,0.479568261738127
