SNP,Chr,Pos,Effect,SE,SSH1_ERG11_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00088576659971018,0.060854877104812,0.988395110218829
9,1,27272,-0.0356962552206104,0.0599108749370748,0.551675548470524
16,1,27843,0.0490402984642067,0.058464531474757,0.402146804094786
17,1,27848,0.0490402984642067,0.058464531474757,0.402146804094786
18,1,28495,0.0660032862455189,0.0584181827220956,0.259310162023075
19,1,28975,0.0380632090683102,0.0580972059761948,0.512788752499193
26,1,31435,0.0446538023638715,0.0579297635250237,0.441325333176329
29,1,36146,0.00906020699057503,0.0576775196537406,0.875268569960858
31,1,37409,0.037213617000397,0.0579575659262649,0.521235488644031
32,1,37478,0.0158877974248707,0.0580350919453823,0.784427712943795
33,1,39144,-0.0195115565981249,0.0577670614199585,0.735742814610631
34,1,41499,0.0159764267738647,0.0576098611525199,0.781695934566513
37,1,51248,0.0743211797856946,0.0577260019664454,0.198769856533624
38,1,51462,0.0796297297598665,0.0577846169041387,0.169062652441924
39,1,52124,0.0742622677210152,0.0577262167483481,0.199126852524698
40,1,52667,0.0180525769951562,0.057760655621031,0.754813906071075
42,1,59265,0.0446860770684502,0.0576904976395075,0.439104625834165
43,1,60165,0.0753543827195378,0.0575563016087826,0.191308328364717
44,1,62308,0.007651940465621,0.0576309800379274,0.894447156533847
45,1,62869,0.00485894986166353,0.0576246003340217,0.932849209186852
49,1,66841,-0.00128585597765915,0.0576522982394025,0.98221834892814
50,1,66948,-0.00267544648497972,0.058005983316265,0.963237794067208
51,1,68621,0.021684883150616,0.0578375032715825,0.707939376843535
52,1,69417,0.0314130178800308,0.0576716415419446,0.586312440594938
56,1,74327,-0.0293973194583662,0.0579919756030607,0.612527125844336
57,1,74572,-0.0160629279746937,0.0578523134043275,0.781440491268223
58,1,75211,0.00641646935803386,0.0577521493632187,0.91159736923249
59,1,76030,-0.00256920390540244,0.0577529972282681,0.964542108935797
60,1,80108,-0.0142863574196167,0.0577344967679266,0.804704430983278
61,1,81262,0.00411978889687124,0.0577172590165463,0.943136701082966
62,1,81999,-0.0160874268821108,0.0578522941198839,0.781115596994906
63,1,82431,-0.00229245368134871,0.0581323896469443,0.968565829022341
64,1,83284,-0.0465263541583876,0.0576563410600258,0.420232958691941
65,1,83613,-0.0403433656273531,0.0576631710928089,0.484613967251016
66,1,84112,-0.0420009690219143,0.0576661821682993,0.466884308666644
68,1,84858,-0.0387689019013154,0.0578355718220121,0.503085927254966
69,1,85751,-0.0670954717204045,0.0580004060620585,0.248132066987415
70,1,87445,-0.0716887943199249,0.0581079421261005,0.218128926862151
71,1,87467,-0.0845726671276838,0.0583646095598282,0.148214087449062
72,1,89070,-0.0669221355120219,0.0580624119896132,0.249858766398687
73,1,89616,-0.0605258111094543,0.0577688779964772,0.295482846071096
74,1,89679,-0.0735917800508263,0.0577332392498251,0.203258639405644
75,1,89880,-0.0641609665272981,0.0577797906497544,0.267565470952755
76,1,91472,-0.072005194432944,0.0581841736995679,0.216709507408792
77,1,93789,-0.0915086141982701,0.0575036005444328,0.112424901344918
78,1,94351,-0.0685519293183534,0.0577462236657236,0.235976950481963
79,1,99148,-0.0558215051646028,0.057632964990296,0.33342340048947
82,1,106800,-0.0720180581357894,0.0576600703574949,0.21248869595048
83,1,107970,-0.0358096993992196,0.0575846030051701,0.534433769774233
84,1,109000,-0.0836658071731109,0.0575456352278585,0.14686151626796
85,1,112549,-0.0562538823903596,0.0575745394163376,0.329207668469023
86,1,112742,-0.0555473494762266,0.0578013910231648,0.337208108608783
87,1,113050,-0.0349932662703533,0.0577495604483511,0.544938298243937
88,1,113135,-0.0474217572800578,0.0575771232937815,0.410710743904469
89,1,114076,-0.0275916552806893,0.057613705615297,0.632300706327662
90,1,114628,-0.03340216384181,0.0577508610425608,0.563373821749869
91,1,116283,-0.0667860896670363,0.0579907322932482,0.250236800952479
93,1,127853,-0.031752492291588,0.0579667697549897,0.58419561400108
94,1,128302,-0.0372614733815729,0.0577345941428093,0.519092132807624
95,1,128704,-0.014546623835113,0.0578209678248598,0.801511784377961
96,1,128911,0.00461345707377764,0.0578320299243861,0.936462693098998
97,1,130267,-0.0968164223288554,0.0575749975482093,0.0935365629670353
98,1,130271,-0.0989153759440915,0.0576337826953477,0.0869891690545425
99,1,130613,-0.0654009024277746,0.0583107646162583,0.262798214691834
100,1,132012,-0.0781811876360656,0.0581418658283181,0.179597604763827
101,1,133231,-0.077811984670681,0.0577285846135167,0.178556984725534
102,1,137074,-0.105258916372281,0.0575224637491108,0.0681118209082167
103,1,137304,-0.11349219804159,0.0574982970235798,0.0491798006154593
104,1,139686,-0.111330563584372,0.0575866468581553,0.0540022660400798
105,1,149562,-0.0979969654967533,0.0577878634335218,0.0908044587224587
106,1,150447,-0.0973064407250743,0.0584373233608991,0.0967716530019912
108,1,154084,-0.0837697284161696,0.0586784785735737,0.154289419926059
110,1,157269,-0.0869357804417031,0.0575940133054555,0.132076151102965
111,1,160054,-0.10375077372079,0.0580665566682004,0.0748349207069611
112,1,166222,-0.0946341983670323,0.0576776147459217,0.101741254393256
113,1,166416,-0.093585819558964,0.0575644819978024,0.104893894505079
114,1,167326,-0.10229139791173,0.0578523019573522,0.0778999713578305
115,1,168836,-0.0851895740867576,0.0576545328620927,0.140410046533147
116,1,171200,-0.0729697533025945,0.0577887984800501,0.207531501728995
117,1,171431,-0.0837624524192843,0.058109984483828,0.150344992435241
118,1,173339,-0.0883755982588058,0.0576359003716174,0.12608710980977
119,1,173845,-0.0898778903691618,0.0575812182864207,0.119445979331355
120,1,175121,-0.0610122864885704,0.0575735171908506,0.289992776405598
121,1,175281,-0.054234375723476,0.0576418070066897,0.347406634161356
122,1,175315,-0.0545060890030286,0.0576228900368804,0.344841327459399
123,1,175523,-0.0551817554404034,0.0579483920225698,0.341618281899782
124,1,175541,-0.0545230536696512,0.057713057951336,0.345444709791388
125,1,175653,-0.0666756046401012,0.0578600968193236,0.249953361143072
128,1,175856,-0.0525809358657215,0.0588593244225586,0.372287858370379
129,1,175876,-0.04999649590041,0.0579617211097995,0.388955244827278
130,1,175989,-0.0612692981965664,0.0580968716221775,0.292326922742724
131,1,176001,-0.0592716871704003,0.0584063869502568,0.310888994308135
