SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
8,1,27243,-0.00871197176212779,0.0702278444791508,0.901343952257965
9,1,27272,0.0161402581138035,0.0691693549921261,0.815629499896612
16,1,27843,0.010773794350204,0.0675355571680471,0.873344347388658
17,1,27848,0.010773794350204,0.0675355571680471,0.873344347388658
18,1,28495,0.0218321463613039,0.0675290882393343,0.746659577214999
19,1,28975,0.00505665727715179,0.0670870851501121,0.939959423881499
26,1,31435,0.0225204677025286,0.0668991407368478,0.736593507292596
29,1,36146,-0.0253268454402456,0.0665512117545072,0.703757371441252
31,1,37409,0.0130380235707522,0.0669211714894674,0.845640787197269
32,1,37478,-0.0170047982818232,0.066976185535365,0.799725883724687
33,1,39144,-0.0691007172497083,0.0665751312613406,0.300010348866788
34,1,41499,-0.00161379011716652,0.0664916415903386,0.980650500875685
37,1,51248,0.0039440672070718,0.0667743866224053,0.95293330448566
38,1,51462,0.005274621617279,0.0668646742889218,0.937168771052104
39,1,52124,-0.00161810116068135,0.0667746610526675,0.980681035553665
40,1,52667,0.00898493740075998,0.0666659859097573,0.892866239616291
42,1,59265,-0.00355452806207032,0.0666338001978411,0.957487823774357
43,1,60165,0.0271029795502164,0.0665680872441281,0.68414699000373
44,1,62308,-0.0511638578188928,0.0664547162999908,0.441870798323681
45,1,62869,-0.0492285757983239,0.0664504972809774,0.459288532253478
49,1,66841,0.0207470610831918,0.066524312059578,0.755322029444654
50,1,66948,0.0050233386937184,0.0669412662432432,0.940224608286449
51,1,68621,0.00213452000838199,0.0667603566202334,0.97451175860231
52,1,69417,0.0156193764851689,0.0665785255139982,0.81465459158487
56,1,74327,-0.086602360809889,0.0667909254500791,0.195609368063946
57,1,74572,-0.0905663134408652,0.066597323693216,0.174726557932138
58,1,75211,-0.0584712151009777,0.0665771304366176,0.380406662360184
59,1,76030,-0.0254065017724489,0.0666361083318457,0.70323058617618
60,1,80108,-0.138582699972352,0.0662245691214505,0.0370969406982425
61,1,81262,-0.165939902006744,0.0660207301083029,0.0124002439677441
62,1,81999,-0.157182208392607,0.0662453772859186,0.0181924989310088
63,1,82431,-0.145909014627162,0.0666366220605109,0.0292057500619151
64,1,83284,-0.162200801533058,0.0660375287535992,0.0145228513036259
65,1,83613,-0.126161786206247,0.0662526805988028,0.0576901624659791
66,1,84112,-0.129195627629372,0.066243494025897,0.0519298330877225
68,1,84858,-0.0971006843092738,0.0665871415101186,0.145660832333994
69,1,85751,-0.151089845230516,0.0665780119764616,0.0238489258378581
70,1,87445,-0.136100380648186,0.0668121299992042,0.0423895193354758
71,1,87467,-0.144994488736094,0.0671132514695997,0.0314106449002467
72,1,89070,-0.168957451081179,0.066527655551389,0.0115243841445037
73,1,89616,-0.149519415211487,0.0662956090322024,0.0247236631449521
74,1,89679,-0.154323454218338,0.0662729353730913,0.0204441283139216
75,1,89880,-0.149151936952413,0.0663235111117535,0.0251378788254194
76,1,91472,-0.145715483799679,0.0668443181061753,0.0299233614518531
77,1,93789,-0.124859565071263,0.0662670444369166,0.0603611001160761
78,1,94351,-0.125992097308018,0.0664371425709815,0.0587220211545824
79,1,99148,-0.105080326663861,0.0663641856192242,0.114228276920747
82,1,106800,-0.101967222672229,0.0664680755403529,0.125906168528961
83,1,107970,-0.104072696271325,0.0662605667215004,0.117157965435226
84,1,109000,-0.109550957222515,0.0663531783670764,0.0996221761352682
85,1,112549,-0.0756860360021158,0.0664114130186224,0.255203172262869
86,1,112742,-0.055338511668693,0.0667277178499813,0.407484803473563
87,1,113050,-0.0373351178396973,0.0666507101920737,0.57572504050786
88,1,113135,-0.0482706458113347,0.066460847801292,0.468134965544276
89,1,114076,-0.0608589230830178,0.0664315635683709,0.360232220799693
90,1,114628,-0.0465392751079389,0.0666327224855164,0.485358960272284
91,1,116283,-0.0754135359583033,0.066929357587263,0.260607987889976
93,1,127853,-0.0705535902113895,0.0668193333522517,0.291742457234036
94,1,128302,-0.048671213943085,0.0666173524193758,0.465502849445293
95,1,128704,-0.0367882680725778,0.0667053322699283,0.581637046306223
96,1,128911,-0.0202931901297439,0.066732709408643,0.761233472936176
97,1,130267,-0.0449417832186106,0.0666669143703666,0.500673525758079
98,1,130271,-0.0437088015800675,0.0667484605899025,0.513004559916868
99,1,130613,-0.0419105979849261,0.0673762123679043,0.534318105175186
100,1,132012,-0.0135944309766308,0.0672661461873935,0.839955632211707
