 CHR          BP            SNP   N           P        P(R)      OR   OR(R)       Q       I
   1        1025              1  62   2.917e-06   2.917e-06  0.1034  0.1034  0.9998    0.00
   1        1035              2  62     2.9e-10     2.9e-10  0.1409  0.1409  1.0000    0.00
   1        1074              3  62   1.249e-07   1.249e-07  0.1998  0.1998  1.0000    0.00
   1        1470              4  62     0.05356     0.05356  0.0727  0.0727  0.9802    0.00
   1        1475              5  62   1.252e-20   1.252e-20  0.2584  0.2584  1.0000    0.00
   1        1491              6  62   5.128e-62   5.128e-62  0.4014  0.4014  0.9978    0.00
   1       21249              7  62      0.5284      0.5284 -0.0880 -0.0880  1.0000    0.00
   1       27243              8  62   5.953e-05   5.953e-05 -0.0764 -0.0764  1.0000    0.00
   1       27272              9  62   4.521e-05   4.521e-05 -0.0765 -0.0765  1.0000    0.00
   1       27498             10  62   0.0005738   0.0005738  0.5899  0.5899  1.0000    0.00
   1       27561             11  62      0.7333      0.7333 -0.0441 -0.0441  1.0000    0.00
   1       27816             12  62      0.7114      0.7114  0.0071  0.0071  1.0000    0.00
   1       27822             13  62      0.8173      0.8173 -0.0044 -0.0044  1.0000    0.00
   1       27823             14  62      0.9072      0.9072  0.0023  0.0023  1.0000    0.00
   1       27825             15  62      0.6948      0.6948  0.0075  0.0075  1.0000    0.00
   1       27843             16  62      0.8172      0.8172  0.0042  0.0042  1.0000    0.00
   1       27848             17  62      0.8172      0.8172  0.0042  0.0042  1.0000    0.00
   1       28495             18  62      0.2852      0.2852  0.0196  0.0196  1.0000    0.00
   1       28975             19  62      0.0327      0.0327  0.0389  0.0389  1.0000    0.00
   1       29283             20  62   8.442e-06   8.442e-06 -0.1815 -0.1815  1.0000    0.00
   1       29752             21  62      0.4185      0.4185  0.0344  0.0344  0.9984    0.00
   1       29787             22  62   5.475e-30   5.475e-30 -1.3048 -1.3048  1.0000    0.00
   1       30057             23  62      0.8321      0.8321  0.0079  0.0079  0.9997    0.00
   1       30479             24  62    3.25e-15    3.25e-15 -0.8602 -0.8602  1.0000    0.00
   1       30706             25  62      0.8477      0.8477  0.0036  0.0036  1.0000    0.00
   1       31435             26  62     0.01359     0.01359 -0.0448 -0.0448  1.0000    0.00
   1       35128             27  62   2.286e-26   2.286e-26  0.2651  0.2651  1.0000    0.00
   1       35129             28  62       0.307       0.307  0.0256  0.0256  1.0000    0.00
   1       36146             29  62   1.979e-11   1.979e-11 -0.1210 -0.1210  1.0000    0.00
   1       37255             30  62      0.0225      0.0225 -0.0831 -0.0831  1.0000    0.00
   1       37409             31  62     0.03207     0.03207 -0.0389 -0.0389  1.0000    0.00
   1       37478             32  62      0.1369      0.1369 -0.0270 -0.0270  1.0000    0.00
   1       39144             33  62   0.0002664   0.0002664  0.0659  0.0659  1.0000    0.00
   1       41499             34  62   2.244e-08   2.244e-08 -0.1008 -0.1008  1.0000    0.00
   1       45359             35  62     0.09659     0.09659  0.0505  0.0505  1.0000    0.00
   1       45634             36  62   1.541e-06   1.541e-06 -0.1339 -0.1339  0.9990    0.00
   1       51248             37  62      0.5815      0.5815 -0.0100 -0.0100  1.0000    0.00
   1       51462             38  62      0.2085      0.2085  0.0228  0.0228  1.0000    0.00
   1       52124             39  62      0.9051      0.9051 -0.0022 -0.0022  1.0000    0.00
   1       52667             40  62      0.3013      0.3013 -0.0187 -0.0187  1.0000    0.00
   1       55470             41  62   1.027e-09   1.027e-09  0.1133  0.1133  1.0000    0.00
   1       59265             42  62     0.06883     0.06883 -0.0329 -0.0329  0.9999    0.00
   1       60165             43  62     0.03996     0.03996 -0.0371 -0.0371  0.9999    0.00
   1       62308             44  62     0.03866     0.03866 -0.0373 -0.0373  1.0000    0.00
   1       62869             45  62    0.002911    0.002911 -0.0537 -0.0537  0.9998    0.00
   1       65431             46  62     0.03758     0.03758 -0.0392 -0.0392  0.9998    0.00
   1       65451             47  62      0.6524      0.6524 -0.0084 -0.0084  0.9999    0.00
   1       65719             48  62     0.05261     0.05261 -0.0375 -0.0375  0.9999    0.00
   1       66841             49  62     0.05879     0.05879 -0.0341 -0.0341  0.9999    0.00
   1       66948             50  62     0.02655     0.02655 -0.0403 -0.0403  1.0000    0.00
   1       68621             51  62   2.048e-25   2.048e-25 -0.1882 -0.1882  0.9999    0.00
   1       69417             52  62   4.031e-09   4.031e-09 -0.1062 -0.1062  1.0000    0.00
   1       69820             53  62   6.494e-26   6.494e-26 -0.7421 -0.7421  0.9994    0.00
   1       69821             54  62     0.00114     0.00114 -0.1426 -0.1426  0.9990    0.00
   1       70906             55  62   3.432e-12   3.432e-12  0.2016  0.2016  1.0000    0.00
   1       74327             56  62   1.913e-17   1.913e-17 -0.1541 -0.1541  1.0000    0.00
   1       74572             57  62   3.789e-14   3.789e-14 -0.1369 -0.1369  1.0000    0.00
   1       75211             58  62   1.578e-25   1.578e-25 -0.1883 -0.1883  0.9999    0.00
   1       76030             59  62   0.0002765   0.0002765 -0.0657 -0.0657  1.0000    0.00
   1       80108             60  62   0.0004679   0.0004679 -0.0632 -0.0632  1.0000    0.00
   1       81262             61  62      0.1932      0.1932 -0.0235 -0.0235  1.0000    0.00
   1       81999             62  62     0.09307     0.09307 -0.0304 -0.0304  1.0000    0.00
   1       82431             63  62     0.06001     0.06001 -0.0342 -0.0342  1.0000    0.00
   1       83284             64  62      0.3765      0.3765 -0.0160 -0.0160  1.0000    0.00
   1       83613             65  62      0.8599      0.8599 -0.0032 -0.0032  1.0000    0.00
   1       84112             66  62     0.05573     0.05573 -0.0345 -0.0345  0.9998    0.00
   1       84701             67  62    1.92e-08    1.92e-08 -0.1086 -0.1086  0.9994    0.00
   1       84858             68  62      0.2008      0.2008 -0.0232 -0.0232  0.9999    0.00
   1       85751             69  62     0.04759     0.04759  0.0360  0.0360  1.0000    0.00
   1       87445             70  62     0.06344     0.06344 -0.0338 -0.0338  1.0000    0.00
   1       87467             71  62    0.003449    0.003449 -0.0536 -0.0536  1.0000    0.00
   1       89070             72  62      0.5753      0.5753 -0.0102 -0.0102  1.0000    0.00
   1       89616             73  62     0.08129     0.08129  0.0316  0.0316  1.0000    0.00
   1       89679             74  62        0.12        0.12 -0.0282 -0.0282  1.0000    0.00
   1       89880             75  62      0.2414      0.2414 -0.0212 -0.0212  1.0000    0.00
   1       91472             76  62      0.5854      0.5854 -0.0100 -0.0100  1.0000    0.00
   1       93789             77  62     0.03853     0.03853 -0.0374 -0.0374  1.0000    0.00
   1       94351             78  62   0.0008124   0.0008124  0.0606  0.0606  1.0000    0.00
   1       99148             79  62     0.06861     0.06861  0.0329  0.0329  1.0000    0.00
   1      101281             80  62      0.4008      0.4008 -0.1660 -0.1660  1.0000    0.00
   1      106011             81  62     0.01061     0.01061 -0.0481 -0.0481  1.0000    0.00
   1      106800             82  62   1.001e-08   1.001e-08 -0.1036 -0.1036  0.9999    0.00
   1      107970             83  62   3.392e-09   3.392e-09 -0.1065 -0.1065  1.0000    0.00
   1      109000             84  62      0.9423      0.9423 -0.0013 -0.0013  1.0000    0.00
   1      112549             85  62      0.4027      0.4027 -0.0151 -0.0151  1.0000    0.00
   1      112742             86  62   0.0007573   0.0007573 -0.0610 -0.0610  1.0000    0.00
   1      113050             87  62     0.04454     0.04454 -0.0363 -0.0363  1.0000    0.00
   1      113135             88  62     0.00317     0.00317 -0.0532 -0.0532  1.0000    0.00
   1      114076             89  62   6.974e-06   6.974e-06  0.0810  0.0810  1.0000    0.00
   1      114628             90  62   1.812e-11   1.812e-11 -0.1214 -0.1214  1.0000    0.00
   1      116283             91  62   1.709e-11   1.709e-11 -0.1222 -0.1222  1.0000    0.00
   1      126880             92  62   1.327e-10   1.327e-10  2.1897  2.1897  0.9986    0.00
   1      127853             93  62      0.3796      0.3796  0.0159  0.0159  0.9992    0.00
   1      128302             94  62     0.09747     0.09747 -0.0300 -0.0300  0.9996    0.00
   1      128704             95  62      0.6147      0.6147 -0.0091 -0.0091  0.9998    0.00
   1      128911             96  62   0.0002499   0.0002499 -0.0663 -0.0663  0.9997    0.00
   1      130267             97  62   1.767e-13   1.767e-13 -0.1331 -0.1331  1.0000    0.00
   1      130271             98  62   2.526e-13   2.526e-13 -0.1324 -0.1324  1.0000    0.00
   1      130613             99  62   4.706e-21   4.706e-21 -0.1718 -0.1718  0.9998    0.00
   1      132012            100  62      0.7502      0.7502  0.0058  0.0058  1.0000    0.00
   1      133231            101  62   4.496e-06   4.496e-06  0.0831  0.0831  1.0000    0.00
   1      137074            102  62    0.004722    0.004722  0.0511  0.0511  1.0000    0.00
   1      137304            103  62   3.073e-08   3.073e-08  0.1002  0.1002  1.0000    0.00
   1      139686            104  62   0.0003885   0.0003885  0.0643  0.0643  1.0000    0.00
   1      149562            105  62   1.058e-10   1.058e-10  0.1172  0.1172  1.0000    0.00
   1      150447            106  62    3.39e-06    3.39e-06  0.0853  0.0853  1.0000    0.00
   1      151446            107  62     0.08172     0.08172  0.0642  0.0642  1.0000    0.00
   1      154084            108  62   3.439e-05   3.439e-05  0.0763  0.0763  1.0000    0.00
   1      156633            109  62   2.225e-06   2.225e-06  0.0883  0.0883  1.0000    0.00
   1      157269            110  62   9.239e-17   9.239e-17  0.1501  0.1501  1.0000    0.00
