 CHR          BP            SNP   N           P        P(R)      OR   OR(R)       Q       I
   1        1025              1  62   3.079e-12   3.079e-12  0.1505  0.1505  1.0000    0.00
   1        1035              2  62   4.683e-06   4.683e-06  0.1000  0.1000  1.0000    0.00
   1        1074              3  62   0.0003824   0.0003824  0.1311  0.1311  1.0000    0.00
   1        1470              4  62      0.1167      0.1167 -0.0577 -0.0577  0.9897    0.00
   1        1475              5  62   4.696e-06   4.696e-06  0.1242  0.1242  0.9997    0.00
   1        1491              6  62    0.001328    0.001328  0.0762  0.0762  0.9991    0.00
   1       21249              7  62   3.603e-13   3.603e-13  0.9902  0.9902  1.0000    0.00
   1       27243              8  62      0.1389      0.1389  0.0275  0.0275  1.0000    0.00
   1       27272              9  62      0.7973      0.7973  0.0047  0.0047  1.0000    0.00
   1       27498             10  62   1.471e-05   1.471e-05 -0.7247 -0.7247  1.0000    0.00
   1       27561             11  62   2.924e-13   2.924e-13 -0.9214 -0.9214  1.0000    0.00
   1       27816             12  62      0.2525      0.2525  0.0214  0.0214  1.0000    0.00
   1       27822             13  62      0.2729      0.2729  0.0205  0.0205  1.0000    0.00
   1       27823             14  62      0.5003      0.5003  0.0128  0.0128  1.0000    0.00
   1       27825             15  62     0.06936     0.06936  0.0339  0.0339  1.0000    0.00
   1       27843             16  62      0.4712      0.4712 -0.0129 -0.0129  1.0000    0.00
   1       27848             17  62      0.4712      0.4712 -0.0129 -0.0129  1.0000    0.00
   1       28495             18  62      0.2281      0.2281  0.0216  0.0216  1.0000    0.00
   1       28975             19  62      0.3628      0.3628  0.0162  0.0162  1.0000    0.00
   1       29283             20  62   3.115e-15   3.115e-15 -0.3136 -0.3136  0.9999    0.00
   1       29752             21  62      0.6058      0.6058 -0.0214 -0.0214  1.0000    0.00
   1       29787             22  62   9.391e-86   9.391e-86 -2.1841 -2.1841  0.9481    0.00
   1       30057             23  62      0.5278      0.5278 -0.0230 -0.0230  1.0000    0.00
   1       30479             24  62   2.636e-14   2.636e-14 -0.8117 -0.8117  0.9999    0.00
   1       30706             25  62    0.002659    0.002659  0.0551  0.0551  1.0000    0.00
   1       31435             26  62      0.2601      0.2601 -0.0200 -0.0200  1.0000    0.00
   1       35128             27  62   3.594e-24   3.594e-24  0.2472  0.2472  0.9994    0.00
   1       35129             28  62      0.2552      0.2552  0.0279  0.0279  1.0000    0.00
   1       36146             29  62   1.963e-07   1.963e-07 -0.0917 -0.0917  1.0000    0.00
   1       37255             30  62      0.1614      0.1614 -0.0498 -0.0498  1.0000    0.00
   1       37409             31  62      0.2375      0.2375 -0.0209 -0.0209  0.9999    0.00
   1       37478             32  62      0.1055      0.1055 -0.0287 -0.0287  1.0000    0.00
   1       39144             33  62       0.331       0.331 -0.0172 -0.0172  1.0000    0.00
   1       41499             34  62     0.01931     0.01931  0.0412  0.0412  1.0000    0.00
   1       45359             35  62   9.046e-12   9.046e-12  0.2020  0.2020  0.9999    0.00
   1       45634             36  62    1.46e-12    1.46e-12 -0.1926 -0.1926  1.0000    0.00
   1       51248             37  62   5.034e-16   5.034e-16 -0.1432 -0.1432  1.0000    0.00
   1       51462             38  62   1.069e-14   1.069e-14  0.1367  0.1367  1.0000    0.00
   1       52124             39  62   6.796e-12   6.796e-12 -0.1212 -0.1212  1.0000    0.00
   1       52667             40  62   1.409e-25   1.409e-25  0.1841  0.1841  1.0000    0.00
   1       55470             41  62   2.077e-16   2.077e-16  0.1488  0.1488  1.0000    0.00
   1       59265             42  62         0.1         0.1 -0.0290 -0.0290  1.0000    0.00
   1       60165             43  62     0.03624     0.03624 -0.0369 -0.0369  1.0000    0.00
   1       62308             44  62   4.013e-07   4.013e-07 -0.0892 -0.0892  1.0000    0.00
   1       62869             45  62   2.931e-07   2.931e-07 -0.0903 -0.0903  0.9999    0.00
   1       65431             46  62   0.0001742   0.0001742 -0.0690 -0.0690  0.9981    0.00
   1       65451             47  62    0.001722    0.001722 -0.0568 -0.0568  0.9984    0.00
   1       65719             48  62      0.4598      0.4598 -0.0140 -0.0140  0.9985    0.00
   1       66841             49  62      0.1959      0.1959 -0.0228 -0.0228  0.9992    0.00
   1       66948             50  62    0.002434    0.002434 -0.0537 -0.0537  0.9992    0.00
   1       68621             51  62   1.224e-28   1.224e-28 -0.1958 -0.1958  0.9995    0.00
   1       69417             52  62   3.779e-14   3.779e-14 -0.1333 -0.1333  1.0000    0.00
   1       69820             53  62   1.122e-09   1.122e-09 -0.4200 -0.4200  1.0000    0.00
   1       69821             54  62   7.829e-11   7.829e-11 -0.2783 -0.2783  1.0000    0.00
   1       70906             55  62      0.1465      0.1465  0.0411  0.0411  1.0000    0.00
   1       74327             56  62   0.0004076   0.0004076 -0.0627 -0.0627  0.9999    0.00
   1       74572             57  62    0.002907    0.002907 -0.0526 -0.0526  0.9999    0.00
