 CHR          BP            SNP   N           P        P(R)      OR   OR(R)       Q       I
   1        1025              1  62   2.157e-08   2.157e-08  0.1183  0.1183  1.0000    0.00
   1        1035              2  62   5.314e-05   5.314e-05  0.0864  0.0864  1.0000    0.00
   1        1074              3  62   4.454e-06   4.454e-06  0.1657  0.1657  0.9999    0.00
   1        1470              4  62   3.338e-05   3.338e-05 -0.1492 -0.1492  1.0000    0.00
   1        1475              5  62    0.002889    0.002889  0.0791  0.0791  1.0000    0.00
   1        1491              6  62     0.03404     0.03404  0.0493  0.0493  1.0000    0.00
   1       21249              7  62    3.54e-10    3.54e-10  0.8363  0.8363  1.0000    0.00
   1       27243              8  62   0.0001275   0.0001275  0.0697  0.0697  1.0000    0.00
   1       27272              9  62     0.06515     0.06515  0.0331  0.0331  1.0000    0.00
   1       27498             10  62     0.00157     0.00157 -0.5177 -0.5177  1.0000    0.00
   1       27561             11  62   1.669e-14   1.669e-14 -0.9480 -0.9480  1.0000    0.00
   1       27816             12  62     0.03375     0.03375  0.0388  0.0388  1.0000    0.00
   1       27822             13  62     0.05869     0.05869  0.0345  0.0345  1.0000    0.00
   1       27823             14  62     0.06958     0.06958  0.0338  0.0338  1.0000    0.00
   1       27825             15  62     0.01195     0.01195  0.0459  0.0459  1.0000    0.00
   1       27843             16  62      0.0941      0.0941 -0.0293 -0.0293  1.0000    0.00
   1       27848             17  62      0.0941      0.0941 -0.0293 -0.0293  1.0000    0.00
   1       28495             18  62     0.01739     0.01739  0.0416  0.0416  1.0000    0.00
   1       28975             19  62      0.0333      0.0333  0.0370  0.0370  1.0000    0.00
   1       29283             20  62   1.806e-10   1.806e-10 -0.2483 -0.2483  1.0000    0.00
   1       29752             21  62     0.07787     0.07787  0.0716  0.0716  1.0000    0.00
   1       29787             22  62   1.059e-57   1.059e-57 -1.7494 -1.7494  0.9982    0.00
   1       30057             23  62      0.5164      0.5164  0.0231  0.0231  1.0000    0.00
   1       30479             24  62   4.287e-21   4.287e-21 -0.9822 -0.9822  0.9986    0.00
   1       30706             25  62      0.2537      0.2537  0.0205  0.0205  1.0000    0.00
   1       31435             26  62      0.8144      0.8144  0.0041  0.0041  1.0000    0.00
   1       35128             27  62   1.027e-28   1.027e-28  0.2650  0.2650  0.9983    0.00
   1       35129             28  62    0.002375    0.002375  0.0728  0.0728  1.0000    0.00
   1       36146             29  62   0.0001894   0.0001894 -0.0644 -0.0644  1.0000    0.00
   1       37255             30  62      0.7906      0.7906 -0.0092 -0.0092  1.0000    0.00
   1       37409             31  62      0.6763      0.6763  0.0072  0.0072  1.0000    0.00
   1       37478             32  62      0.7914      0.7914 -0.0046 -0.0046  1.0000    0.00
   1       39144             33  62      0.4987      0.4987 -0.0117 -0.0117  1.0000    0.00
   1       41499             34  62     0.08691     0.08691  0.0295  0.0295  1.0000    0.00
   1       45359             35  62   8.484e-24   8.484e-24  0.2910  0.2910  1.0000    0.00
   1       45634             36  62   4.317e-10   4.317e-10 -0.1662 -0.1662  0.9975    0.00
   1       51248             37  62   6.704e-09   6.704e-09 -0.1003 -0.1003  0.9951    0.00
   1       51462             38  62   2.999e-08   2.999e-08  0.0960  0.0960  0.9984    0.00
   1       52124             39  62   2.416e-06   2.416e-06 -0.0816 -0.0816  1.0000    0.00
   1       52667             40  62    1.42e-17    1.42e-17  0.1472  0.1472  1.0000    0.00
   1       55470             41  62   3.466e-14   3.466e-14  0.1344  0.1344  1.0000    0.00
   1       59265             42  62      0.4368      0.4368 -0.0134 -0.0134  1.0000    0.00
   1       60165             43  62      0.7271      0.7271 -0.0060 -0.0060  1.0000    0.00
   1       62308             44  62    0.001272    0.001272 -0.0555 -0.0555  0.9999    0.00
   1       62869             45  62     0.00142     0.00142 -0.0550 -0.0550  0.9977    0.00
   1       65431             46  62     0.01039     0.01039 -0.0461 -0.0461  0.9859    0.00
   1       65451             47  62       0.169       0.169 -0.0244 -0.0244  0.9881    0.00
   1       65719             48  62      0.6391      0.6391  0.0087  0.0087  0.9978    0.00
   1       66841             49  62      0.8367      0.8367  0.0036  0.0036  0.9979    0.00
   1       66948             50  62      0.1579      0.1579 -0.0245 -0.0245  0.9950    0.00
   1       68621             51  62   4.754e-23   4.754e-23 -0.1707 -0.1707  0.9968    0.00
   1       69417             52  62   1.417e-10   1.417e-10 -0.1106 -0.1106  1.0000    0.00
   1       69820             53  62   1.311e-11   1.311e-11 -0.4566 -0.4566  1.0000    0.00
   1       69821             54  62   1.007e-14   1.007e-14 -0.3239 -0.3239  1.0000    0.00
   1       70906             55  62   0.0001123   0.0001123  0.1070  0.1070  1.0000    0.00
   1       74327             56  62   0.0005623   0.0005623 -0.0598 -0.0598  0.9976    0.00
   1       74572             57  62      0.0101      0.0101 -0.0445 -0.0445  0.9992    0.00
   1       75211             58  62      0.2251      0.2251 -0.0210 -0.0210  0.9996    0.00
   1       76030             59  62      0.7198      0.7198 -0.0062 -0.0062  1.0000    0.00
   1       80108             60  62    0.001499    0.001499 -0.0548 -0.0548  1.0000    0.00
   1       81262             61  62     0.01835     0.01835 -0.0407 -0.0407  1.0000    0.00
