S288C|Orientation|Locus_tag|Name|RM11|YJM975
CHR1:100225-101145|-|locus_tag=YAL025C|Name=MAK16|CHR1:123147-122228|CHR1:96929-97848
CHR1:101565-105872|-|locus_tag=YAL024C|Name=LTE1|CHR1:121806-117500|CHR1:98269-102575
CHR1:106272-108551|-|locus_tag=YAL023C|Name=PMT2|CHR1:117098-114820|CHR1:102976-105254
CHR1:108877-110430|-|locus_tag=YAL022C|Name=FUN26|CHR1:114494-112942|CHR1:105580-107132
CHR1:110846-113359|-|locus_tag=YAL021C|Name=CCR4|CHR1:112527-110006|CHR1:107549-110061
CHR1:113614-114615|-|locus_tag=YAL020C|Name=ATS1|CHR1:109750-108750|CHR1:110317-111317
CHR1:114919-118314|+|locus_tag=YAL019W|Name=FUN30|CHR1:106974-105117|CHR1:111622-115022
CHR1:11565-11951|-|locus_tag=YAL065C|Name=YAL065C|CHR1:22353-22685|CHR8:527688-527347
CHR1:118564-119541|-|locus_tag=YAL018C|Name=LDS1|CHR1:104866-103890|CHR1:115273-116249
CHR1:120225-124295|+|locus_tag=YAL017W|Name=PSK1|CHR1:103205-99136|CHR1:116934-121003
CHR1:12046-12426|+|locus_tag=YAL064W-B|Name=YAL064W-B|CHR1:22798-23198|CHR1:22008-22408
CHR1:124879-126786|+|locus_tag=YAL016W|Name=TPD3|CHR1:98551-96645|CHR1:121588-123494
CHR1:126903-128102|-|locus_tag=YAL015C|Name=NTG1|CHR1:96525-95327|CHR1:123614-124812
CHR1:128252-129019|-|locus_tag=YAL014C|Name=SYN8|CHR1:95177-94411|CHR1:124962-125728
CHR1:129270-130487|+|locus_tag=YAL013W|Name=DEP1|CHR1:94159-92943|CHR1:125980-127196
CHR1:130799-131983|+|locus_tag=YAL012W|Name=CYS3|CHR1:92629-91446|CHR1:127509-128692
CHR1:132199-134076|+|locus_tag=YAL011W|Name=SWC3|CHR1:91229-89353|CHR1:128909-130785
CHR1:13363-13743|-|locus_tag=YAL064C-A|Name=TDA8|CHR1:11432-11813|CHR1:10642-11023
CHR1:134184-135665|-|locus_tag=YAL010C|Name=MDM10|CHR1:89244-87764|CHR1:130894-132374
CHR1:135854-136633|+|locus_tag=YAL009W|Name=SPO7|CHR1:87574-86796|CHR1:132564-133342
CHR1:136914-137510|+|locus_tag=YAL008W|Name=FUN14|CHR1:86514-85919|CHR1:133624-134219
CHR1:137698-138345|-|locus_tag=YAL007C|Name=ERP2|CHR1:85730-85084|CHR1:134408-135054
CHR1:139152-139254|+|locus_tag=tP(UGG)A|Name=TRN1|CHR1:84275-84174|CHR1:135863-135964
CHR1:139503-141431|-|locus_tag=YAL005C|Name=SSA1|CHR1:83928-82001|CHR1:136210-138137
CHR1:142174-143160|+|locus_tag=YAL003W|Name=EFB1|CHR1:81258-80270|CHR1:138880-139868
CHR1:142367-142468|+|locus_tag=snR18|Name=snR18|CHR1:81065-80965|CHR1:139073-139173
CHR1:143707-147531|+|locus_tag=YAL002W|Name=VPS8|CHR1:79722-75899|CHR1:140416-144239
CHR1:147594-151166|-|locus_tag=YAL001C|Name=TFC3|CHR1:75835-72264|CHR1:144303-147874
CHR1:152257-153876|+|locus_tag=YAR002W|Name=NUP60|CHR1:71165-69547|CHR1:148971-150589
CHR1:154065-154724|-|locus_tag=YAR002C-A|Name=ERP1|CHR1:69354-68696|CHR1:150782-151440
CHR1:155005-156285|+|locus_tag=YAR003W|Name=SWD1|CHR1:68414-67135|CHR1:151722-153001
CHR1:156754-158619|-|locus_tag=YAR007C|Name=RFA1|CHR1:66664-64800|CHR1:153472-155336
CHR1:158966-159793|+|locus_tag=YAR008W|Name=SEN34|CHR1:64452-63626|CHR1:155684-156510
CHR1:160597-164187|-|locus_tag=YAR009C|Name=YAR009C|CHR11:469853-468027|CHR4:786319-785541
CHR1:164544-165866|-|locus_tag=YAR010C|Name=YAR010C|CHR4:697885-699206|CHR4:785183-783862
CHR1:166267-166339|+|locus_tag=tA(UGC)A|Name=TGA1|CHR1:63081-63010|CHR1:157055-157126
CHR1:166742-168871|-|locus_tag=YAR014C|Name=BUD14|CHR1:62606-60478|CHR1:157530-159658
CHR1:169375-170295|+|locus_tag=YAR015W|Name=ADE1|CHR1:59973-59054|CHR1:160163-161082
CHR1:170396-171703|-|locus_tag=YAR018C|Name=KIN3|CHR1:58952-57646|CHR1:161184-162490
CHR1:172211-175135|-|locus_tag=YAR019C|Name=CDC15|CHR1:57136-54213|CHR1:163000-165923
CHR1:176856-177023|-|locus_tag=YAR020C|Name=PAU7|CHR1:52491-52327|CHR1:167647-167811
CHR1:179281-179820|-|locus_tag=YAR023C|Name=YAR023C|CHR1:50070-49532|CHR1:170067-170605
CHR1:1807-2169|-|locus_tag=YAL068C|Name=PAU8|CHR9:423744-423383|CHR7:5717-6078
CHR1:181141-181254|+|locus_tag=tL(CAA)A|Name=SUP56|CHR1:47530-47418|CHR1:172272-172384
CHR1:182522-182603|-|locus_tag=tS(AGA)A|Name=tS(AGA)A|CHR1:46151-46071|CHR1:173651-173731
CHR1:183770-184477|+|locus_tag=YAR027W|Name=UIP3|CHR1:45246-44540|CHR1:174556-175262
CHR1:184892-185596|+|locus_tag=YAR028W|Name=YAR028W|CHR1:44122-43418|CHR1:175679-176382
CHR1:186321-186545|+|locus_tag=YAR029W|Name=YAR029W|CHR1:42690-42466|CHR1:177108-177332
CHR1:186836-187732|+|locus_tag=YAR031W|Name=PRM9|CHR1:42174-41482|CHR1:177624-178316
CHR1:188107-188811|+|locus_tag=YAR033W|Name=MST28|CHR1:40928-40225|CHR1:178870-179573
CHR1:190193-192256|+|locus_tag=YAR035W|Name=YAT1|CHR1:38716-36654|CHR1:181081-183143
CHR1:192337-192417|-|locus_tag=YAR035C-A|Name=YAR035C-A|CHR1:36575-36497|CHR1:183222-183300
CHR1:192619-196185|+|locus_tag=YAR042W|Name=SWH1|CHR1:36292-32721|CHR1:183507-187072
CHR1:203403-208016|+|locus_tag=YAR050W|Name=FLO1|CHR8:14129-12325|CHR1:24630-23211
CHR1:21566-21850|+|locus_tag=YAL064W|Name=YAL064W|CHR1:19924-20206|CHR1:19134-19416
CHR1:220198-220497|+|locus_tag=YAR064W|Name=YAR064W|CHR1:10163-9865|CHR1:9373-9075
CHR1:221049-221660|+|locus_tag=YAR066W|Name=YAR066W|CHR8:9521-8911|CHR1:8522-7912
CHR1:222406-222891|+|locus_tag=YAR068W|Name=YAR068W|CHR1:7949-7465|CHR1:7165-6681
CHR1:22395-22685|-|locus_tag=YAL063C-A|Name=YAL063C-A|CHR1:20752-21049|CHR1:19962-20259
CHR1:225460-226863|+|locus_tag=YAR071W|Name=PHO11|CHR6:4993-3592|CHR1:4139-2737
CHR1:24000-27968|-|locus_tag=YAL063C|Name=FLO9|CHR8:12019-13229|CHR1:23211-24705
CHR1:2480-2707|+|locus_tag=YAL067W-A|Name=YAL067W-A|CHR9:423068-422845|CHR11:154-382
CHR1:31567-32940|+|locus_tag=YAL062W|Name=GDH3|CHR1:191778-190406|CHR1:28280-29652
CHR1:33448-34701|+|locus_tag=YAL061W|Name=BDH2|CHR1:189897-188645|CHR1:30161-31413
CHR1:35155-36303|+|locus_tag=YAL060W|Name=BDH1|CHR1:188191-187044|CHR1:31868-33015
CHR1:36509-37147|+|locus_tag=YAL059W|Name=ECM1|CHR1:186838-186201|CHR1:33221-33858
CHR1:37464-38972|+|locus_tag=YAL058W|Name=CNE1|CHR1:185883-184376|CHR1:34176-35683
CHR1:39259-41901|+|locus_tag=YAL056W|Name=GPB2|CHR1:184088-181447|CHR1:35971-38612
CHR1:42177-42719|+|locus_tag=YAL055W|Name=PEX22|CHR1:181170-180629|CHR1:38889-39430
CHR1:42881-45022|-|locus_tag=YAL054C|Name=ACS1|CHR1:180466-178326|CHR1:39593-41733
CHR1:45899-48250|+|locus_tag=YAL053W|Name=FLC2|CHR1:177452-175102|CHR1:42614-44964
CHR1:48564-51707|+|locus_tag=YAL051W|Name=OAF1|CHR1:174787-171645|CHR1:45279-48421
CHR1:51855-52595|-|locus_tag=YAL049C|Name=AIM2|CHR1:171496-170757|CHR1:48570-49309
CHR1:52801-54789|-|locus_tag=YAL048C|Name=GEM1|CHR1:170550-168563|CHR1:49517-51504
CHR1:54989-56857|-|locus_tag=YAL047C|Name=SPC72|CHR1:168362-166495|CHR1:51705-53572
CHR1:57029-57385|-|locus_tag=YAL046C|Name=BOL3|CHR1:166321-165966|CHR1:53746-54101
CHR1:57518-57850|+|locus_tag=YAL044W-A|Name=BOL1|CHR1:165832-165501|CHR1:54235-54566
CHR1:57950-58462|-|locus_tag=YAL044C|Name=GCV3|CHR1:165400-164889|CHR1:54667-55178
CHR1:58695-61052|-|locus_tag=YAL043C|Name=PTA1|CHR1:164656-162300|CHR1:55411-57767
CHR1:61316-62563|+|locus_tag=YAL042W|Name=ERV46|CHR1:162035-160789|CHR1:58032-59278
CHR1:62840-65404|+|locus_tag=YAL041W|Name=CDC24|CHR1:160511-157948|CHR1:59556-62119
CHR1:65778-67520|-|locus_tag=YAL040C|Name=CLN3|CHR1:157572-155831|CHR1:62495-64236
CHR1:68716-69525|-|locus_tag=YAL039C|Name=CYC3|CHR1:154635-153827|CHR1:65433-66241
CHR1:71786-73288|+|locus_tag=YAL038W|Name=CDC19|CHR1:151582-150081|CHR1:68491-69992
CHR1:73426-73518|-|locus_tag=YAL037C-A|Name=YAL037C-A|CHR1:149942-149851|CHR1:70131-70222
CHR1:74020-74823|+|locus_tag=YAL037W|Name=YAL037W|CHR1:149348-148546|CHR1:70725-71527
CHR1:75043-76152|-|locus_tag=YAL036C|Name=RBG1|CHR1:148326-147218|CHR1:71751-72859
CHR1:76427-79435|+|locus_tag=YAL035W|Name=FUN12|CHR1:146942-143938|CHR1:73135-76139
CHR1:79718-80587|+|locus_tag=YAL034W-A|Name=MTW1|CHR1:143654-142786|CHR1:76423-77291
CHR1:80710-81951|-|locus_tag=YAL034C|Name=FUN19|CHR1:142662-141422|CHR1:77415-78655
CHR1:82706-83227|+|locus_tag=YAL033W|Name=POP5|CHR1:140666-140146|CHR1:79411-79931
CHR1:83335-84474|-|locus_tag=YAL032C|Name=PRP45|CHR1:140037-138899|CHR1:80040-81178
CHR1:84749-87031|-|locus_tag=YAL031C|Name=GIP4|CHR1:138622-136341|CHR1:81454-83735
CHR1:87286-87752|+|locus_tag=YAL030W|Name=SNC1|CHR1:136085-135620|CHR1:83991-84456
CHR1:87855-92270|-|locus_tag=YAL029C|Name=MYO4|CHR1:135516-131102|CHR1:84560-88974
CHR1:92900-94486|+|locus_tag=YAL028W|Name=FRT2|CHR1:130472-128887|CHR1:89604-91189
CHR1:94687-95472|+|locus_tag=YAL027W|Name=SAW1|CHR1:128685-127901|CHR1:91391-92175
CHR1:95630-99697|-|locus_tag=YAL026C|Name=DRS2|CHR1:127742-123676|CHR1:92334-96400
CHR1:99305-99868|+|locus_tag=HRA1|Name=HRA1|CHR1:124067-123505|CHR1:96009-96571
CHR2:100371-101156|-|locus_tag=YBL064C|Name=PRX1|CHR2:94404-95188|CHR2:85955-86739
CHR2:101886-105221|+|locus_tag=YBL063W|Name=KIP1|CHR2:95919-99253|CHR2:87470-90804
CHR2:105316-107406|-|locus_tag=YBL061C|Name=SKT5|CHR2:99349-101438|CHR2:90900-92989
CHR2:107932-109995|+|locus_tag=YBL060W|Name=YEL1|CHR2:101965-104027|CHR2:93516-95578
CHR2:10847-13879|-|locus_tag=YBL106C|Name=SRO77|CHR2:11257-14288|CHR2:2902-5933
CHR2:110125-110539|-|locus_tag=YBL059C-A|Name=CMC2|CHR2:104158-104571|CHR2:95709-96122
CHR2:110594-111244|+|locus_tag=YBL059W|Name=IAI11|CHR2:104627-105276|CHR2:96178-96827
CHR2:111437-112708|+|locus_tag=YBL058W|Name=SHP1|CHR2:105470-106740|CHR2:97021-98294
CHR2:112801-113427|-|locus_tag=YBL057C|Name=PTH2|CHR2:106834-107459|CHR2:98388-99013
CHR2:113762-115168|+|locus_tag=YBL056W|Name=PTC3|CHR2:107795-109200|CHR2:99349-100754
CHR2:115573-116829|-|locus_tag=YBL055C|Name=YBL055C|CHR2:109606-110861|CHR2:101150-102405
CHR2:117589-119166|+|locus_tag=YBL054W|Name=TOD6|CHR2:111620-113196|CHR2:103164-104740
CHR2:119379-121874|-|locus_tag=YBL052C|Name=SAS3|CHR2:113408-115905|CHR2:104954-107451
CHR2:122753-124759|-|locus_tag=YBL051C|Name=PIN4|CHR2:116782-118787|CHR2:108330-110335
CHR2:125125-126119|+|locus_tag=YBL050W|Name=SEC17|CHR2:119154-120147|CHR2:110702-111695
CHR2:126828-127244|+|locus_tag=YBL049W|Name=MOH1|CHR2:120857-121272|CHR2:112405-112820
CHR2:127299-127610|+|locus_tag=YBL048W|Name=RRT1|CHR2:121328-121637|CHR2:112876-113185
CHR2:127895-132040|-|locus_tag=YBL047C|Name=EDE1|CHR2:121923-126067|CHR2:113472-117616
CHR2:132424-133749|+|locus_tag=YBL046W|Name=PSY4|CHR2:126452-127803|CHR2:118001-119352
CHR2:134143-135516|-|locus_tag=YBL045C|Name=COR1|CHR2:128190-129562|CHR2:119740-121112
CHR2:135998-136366|+|locus_tag=YBL044W|Name=YBL044W|CHR2:130044-130412|CHR2:121594-121963
CHR2:136688-137461|+|locus_tag=YBL043W|Name=ECM13|CHR2:130735-131507|CHR2:122286-123058
CHR2:138341-140260|-|locus_tag=YBL042C|Name=FUI1|CHR2:132371-134289|CHR2:123911-125829
CHR2:141247-141972|+|locus_tag=YBL041W|Name=PRE7|CHR2:135277-136001|CHR2:126817-127541
CHR2:142112-142868|-|locus_tag=YBL040C|Name=ERD2|CHR2:136142-136897|CHR2:127682-128437
CHR2:14241-17696|-|locus_tag=YBL105C|Name=PKC1|CHR2:14651-18105|CHR2:6296-9750
CHR2:143393-143572|+|locus_tag=YBL039W-B|Name=MIN6|CHR2:137423-137601|CHR2:128963-129141
CHR2:143989-145728|-|locus_tag=YBL039C|Name=URA7|CHR2:138022-139760|CHR2:129560-131298
CHR2:146187-146885|+|locus_tag=YBL038W|Name=MRPL16|CHR2:140206-140903|CHR2:131752-132449
CHR2:147209-150286|+|locus_tag=YBL037W|Name=APL3|CHR2:141228-144304|CHR2:132774-135850
CHR2:150447-151220|-|locus_tag=YBL036C|Name=YBL036C|CHR2:144474-145246|CHR2:136020-136792
CHR2:151493-153610|-|locus_tag=YBL035C|Name=POL12|CHR2:145521-147637|CHR2:137067-139183
CHR2:153848-158389|-|locus_tag=YBL034C|Name=STU1|CHR2:147876-152416|CHR2:139423-143963
CHR2:158656-159693|-|locus_tag=YBL033C|Name=RIB1|CHR2:152684-153720|CHR2:144231-145267
CHR2:160184-161329|+|locus_tag=YBL032W|Name=HEK2|CHR2:154211-155355|CHR2:145759-146903
CHR2:161699-162715|+|locus_tag=YBL031W|Name=SHE1|CHR2:155726-156741|CHR2:147274-148289
CHR2:163041-163997|-|locus_tag=YBL030C|Name=PET9|CHR2:157068-158023|CHR2:148616-149571
CHR2:164488-164772|-|locus_tag=YBL029C-A|Name=YBL029C-A|CHR2:158515-158798|CHR2:150063-150346
CHR2:166134-167264|+|locus_tag=YBL029W|Name=YBL029W|CHR2:160154-161271|CHR2:151704-152833
CHR2:167518-167838|-|locus_tag=YBL028C|Name=YBL028C|CHR2:161525-161844|CHR2:153087-153406
CHR2:168423-169376|+|locus_tag=YBL027W|Name=RPL19B|CHR2:162440-163392|CHR2:153996-154949
CHR2:170623-171038|+|locus_tag=YBL026W|Name=LSM2|CHR2:164632-165046|CHR2:156189-156603
CHR2:171481-171918|+|locus_tag=YBL025W|Name=RRN10|CHR2:165491-165927|CHR2:157048-157484
CHR2:172534-174588|+|locus_tag=YBL024W|Name=NCL1|CHR2:166544-168591|CHR2:158102-160149
CHR2:174920-177526|-|locus_tag=YBL023C|Name=MCM2|CHR2:168930-171535|CHR2:160490-163095
CHR2:177874-181275|-|locus_tag=YBL022C|Name=PIM1|CHR2:171884-175284|CHR2:163444-166844
CHR2:181660-182094|-|locus_tag=YBL021C|Name=HAP3|CHR2:175670-176103|CHR2:167230-167663
CHR2:18177-21293|-|locus_tag=YBL104C|Name=SEA4|CHR2:18587-21702|CHR2:10232-13347
CHR2:182401-184125|+|locus_tag=YBL020W|Name=RFT1|CHR2:176411-178134|CHR2:167971-169694
CHR2:184353-185915|+|locus_tag=YBL019W|Name=APN2|CHR2:178362-179923|CHR2:169922-171483
CHR2:185998-186474|-|locus_tag=YBL018C|Name=POP8|CHR2:180007-180482|CHR2:171567-172042
CHR2:186844-191583|-|locus_tag=YBL017C|Name=PEP1|CHR2:180853-185585|CHR2:172413-177145
CHR2:192451-193512|+|locus_tag=YBL016W|Name=FUS3|CHR2:186452-187512|CHR2:178011-179071
CHR2:194122-195702|+|locus_tag=YBL015W|Name=ACH1|CHR2:188127-189706|CHR2:179686-181265
CHR2:197494-197567|+|locus_tag=tI(AAU)B|Name=tI(AAU)B|CHR12:1004046-1003974|CHR2:183057-183129
CHR2:197629-197699|-|locus_tag=tG(GCC)B|Name=tG(GCC)B|CHR10:395008-395077|CHR2:183182-183251
CHR2:199064-201748|-|locus_tag=YBL014C|Name=RRN6|CHR2:193057-195740|CHR2:184633-187316
CHR2:202056-203261|+|locus_tag=YBL013W|Name=FMT1|CHR2:196049-197253|CHR2:187625-188829
CHR2:203538-205817|+|locus_tag=YBL011W|Name=SCT1|CHR2:197531-199787|CHR2:189107-191363
CHR2:206107-206949|-|locus_tag=YBL010C|Name=LAA2|CHR2:200085-200926|CHR2:191663-192504
CHR2:207194-209224|+|locus_tag=YBL009W|Name=ALK2|CHR2:201171-203200|CHR2:192749-194778
CHR2:209409-209648|+|locus_tag=YBL008W-A|Name=YBL008W-A|CHR2:203386-203624|CHR2:194964-195202
CHR2:209653-212175|+|locus_tag=YBL008W|Name=HIR1|CHR2:203630-206148|CHR2:195208-197726
CHR2:212632-216366|-|locus_tag=YBL007C|Name=SLA1|CHR2:206607-210340|CHR2:198186-201919
CHR2:216587-217129|-|locus_tag=YBL006C|Name=LDB7|CHR2:210562-211103|CHR2:202141-202682
CHR2:217470-220400|+|locus_tag=YBL005W|Name=PDR3|CHR2:211445-214374|CHR2:203024-205953
CHR2:22076-23536|-|locus_tag=YBL103C|Name=RTG3|CHR2:22486-23945|CHR2:14131-15590
CHR2:221330-222652|+|locus_tag=YBL005W-A|Name=YBL005W-A|CHR4:699205-697884|CHR4:783863-785184
CHR2:221330-226598|+|locus_tag=YBL005W-B|Name=YBL005W-B|CHR4:699205-696749|CHR4:783863-786319
CHR2:227075-227156|+|locus_tag=tS(AGA)B|Name=tS(AGA)B|CHR1:46072-46152|CHR1:173730-173650
CHR2:227636-235117|+|locus_tag=YBL004W|Name=UTP20|CHR2:215684-223164|CHR2:207263-214743
CHR2:235394-235792|-|locus_tag=YBL003C|Name=HTA2|CHR2:223442-223839|CHR2:215021-215418
CHR2:236492-236887|+|locus_tag=YBL002W|Name=HTB2|CHR2:224536-224930|CHR2:216115-216509
CHR2:237153-237467|-|locus_tag=YBL001C|Name=ECM15|CHR2:225197-225510|CHR2:216776-217089
CHR2:238941-241283|-|locus_tag=YBR001C|Name=NTH2|CHR2:226986-229327|CHR2:218564-220905
CHR2:24098-24745|+|locus_tag=YBL102W|Name=SFT2|CHR2:24508-25154|CHR2:16153-16799
CHR2:241708-242568|-|locus_tag=YBR002C|Name=RER2|CHR2:229753-230612|CHR2:221331-222190
CHR2:242809-244230|+|locus_tag=YBR003W|Name=COQ1|CHR2:230853-232273|CHR2:222431-223851
CHR2:244366-245667|-|locus_tag=YBR004C|Name=GPI18|CHR2:232410-233710|CHR2:223988-225288
CHR2:245906-246547|+|locus_tag=YBR005W|Name=RCR1|CHR2:233953-234593|CHR2:225531-226171
CHR2:247010-248503|+|locus_tag=YBR006W|Name=UGA2|CHR2:235056-236548|CHR2:226634-228126
CHR2:248806-251016|-|locus_tag=YBR007C|Name=DSF2|CHR2:236851-239060|CHR2:228429-230638
CHR2:24946-28299|-|locus_tag=YBL101C|Name=ECM21|CHR2:25356-28708|CHR2:17001-20270
CHR2:252563-254209|-|locus_tag=YBR008C|Name=FLR1|CHR2:240607-242252|CHR2:232185-233830
CHR2:255373-255684|-|locus_tag=YBR009C|Name=HHF1|CHR2:243417-243727|CHR2:234995-235305
CHR2:256331-256741|+|locus_tag=YBR010W|Name=HHT1|CHR2:244375-244784|CHR2:235954-236363
CHR2:257112-257975|-|locus_tag=YBR011C|Name=IPP1|CHR2:245156-246018|CHR2:236735-237597
CHR2:2582-2899|-|locus_tag=YBL112C|Name=YBL112C|CHR6:253594-253279|CHR13:310-625
CHR2:259869-261191|+|locus_tag=YBR012W-A|Name=YBR012W-A|CHR4:699205-697884|CHR4:783863-785184
CHR2:259869-265140|+|locus_tag=YBR012W-B|Name=YBR012W-B|CHR4:699205-696749|CHR4:783863-786319
CHR2:265492-265881|-|locus_tag=YBR013C|Name=YBR013C|CHR2:247609-247996|CHR2:239188-239575
CHR2:266378-266450|+|locus_tag=tT(AGU)B|Name=tT(AGU)B|CHR10:63795-63724|CHR2:240073-240144
CHR2:266725-267336|-|locus_tag=YBR014C|Name=GRX7|CHR2:248841-249451|CHR2:240420-241030
CHR2:267710-269503|-|locus_tag=YBR015C|Name=MNN2|CHR2:249827-251619|CHR2:241406-243198
CHR2:270247-270633|+|locus_tag=YBR016W|Name=YBR016W|CHR2:252364-252749|CHR2:243943-244328
CHR2:270947-273703|-|locus_tag=YBR017C|Name=KAP104|CHR2:253063-255812|CHR2:244643-247392
CHR2:274427-275527|-|locus_tag=YBR018C|Name=GAL7|CHR2:256538-257637|CHR2:248116-249215
CHR2:276253-278352|-|locus_tag=YBR019C|Name=GAL10|CHR2:258364-260462|CHR2:249942-252040
CHR2:279021-280607|+|locus_tag=YBR020W|Name=GAL1|CHR2:261131-262716|CHR2:252710-254295
CHR2:280-2658|-|locus_tag=YBL113C|Name=YBL113C|CHR14:787576-785696|CHR10:951-2249
CHR2:281443-283344|+|locus_tag=YBR021W|Name=FUR4|CHR2:263554-265454|CHR2:255132-257032
CHR2:283738-284271|+|locus_tag=YBR022W|Name=POA1|CHR2:265849-266381|CHR2:257427-257959
CHR2:28427-28546|+|locus_tag=YBL100W-C|Name=YBL100W-C|CHR2:28837-28955|CHR2:20401-20519
CHR2:284428-287925|-|locus_tag=YBR023C|Name=CHS3|CHR2:266539-270035|CHR2:258117-261613
CHR2:289445-290350|+|locus_tag=YBR024W|Name=SCO2|CHR2:271556-272460|CHR2:263134-264038
CHR2:290681-291865|-|locus_tag=YBR025C|Name=OLA1|CHR2:272792-273975|CHR2:264370-265553
CHR2:2907-5009|-|locus_tag=YBL111C|Name=YBL111C|CHR13:2886-4984|CHR13:634-2008
CHR2:292877-294019|-|locus_tag=YBR026C|Name=ETR1|CHR2:274987-276128|CHR2:266565-267706
CHR2:294024-294356|-|locus_tag=YBR027C|Name=YBR027C|CHR2:276134-276465|CHR2:267712-268043
CHR2:294425-296002|-|locus_tag=YBR028C|Name=YPK3|CHR2:276535-278111|CHR2:268113-269689
CHR2:296369-297742|-|locus_tag=YBR029C|Name=CDS1|CHR2:278477-279849|CHR2:270055-271427
CHR2:298292-299950|+|locus_tag=YBR030W|Name=RKM3|CHR2:280400-282069|CHR2:271978-273647
CHR2:29935-31251|+|locus_tag=YBL100W-A|Name=YBL100W-A|CHR7:954437-955753|CHR5:428768-428728
CHR2:29935-35248|+|locus_tag=YBL100W-B|Name=YBL100W-B|CHR13:104825-110136|CHR12:1511835-1512763
CHR2:300166-301254|+|locus_tag=YBR031W|Name=RPL4A|CHR2:282281-283367|CHR2:273857-274944
CHR2:301519-301821|+|locus_tag=YBR032W|Name=YBR032W|CHR2:283632-283933|CHR2:275209-275510
CHR2:301944-304703|+|locus_tag=YBR033W|Name=EDS1|CHR2:284057-286815|CHR2:275634-278392
CHR2:304930-305976|-|locus_tag=YBR034C|Name=HMT1|CHR2:287043-288088|CHR2:278620-279665
CHR2:306269-306955|-|locus_tag=YBR035C|Name=PDX3|CHR2:288382-289067|CHR2:279959-280644
CHR2:307185-307345|-|locus_tag=snR161|Name=snR161|CHR2:289298-289457|CHR2:280875-281034
CHR2:307587-308887|+|locus_tag=TLC1|Name=TLC1|CHR2:289700-290999|CHR2:281277-282576
CHR2:309081-310313|-|locus_tag=YBR036C|Name=CSG2|CHR2:291194-292425|CHR2:282771-284002
CHR2:310565-311452|-|locus_tag=YBR037C|Name=SCO1|CHR2:292678-293564|CHR2:284255-285141
CHR2:311898-314789|+|locus_tag=YBR038W|Name=CHS2|CHR2:294011-296901|CHR2:285588-288478
CHR2:315575-316510|+|locus_tag=YBR039W|Name=ATP3|CHR2:297688-298622|CHR2:289265-290199
CHR2:316968-317864|+|locus_tag=YBR040W|Name=FIG1|CHR2:299077-299972|CHR2:290646-291541
CHR2:318266-320275|+|locus_tag=YBR041W|Name=FAT1|CHR2:300375-302383|CHR2:291944-293952
CHR2:320416-321609|-|locus_tag=YBR042C|Name=CST26|CHR2:302525-303717|CHR2:294094-295286
CHR2:321876-323945|-|locus_tag=YBR043C|Name=QDR3|CHR2:303985-306053|CHR2:295554-297622
CHR2:324341-326059|-|locus_tag=YBR044C|Name=TCM62|CHR2:306450-308167|CHR2:298019-299736
CHR2:326792-326865|-|locus_tag=tV(UAC)B|Name=tV(UAC)B|CHR2:308901-308973|CHR2:300470-300542
CHR2:328173-330092|-|locus_tag=YBR045C|Name=GIP1|CHR2:310284-312202|CHR2:301853-303771
CHR2:330507-331511|-|locus_tag=YBR046C|Name=ZTA1|CHR2:312618-313621|CHR2:304187-305190
CHR2:331833-332360|+|locus_tag=YBR047W|Name=FMP23|CHR2:313944-314470|CHR2:305513-306039
CHR2:332831-333812|+|locus_tag=YBR048W|Name=RPS11B|CHR2:314953-315933|CHR2:306510-307490
CHR2:334386-336818|-|locus_tag=YBR049C|Name=REB1|CHR2:316507-318938|CHR2:308064-310495
CHR2:337183-338199|-|locus_tag=YBR050C|Name=REG2|CHR2:319304-320325|CHR2:310861-311882
CHR2:338720-339352|-|locus_tag=YBR052C|Name=RFS1|CHR2:320847-321478|CHR2:312404-313035
CHR2:339675-340751|-|locus_tag=YBR053C|Name=YBR053C|CHR2:321802-322877|CHR2:313359-314434
CHR2:343101-344135|+|locus_tag=YBR054W|Name=YRO2|CHR2:325230-326263|CHR2:316785-317818
CHR2:344602-347301|-|locus_tag=YBR055C|Name=PRP6|CHR2:326725-329423|CHR2:318281-320979
CHR2:347603-347686|+|locus_tag=tL(UAA)B2|Name=tL(UAA)B2|CHR10:423076-422994|CHR2:1638-1720
CHR2:347879-349384|+|locus_tag=YBR056W|Name=YBR056W|CHR2:330002-331506|CHR2:321558-323062
