Chromosome_Name,strand,start,end,5-start,3-end,Locus,Gene,strain
CHR1,-,96929,97848,96229,97948,YAL025C,MAK16,YJM975
CHR1,-,98269,102575,97569,102675,YAL024C,LTE1,YJM975
CHR1,-,102976,105254,102276,105354,YAL023C,PMT2,YJM975
CHR1,-,105580,107132,104880,107232,YAL022C,FUN26,YJM975
CHR1,-,107549,110061,106849,110161,YAL021C,CCR4,YJM975
CHR1,-,110317,111317,109617,111417,YAL020C,ATS1,YJM975
CHR1,+,111622,115022,110922,115122,YAL019W,FUN30,YJM975
CHR8,-,527688,527347,526988,527447,YAL065C,YAL065C,YJM975
CHR1,-,115273,116249,114573,116349,YAL018C,LDS1,YJM975
CHR1,+,116934,121003,116234,121103,YAL017W,PSK1,YJM975
CHR1,+,22008,22408,21308,22508,YAL064W-B,YAL064W-B,YJM975
CHR1,+,121588,123494,120888,123594,YAL016W,TPD3,YJM975
CHR1,-,123614,124812,122914,124912,YAL015C,NTG1,YJM975
CHR1,-,124962,125728,124262,125828,YAL014C,SYN8,YJM975
CHR1,+,125980,127196,125280,127296,YAL013W,DEP1,YJM975
CHR1,+,127509,128692,126809,128792,YAL012W,CYS3,YJM975
CHR1,+,128909,130785,128209,130885,YAL011W,SWC3,YJM975
CHR1,-,10642,11023,9942,11123,YAL064C-A,TDA8,YJM975
CHR1,-,130894,132374,130194,132474,YAL010C,MDM10,YJM975
CHR1,+,132564,133342,131864,133442,YAL009W,SPO7,YJM975
CHR1,+,133624,134219,132924,134319,YAL008W,FUN14,YJM975
CHR1,-,134408,135054,133708,135154,YAL007C,ERP2,YJM975
CHR1,+,135863,135964,135163,136064,tP(UGG)A,TRN1,YJM975
CHR1,-,136210,138137,135510,138237,YAL005C,SSA1,YJM975
CHR1,+,138880,139868,138180,139968,YAL003W,EFB1,YJM975
CHR1,+,139073,139173,138373,139273,snR18,snR18,YJM975
CHR1,+,140416,144239,139716,144339,YAL002W,VPS8,YJM975
CHR1,-,144303,147874,143603,147974,YAL001C,TFC3,YJM975
CHR1,+,148971,150589,148271,150689,YAR002W,NUP60,YJM975
CHR1,-,150782,151440,150082,151540,YAR002C-A,ERP1,YJM975
CHR1,+,151722,153001,151022,153101,YAR003W,SWD1,YJM975
CHR1,-,153472,155336,152772,155436,YAR007C,RFA1,YJM975
CHR1,+,155684,156510,154984,156610,YAR008W,SEN34,YJM975
CHR4,-,786319,785541,785619,785641,YAR009C,YAR009C,YJM975
CHR4,-,785183,783862,784483,783962,YAR010C,YAR010C,YJM975
CHR1,+,157055,157126,156355,157226,tA(UGC)A,TGA1,YJM975
CHR1,-,157530,159658,156830,159758,YAR014C,BUD14,YJM975
CHR1,+,160163,161082,159463,161182,YAR015W,ADE1,YJM975
CHR1,-,161184,162490,160484,162590,YAR018C,KIN3,YJM975
CHR1,-,163000,165923,162300,166023,YAR019C,CDC15,YJM975
CHR1,-,167647,167811,166947,167911,YAR020C,PAU7,YJM975
CHR1,-,170067,170605,169367,170705,YAR023C,YAR023C,YJM975
CHR7,-,5717,6078,5017,6178,YAL068C,PAU8,YJM975
CHR1,+,172272,172384,171572,172484,tL(CAA)A,SUP56,YJM975
CHR1,-,173651,173731,172951,173831,tS(AGA)A,tS(AGA)A,YJM975
CHR1,+,174556,175262,173856,175362,YAR027W,UIP3,YJM975
CHR1,+,175679,176382,174979,176482,YAR028W,YAR028W,YJM975
CHR1,+,177108,177332,176408,177432,YAR029W,YAR029W,YJM975
CHR1,+,177624,178316,176924,178416,YAR031W,PRM9,YJM975
CHR1,+,178870,179573,178170,179673,YAR033W,MST28,YJM975
CHR1,+,181081,183143,180381,183243,YAR035W,YAT1,YJM975
CHR1,-,183222,183300,182522,183400,YAR035C-A,YAR035C-A,YJM975
CHR1,+,183507,187072,182807,187172,YAR042W,SWH1,YJM975
CHR1,+,24630,23211,23930,23311,YAR050W,FLO1,YJM975
CHR1,+,19134,19416,18434,19516,YAL064W,YAL064W,YJM975
CHR1,+,9373,9075,8673,9175,YAR064W,YAR064W,YJM975
CHR1,+,8522,7912,7822,8012,YAR066W,YAR066W,YJM975
CHR1,+,7165,6681,6465,6781,YAR068W,YAR068W,YJM975
CHR1,-,19962,20259,19262,20359,YAL063C-A,YAL063C-A,YJM975
CHR1,+,4139,2737,3439,2837,YAR071W,PHO11,YJM975
CHR1,-,23211,24705,22511,24805,YAL063C,FLO9,YJM975
CHR11,+,154,382,0,482,YAL067W-A,YAL067W-A,YJM975
CHR1,+,28280,29652,27580,29752,YAL062W,GDH3,YJM975
CHR1,+,30161,31413,29461,31513,YAL061W,BDH2,YJM975
CHR1,+,31868,33015,31168,33115,YAL060W,BDH1,YJM975
CHR1,+,33221,33858,32521,33958,YAL059W,ECM1,YJM975
CHR1,+,34176,35683,33476,35783,YAL058W,CNE1,YJM975
CHR1,+,35971,38612,35271,38712,YAL056W,GPB2,YJM975
CHR1,+,38889,39430,38189,39530,YAL055W,PEX22,YJM975
CHR1,-,39593,41733,38893,41833,YAL054C,ACS1,YJM975
CHR1,+,42614,44964,41914,45064,YAL053W,FLC2,YJM975
CHR1,+,45279,48421,44579,48521,YAL051W,OAF1,YJM975
CHR1,-,48570,49309,47870,49409,YAL049C,AIM2,YJM975
CHR1,-,49517,51504,48817,51604,YAL048C,GEM1,YJM975
CHR1,-,51705,53572,51005,53672,YAL047C,SPC72,YJM975
CHR1,-,53746,54101,53046,54201,YAL046C,BOL3,YJM975
CHR1,+,54235,54566,53535,54666,YAL044W-A,BOL1,YJM975
CHR1,-,54667,55178,53967,55278,YAL044C,GCV3,YJM975
CHR1,-,55411,57767,54711,57867,YAL043C,PTA1,YJM975
CHR1,+,58032,59278,57332,59378,YAL042W,ERV46,YJM975
CHR1,+,59556,62119,58856,62219,YAL041W,CDC24,YJM975
CHR1,-,62495,64236,61795,64336,YAL040C,CLN3,YJM975
CHR1,-,65433,66241,64733,66341,YAL039C,CYC3,YJM975
