CHR|S288C|YJM975|RM11
CHR1|1807-2169|282-1852|5502-5800
CHR1|2480-2707|4734-5032|6060-6349
CHR1|11565-11951|5292-5584|7465-7949
CHR1|12046-12426|6681-7165|10182-10415
CHR1|13363-13743|9392-9624|11217-11432
CHR1|21566-21850|10427-10642|11812-11813
CHR1|22395-22685|11022-11023|12019-12221
CHR1|24000-27968|11229-11431|19924-20206
CHR1|31567-32940|19134-19416|20752-21049
CHR1|33448-34701|19962-20259|22353-22685
CHR1|35155-36303|21556-22008|22798-23198
CHR1|36509-37147|22408-22532|32721-36292
CHR1|37464-38972|24630-24705|36497-36575
CHR1|39259-41901|28280-29652|36654-38716
CHR1|42177-42719|30161-31413|41986-42174
CHR1|42881-45022|31868-33015|42466-42690
CHR1|45899-48250|33221-33858|43418-44122
CHR1|48564-51707|34176-35683|44540-45246
CHR1|51855-52595|35971-38612|46071-46072
CHR1|52801-54789|38889-39430|46072-46151
CHR1|54989-56857|39593-41733|47418-47419
CHR1|57029-57385|42614-44964|47530-47531
CHR1|57518-57850|45279-48421|47686-47788
CHR1|57950-58462|48570-49309|49532-50070
CHR1|58695-61052|49517-51504|52327-52491
CHR1|61316-62563|51705-53572|54213-57136
CHR1|62840-65404|53746-54101|57646-58952
CHR1|65778-67520|54235-54566|59054-59973
CHR1|68716-69525|54667-55178|60478-62606
CHR1|71786-73288|55411-57767|63011-63081
CHR1|73426-73518|58032-59278|63081-63082
CHR1|74020-74823|59556-62119|63626-64452
CHR1|75043-76152|62495-64236|64800-66664
CHR1|76427-79435|65433-66241|67135-68414
CHR1|79718-80587|68491-69992|68696-69354
CHR1|80710-81951|70131-70222|69547-71165
CHR1|82706-83227|70725-71527|72264-75835
CHR1|83335-84474|71751-72859|75899-79722
CHR1|84749-87031|73135-76139|80270-80965
CHR1|87286-87752|76423-77291|81065-81258
CHR1|87855-92270|77415-78655|82001-83928
CHR1|92900-94486|79411-79931|84174-84175
CHR1|94687-95472|80040-81178|84275-84276
CHR1|95630-99305|81454-83735|85084-85730
CHR1|99697-99868|83991-84456|85919-86514
CHR1|100225-101145|84560-88974|86796-87574
CHR1|101565-105872|89604-91189|87764-89244
CHR1|106272-108551|91391-92175|89353-91229
CHR1|108877-110430|92334-96009|91446-92629
CHR1|110846-113359|96400-96571|92943-94159
CHR1|113614-114615|96929-97848|94411-95177
CHR1|114919-118314|98269-102575|95327-96525
CHR1|118564-119541|102976-105254|96645-98551
CHR1|120225-124295|105580-107132|99136-103205
CHR1|124879-126786|107549-110061|103890-104866
CHR1|126903-128102|110317-111317|105117-106974
CHR1|128252-129019|111622-115022|108750-109750
CHR1|129270-130487|115273-116249|110006-112527
CHR1|130799-131983|116934-121003|112942-114494
CHR1|132199-134076|121588-123494|114820-117098
CHR1|134184-135665|123614-124812|117500-121806
CHR1|135854-136633|124962-125728|122228-123147
CHR1|136914-137510|125980-127196|123505-123676
CHR1|137698-138345|127509-128692|124067-127742
CHR1|139152-139254|128909-130785|127901-128685
CHR1|139503-141431|130894-132374|128887-130472
CHR1|142174-142367|132564-133342|131102-135516
CHR1|142468-143160|133624-134219|135620-136085
CHR1|143707-147531|134408-135054|136341-138622
CHR1|147594-151166|135862-135863|138899-140037
CHR1|152257-153876|135963-135964|140146-140666
CHR1|154065-154724|136210-138137|141422-142662
CHR1|155005-156285|138880-139073|142786-143654
CHR1|156754-158619|139173-139868|143938-146942
CHR1|158966-159793|140416-144239|147218-148326
CHR1|160597-164187|144303-147874|148546-149348
CHR1|164544-165866|148971-150589|149851-149942
CHR1|166267-166339|150782-151440|150081-151582
CHR1|166742-168871|151722-153001|153827-154635
CHR1|169375-170295|153472-155336|155831-157572
CHR1|170396-171703|155684-156510|157948-160511
CHR1|172211-175135|157054-157055|160789-162035
CHR1|176856-177023|157055-157125|162300-164656
CHR1|179281-179820|157530-159658|164889-165400
CHR1|181141-181254|160163-161082|165501-165832
CHR1|182522-182603|161184-162490|165966-166321
CHR1|183770-184477|163000-165923|166495-168362
CHR1|184892-185596|167647-167811|168563-170550
CHR1|186321-186545|170067-170605|170757-171496
CHR1|186836-187732|172271-172272|171645-174787
CHR1|188107-188811|172383-172384|175102-177452
CHR1|190193-192256|173651-173730|178326-180466
CHR1|192337-192417|173730-173731|180629-181170
CHR1|192619-196185|174556-175262|181447-184088
CHR1|203403-208016|175679-176382|184376-185883
CHR1|220198-220497|177108-177332|186201-186838
CHR1|221049-221660|177624-177812|187044-188191
CHR1|222406-222891|181081-183143|188645-189897
CHR1|225460-226863|183222-183300|190406-191778
CHR1||183507-187072|
CHR2|0-280|0-1637|0-10371
CHR2|2582-2658|1719-1720|10960-11257
CHR2|2899-2907|1720-2016|14288-14651
CHR2|5009-7605|2605-2902|18105-18587
CHR2|7733-9583|5933-6296|21702-22486
CHR2|9666-9961|9750-10232|23945-24508
CHR2|10551-10847|13347-14131|25154-25356
CHR2|13879-14241|15590-16153|28708-28837
CHR2|17696-18177|16799-17001|28955-30457
CHR2|21293-22076|20270-20401|30546-31112
CHR2|23536-24098|20519-22022|32748-33202
CHR2|24745-24946|22111-22677|34583-34886
CHR2|28299-28427|24313-24768|37149-37332
CHR2|28546-29935|26149-26452|38143-38311
